Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
1833_reforms_title;The Reforms of 1833;;;;;;;;;;;;;
1833_reforms_desc;President Valentín Gomez Farias has proposed several social, political and economic reforms to curb the power of the Catholic Church in Mexico. Liberals compare the clergy to ministers of Huitzilopochtli (who received human sacrifices), accusing them of being being worldly, greedy hypocrites. They see the Bible as full of absurdities and falsehoods from an ignorant era and wish to disempower the pope. Conservatives are furious about the proposals and the disrespect to the church, seeing them as reason to depose Farias.;;;;;;;;;;;;;
EVTNAME183536;Las Siete Leyes;;;;;;;;;;;;;
EVTNAME183637;Separatist Movements Arise!;;;;;;;;;;;;;
EVT44127OPTA;Our military could use the target practice.;;;;;;;;;;;;;
EVT44127OPTB;We shall surrender our claims.;;;;;;;;;;;;;
EVTDESC4207010;The_peoples_in_the_south_of_our_Kingdom_are_mainly_Flemings_and_Walloons,_Roman_Catholics_which_are_unhappy_with_how_our_government_treats_them,_being_subjugated_by_a_mostly_protestant_north._Many_liberals_are_claiming_His_Majesty_King_William_I_as_a_despotic_ruler._Unemployment_and_industrial_unrest_in_the_working_classes_has_also_contributed_to_the_turmoil._Riots_have_erupted_in_Brussels,_shops_looted,_theatergoers_joined_the_movement_right_after_watching_the_nationalistic_opera_La_muette_de_Portici._These_rebels_soon_have_started_talking_about_secession_and_the_States-General_in_Brussels_voted_in_favor_of_secession_and_declared_independence._It's_time_to_decide_what_are_we_going_to_do_about_this_situation.;;;;;;;;;;;;;
EVTDESC4207011;We_have_gloriously_triumphed__the_Dutch!_Our_independence_has_been_secured,_and_the_Kingdom_of_Belgium_has_been_born!_Now_we_can_appoint_Leopold_I_as_King_of_the_Belgians_and_establish_an_official_government!_Glory_to_Brussels!_Glory_to_Flanders!_Glory_to_Wallonia!_Glory_to_the_Kingdom_of_Belgium!;;;;;;;;;;;;;
EVTDESC4207012;The_London_Conference_of_$YEAR$_has_been_proclaimed._We_have_been_invited_to_take_a_seat_and_discuss_about_the_independence_of_Belgium._This_is_mostly_a_diplomatic_settlement,_as_The_Kingdom_of_Belgium_is_de_facto_independent._Nevertheless,_we_can_get_something_from_this,_depending_on_what_we_choose.;;;;;;;;;;;;;
mexican_securalization_law_title;The Secularization Law of $YEAR$;;;;;;;;;;;;;
mexican_securalization_law_desc;The Congress of the Union has proposed a bill to secularize all Californian missions, transferring ownership form the Franciscan Order of the Catholic Church to the Mexican authorities. This is because of potential Spanish influence and power in California because most Spanish missions in California are still loyal to the Roman Catholic Church in Spain.;;;;;;;;;;;;;
california_missions_mex;Spanish Catholic Missions;;;;;;;;;;;;;
AGRESSOR_WAR_CONQUEST_ANY_NAME_MEX_MEE;The Plan of Veracruz;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_MEX_MEE;The Plan of Veracruz;;;;;;;;;;;;;
AGRESSOR_WAR_CONQUEST_ANY_NAME_DAI_CHA;The Last Cham-Vietnamese War;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_DAI_CHA;The Last Cham-Vietnamese War;;;;;;;;;;;;;
AGRESSOR_WAR_CONQUEST_ANY_NAME_CHA_DAI;The Katip Sumat Uprising;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_CHA_DAI;The Katip Sumat Uprising;;;;;;;;;;;;;
