Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
1830_NAME;1830: Liberty Leading the People;;;;;;;;;;;;;
wet_method;The Wet Method;;;;;;;;;;;;;
wet_method_desc;As opposed to the previously practiced dry method, the newly introduced wet method of coffee bean processing is significantly faster and has many advantages. It involves softening the beans by placing them in water, mechanically de-pulping them using a pulper and then putting them into a fermentation device for about a day to remove the resulting mucilage. The coffee beans are then washed and dried, whereupon their processing is complete. The resulting brew is of higher quality due to containing fewer faulty beans as their inner qualities are better preserved.;;;;;;;;;;;;;
Greater_Alaska_title;Greater Alaska;;;;;;;;;;;;;
Greater_Alaska_desc;§RGain 4 infamy§! We must expand to secure our position! To this end we must officially stake claim to lands surrounding us.;;;;;;;;;;;;;
claim_lorraine_als_title;Claim Lorraine;;;;;;;;;;;;;
claim_lorraine_als_desc;§RGain 4 infamy§! We must claim Lorraine if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Luxemburg_title;Claim Luxemburg;;;;;;;;;;;;;
Claim_Luxemburg_desc;§RGain 4 infamy§! We must claim Luxemburg if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Borderlands_title;Claim Borderlands;;;;;;;;;;;;;
Claim_Borderlands_desc;§RGain 10 infamy§! We must claim the Borderlands if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Rheinland_title;Claim Rheinland;;;;;;;;;;;;;
Claim_Rheinland_desc;§RGain 6 infamy§! We must claim the Rheinland if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Coast_title;Claim Coast;;;;;;;;;;;;;
Claim_Coast_desc;§RGain 10 infamy§! We must claim Coast if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Northern_France_title;Claim Northern France;;;;;;;;;;;;;
Claim_Northern_France_desc;§RGain 4 infamy§! We must claim Northern France if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Accept_Belgians_title;Accept the Belgians;;;;;;;;;;;;;
Accept_Belgians_desc;We must accept the Belgians if we wish to survive! Sandwiched between two great powers, we must pacify our minorities to defend ourselves.;;;;;;;;;;;;;
Accept_French_title;Accept the French;;;;;;;;;;;;;
Accept_French_desc;We must accept the French if we wish to survive! Sandwiched between two great powers, we must pacify our minorities to defend ourselves.;;;;;;;;;;;;;
Greater_Korea_title;Claim Greater Korea;;;;;;;;;;;;;
Greater_Korea_desc;§RGain 10 infamy§! Now that we are independent from Chinese oppression, we must reclaim the land of the old Gojoseon, Goguryeo and Balhae empires.;;;;;;;;;;;;;
Western_Banatia_title;Claim Land in the West;;;;;;;;;;;;;
Western_Banatia_desc;§RGain 6 infamy§! Now that we have established Banatia, we must claim land in the West to secure our position.;;;;;;;;;;;;;
Eastern_Banatia_title;Claim Land in the East;;;;;;;;;;;;;
Eastern_Banatia_desc;§RGain 15 infamy§! Now that we have established Banatia, we must claim land in the East to secure our position.;;;;;;;;;;;;;
Claim_Belgrade_title;Claim Belgrade;;;;;;;;;;;;;
Claim_Belgrade_desc;§RGain 6 infamy§! To weaken the Serbs who continue to claim our Land in the Vojvodina one of our politicians has proposed claiming their capital, namely Belgrade.;;;;;;;;;;;;;
Claim_Forte_title;Claim Forte Sao Joaquim;;;;;;;;;;;;;
Claim_Forte_desc;§RGain 1 infamy§! To connect our lands in former British Guayana with Venezuela we must claim Forte Sao Joaquim;;;;;;;;;;;;;
Claim_ABC_title;Claim the ABC Islands;;;;;;;;;;;;;
Claim_ABC_desc;§RGain 1 infamy§! The ABC Islands are a foreign base just off our northern coast and as such a threat to us. We must seize them for our own safety.;;;;;;;;;;;;;
Claim_TRT_title;Claim Trinidad and Tobago;;;;;;;;;;;;;
Claim_TRT_desc;§RGain 1 infamy§! Trinidad and Tobago are foreign bases just off our northern coast and as such a threat to us. We must seize them for our own safety.;;;;;;;;;;;;;
Greater_LUX_title;Undo the Partitions;;;;;;;;;;;;;
Greater_LUX_desc;§RGain 3 infamy§! For two hundred years, Luxembourg has been partitioned again and again by foreign powers to fulfill their desires and compromises, reducing our already small size even further. We say no more! Let the world know that we, mighty Luxembourg, will no longer abide by their malicious treaties and that we are going to reclaim what is rightfully ours!;;;;;;;;;;;;;
Claim_LIE_title;Claim Bregenz;;;;;;;;;;;;;
Claim_LIE_desc;If we want to accomplish anything we must annex land to increase our population!;;;;;;;;;;;;;
Claim_AOM_title;Claim Great Vlachia;;;;;;;;;;;;;
Claim_AOM_desc;It is time for us to reclaim the land of our ancestors!;;;;;;;;;;;;;
Claim_Ionia_title;Claim some islands;;;;;;;;;;;;;
Claim_Ionia_desc;If we are to restore Christian rule to the holy land we must gain forward operating bases!;;;;;;;;;;;;;
Claim_Italian_title;Claim Sardinia, Corsica and Sicily;;;;;;;;;;;;;
Claim_Italian_desc;If we are to restore Christian rule to the holy land we must gain population centers to build an army!;;;;;;;;;;;;;
Claim_Greek_title;Claim Crete, Cyprus and Aegean;;;;;;;;;;;;;
Claim_Greek_desc;If we are to restore Christian rule to the Holy Land, we must gain the islands closest to the Holy Land and prepare for an invasion!;;;;;;;;;;;;;
Claim_MAD_title;Claim Indian Ocean Islands;;;;;;;;;;;;;
Claim_MAD_desc;§RGain 4 infamy§! We must claim islands in the Indian ocean to make sure that colonizers don't use them to attack us.;;;;;;;;;;;;;
Claim_Siberia_title;Unite Siberia;;;;;;;;;;;;;
Claim_Siberia_desc;§RGain 10 infamy§! We must unify the Siberian region if we wish to expand!;;;;;;;;;;;;;
