 Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;
AUSTINFOUNDING;The Founding of Austin;;;;;;;;;;;;;
NINKODEATH;The Death of Emperor Ninko;;;;;;;;;;;;;
FRANCISIDEATH;The Death of Francis I;;;;;;;;;;;;;
FELIXCHARLESDEATH;The Death of Charles Felix;;;;;;;;;;;;;
MEIJIDEATH;The Death of Emperor Mutsuhito;;;;;;;;;;;;;
move_capital_australia_title;A New Australian Capital;;;;;;;;;;;;;
move_capital_australia_desc;With the Federation of Australia coalescing the six self-governing colonies Queensland, New South Wales, Victoria, Tasmania, South Australia, and Western Australia into one cohesive unit, a decision must be made on where the capital city of this entity is to reside.;;;;;;;;;;;;;
ast_capital_title;The Capital Debate;;;;;;;;;;;;;
alexandropol_title;Nicholas I's visit to Gyumri;;;;;;;;;;;;;
kipchak_minor;Kipchak Minor;;;;;;;;;;;;;
sart;Sart;;;;;;;;;;;;;
SARZHAN5;As we expand further into the Kazakh Steppe, our puppet Khan among the Kazakhs is to be given more local lands to govern on our behalf.;;;;;;;;;;;;;
SOZAQ;\n\nWrite later.;;;;;;;;;;;;;
TASHKENT;\n\nWrite later.;;;;;;;;;;;;;
KULAB2;\n\nWrite later.;;;;;;;;;;;;;
NARYNREBELLION;\n\nWrite later.;;;;;;;;;;;;;
MADALISEXECUTION;\n\nWrite later.;;;;;;;;;;;;;
DARVAZINDEPENDENCE;\n\nWrite later.;;;;;;;;;;;;;
SHERALI;\n\nWrite later.;;;;;;;;;;;;;
MUSULMANKUL;\n\nWrite later.;;;;;;;;;;;;;
KHUDAYAR1;\n\nWrite later.;;;;;;;;;;;;;
MURAD;\n\nWrite later.;;;;;;;;;;;;;
KHUDAYAR2;\n\nWrite later.;;;;;;;;;;;;;
SHERMURAD;\n\nWrite later.;;;;;;;;;;;;;
KHUDAYAR3;\n\nWrite later.;;;;;;;;;;;;;
SULTANSEYID;\n\nWrite later.;;;;;;;;;;;;;
KHUDAYAR4;\n\nWrite later.;;;;;;;;;;;;;
NASREDDIN;\n\nWrite later.;;;;;;;;;;;;;
TALASREBELLION;\n\nWrite later.;;;;;;;;;;;;;
PULATKHANREBELLION;\n\nWrite later.;;;;;;;;;;;;;
1916CENTRALASIANREVOLT;\n\nWrite later.;;;;;;;;;;;;;
KYRGYZRAIDS;The continued existence of the Kara-Kyrgyz Khanate has lead to an increase of hostile raids on our borders. Our poor relations with the Kyrgyz may be to blame for their hostility towards us.;;;;;;;;;;;;;
KYRGYZRAIDS2;Recent raids against our neighbours have brought back a great deal of wealth and prestige for the Khanate.;;;;;;;;;;;;;
kaz_conquer_kyrgyz_title;Put an End to the Kyrgyz raids;;;;;;;;;;;;;
kaz_conquer_kyrgyz_desc;§RGain 3 infamy§! Ever since Ormon Khan's revolt against the Khan of Kokand, the Kyrgyz have begun raiding the Kazakh Steppe wholesale. With our backs against the wall against the Kokand to the south and the Russians to the north, the Kyrgyz see this as a golden opportunity to pounce on a weak and defenseless neighbour. Let us mount a proper campaign against them and show them just how wrong they are!;;;;;;;;;;;;;
kaz_conquer_kokand_title;Conquer the Khanate of Kokand;;;;;;;;;;;;;
kaz_conquer_kokand_desc;§RGain 5 infamy§! The Khanate of Kokand once stood as an ally in our stuggle against the Russian Empire's relentless advance across the Kazakh Steppe. But through a string of losses against them in near memory, Kokand faltered under pressure. Rather than continue to resis alongside us, they chose cowardice and betrayal. Their fear turned to treachery when they struck against our people, culminating in the brutal murders of the family of Kenesary Qasymuly - Brothers, wives, and children - This act of cruelty has cannot go unanswered as now, the Kazakh banners gather for war against the traitorous Kokand! Yet we know §Bsuch a campaign will not go unnoticed by the Chinese§W who favour Kokand for their trade. If we do not act in a diplomatic manner in the aftermath of our righteous war, §Rwe may find ourselves facing the might of another great Empire.§W The Kazakh Steppe has not forgotten its pride, nor will it suffer betrayal without vengeance...;;;;;;;;;;;;;
great_tartaria1_title;Reclaim the Former Tatar Homeland;;;;;;;;;;;;;
great_tartaria1_desc;The collapse of the Ulug Ulus's authority over the Slavs led to the greatest catastrophe in our history. Following Kulikovo, the Khanates fell one by one to their savagery, as we were stripped of our faith and our ways of life. With Kazan finally free from Russian tyranny, we find ourselves in a position to return the favour to those who pretended to turn our people into helots. Let Moscow weep, for the Tatars ride again, and this time our yoke shall last forevermore.;;;;;;;;;;;;;
great_tartaria2_title;Proclaim the Empire of Great Tartaria;;;;;;;;;;;;;
great_tartaria2_desc;Against impossible odds, the Russians have been expelled from our ancient domains. Not only have we managed to avenge centuries of brutality and humiliation, our brethren to the South have coalesced under our flag, finally safe from the foreigners who circled them with rapacious eyes. Yet they remain a threat, and the folly of their ambitions must be destroyed once and for all. We’ll ride further than Temüjin, our revenge more swift and brutal than that of Timur, and succeed where our forefathers failed, as Tartaria shall triumph over the test of time, Eurasia eternally subjugated to our hegemony.;;;;;;;;;;;;;
junior_colonize_steppe_title;Consolidate the Syr Darya delta;;;;;;;;;;;;;
junior_colonize_steppe_desc;With the Junior Jüz Kazakhs a free and independent people once again, we can consolidate the remaining disorganized territories in the Syr Darya delta and bring the Kazakhs living there into the fold.;;;;;;;;;;;;;
unite_kazakhstan_title;Unite the Kazakh Steppe;;;;;;;;;;;;;
unite_kazakhstan_desc;The Kazakh people are divide. No longer! We have established dominance over the disparate tribes of the Kazakh steppe and can claim the mantle of Shah-i Turan and Khan of All-Kazakhs. May our people remain united. May our people remain strong!;;;;;;;;;;;;;
kenesary_unite_kazakhstan_title;Unite the Kazakh Steppe;;;;;;;;;;;;;
kenesary_unite_kazakhstan_desc;The Kazakh people are divide. No longer! Kenesary Khan has established dominance over the disparate tribes of the Kazakh steppe and can claim the mantle of Khan of All-Kazakhs. Those who still refuse the call to unity are traitors and Russian sympathizers and will be crushed in due time. May our people remain united! May our people remain strong!;;;;;;;;;;;;;
