MKU_conservative;Bayatlar;;;;;;;;;;;;;
MKR_conservative;Moghaddamlar;;;;;;;;;;;;;
SMD_empire;Samanid Empire;;;;;;;;;;;;;
SMD_republic;Tajikistan;;;;;;;;;;;;;
ILK_empire;Ilkhanate;;;;;;;;;;;;;
ILK_republic;Iranzamin;;;;;;;;;;;;;
nuristani;Nuristani;;;;;;;;;;;;;
azerbaijani;Azeri;;;;;;;;;;;;;
tat;Tat;;;;;;;;;;;;;
chechen;Nokhchi;;;;;;;;;;;;;
burushaki;Burusho;;;;;;;;;;;;;
kashmiri;Dardic;;;;;;;;;;;;;
lazi;Laz;;;;;;;;;;;;;
hatt_i_gulhane_title;Gülhane Hatt-i Sherif;;;;;;;;;;;;;
hatt_i_gulhane_desc;§RGain 2 infamy§! The proclamation of "Supreme Edict of the Rosehouse" in 1839 marked the beginning of the Tanzimat Reforms. While the decree's content was far more complex, it can be broken down to three major demands -- the first was a guaranteed insurance of the security of life of every subject. The second proposed a regular system of assessing and levying taxes, troops, and duration of service. The third dealt with reformation in the area of human rights and the justice system. However, this reformation into a proper nation state and the secularization of the Empire was a long and enduring process, which culminated in the first Ottoman Constitution in 1876. The centralization of the state, especially in Eastern Anatolia lead to the decline of most of the Kurdish Principalities, that were either remnants of past Kurdish Dynasties, like the Ayyubids or used the constant warfare at the Turco-Iranian borderlands to establish themselves. These reforms, combined with the increasing establishment of a defined border with Iran made these small Emirates obsolete.;;;;;;;;;;;;;
nuristani_group;Nuristani;;;;;;;;;;;;;
burushaki_group;Burusho;;;;;;;;;;;;;
restore_samanids_title;Restore the Samanid Empire;;;;;;;;;;;;;
restore_samanids_desc;The Uzbeks have been crushed and the great city of Bukhara is under Tajik control again. It's time to end the Turkic rule over Iranians and establish a new Tajik state!;;;;;;;;;;;;;
restore_ilkhanate_title;Restore the Ilkhanate;;;;;;;;;;;;;
restore_ilkhanate_desc;Our claim to the Ilkhanate may seem dubious to many outsiders, but if we manage to improve our situation we can proof them wrong!;;;;;;;;;;;;;
protect_the_shiite_title;Proclaim Protectorship Over the Shiite Arabs;;;;;;;;;;;;;
protect_the_shiite_desc;§RGain 5 infamy§! With control restored within our claims in Iraq and support from the Ulama, we can claim authority over Shiite land within the rest of Iraq. Onwards! We must protect our brothers in faith and avenge Karbala.;;;;;;;;;;;;;
iran_natural_borders_title;Realize Iran's Natural Borders;;;;;;;;;;;;
iran_natural_borders_desc;§RGain 12 infamy§! The Kurds are a nomadic people whose movements have been the source of numerous border disputes with our Turkish neighbors. With the cities of Mosul, Karbala, and Baghdad firmly under our control, we are in a position to extend our claims to Kurdish lands east of the Tigris and Euphrates and fully incorporate the Kurds into our empire!;;;;;;;;;;;;
