Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME5000001;Greek Revolutionaries make their Demands;;;;;;;;;;;;;
EVT5000001OPTA;We cannot risk rebellion, capitulate to his demands.;;;;;;;;;;;;;
EVT5000001OPTB;His terms are outrageous and compromising, declare him an outlaw.;;;;;;;;;;;;;
EVT5000001OPTC;Make token concessions that will surely starve out his movement.;;;;;;;;;;;;;
EVTNAME5000002;Constitutional Rebels Mobilize;;;;;;;;;;;;;
EVT5000002OPTA;Call all those still loyal to defend his highness.;;;;;;;;;;;;;
EVTNAME5000003;Revolutionary armies surround Royal Palace;;;;;;;;;;;;;
EVT5000003OPTA;We must accept our defeat, the rebels have won this time.;;;;;;;;;;;;;
EVT5000003OPTB;No concessions, tell Steinstorf to rally anyone still loyal and fire at will.;;;;;;;;;;;;;
EVTNAME5000004;George I Assassinated;;;;;;;;;;;;;
EVT5000004OPTA;My God!;;;;;;;;;;;;;
form_balkan_federation_title;Form A Balkan Federation;;;;;;;;;;;;;
form_balkan_federation_desc;§RGain 10 infamy§! §BRequires owning Ljubljana, Zagreb, Sarajevo, Cetinje, Belgrade, Tirana and Sofia.§! The political movement of a united Balkan identity has recently seen a surge of support due to the creation of a Democratic Oriental Federation, founded by a number of Balkan intellectuals. If we manage to extend our influence to the rest of our Balkan brethren, we could use this opportunity to strive for a greater Balkan future. We must seize this opportunity in order to strengthen our grip on Europe, and to stand united against any who wish to sow strife between our great cultures. United we stand, divided we fall.;;;;;;;;;;;;;
greek_ascension_bfr_title;Greek Ascension into the Federation;;;;;;;;;;;;;
greek_ascension_bfr_desc;§RGain 5 infamy§! Due to our influence over the historically Greek regions of the Balkans, we now have the choice to politically and culturally integrate them into our great union state. Glory to the Federation!;;;;;;;;;;;;;
romanian_ascension_bfr_title;Romanian Ascension into the Federation;;;;;;;;;;;;;
romanian_ascension_bfr_desc;§RGain 5 infamy§! The Romanian people have long been considered those of Balkan heritage and ideals, and now we have the influence to officially declare them part of the union.;;;;;;;;;;;;;
claim_thrace_bfr_title;Claim Thrace;;;;;;;;;;;;;
claim_thrace_bfr_desc;§RGain 2.5 infamy§! Thrace is geographically part of the Balkans, and to secure our hold as a Balkan union state, we must fully secure the Balkan peninsula. Not only is Thrace a natural border between us and Turkish Anatolia to the east, but Istanbul is also an incredibly valuable and important city. Whoever controls it, controls trade in the Black Sea.;;;;;;;;;;;;;
claim_hungary_bfr_title;Claim Hungarian Lands;;;;;;;;;;;;;
claim_hungary_bfr_desc;§RGain 10 infamy§! The historically Hungarian heartlands of Transdanubia and Central Hungary are geographically important to us. Previously part of the Austro-Hungarian empire, we may now seek to claim their lands as our own. However the Hungarians themselves may feel as if we're taking away their choice of self-governance, and may never accept a Hungarian future in a Balkan state.;;;;;;;;;;;;;
