first_treaty_of_fort_laramie_initiated;Treaty of Fort Laramie;;;;;;;;;;;;;
california_goldrush;The California Gold Rush;;;;;;;;;;;;;
colombia_goldrush;The Colombia Gold Rush;;;;;;;;;;;;;
house_gag_rule_enacted;House Gag Rule;;;;;;;;;;;;;
the_plantation_and_ranching_act;The Plantation & Ranching Act;;;;;;;;;;;;;
english_band;The British Band;;;;;;;;;;;;;
indian_raiders;Indian Raiders;;;;;;;;;;;;;
new_settlement;New Settlement;;;;;;;;;;;;;
frontiersmen_modifier;The Frontier;;;;;;;;;;;;;
native_american_minor_modifier;Native American State;;;;;;;;;;;;;
enact_the_homestead_act_title;The Homestead Act;;;;;;;;;;;;;
enact_the_homestead_act_desc;In the West lies the vast and vacant land of the Great Plains. It is an harsh an unproductive land, home to nothing but bands of roaming savages and bison. We can offer these lands -Federal lands- free to any man who wants to put a plow into the unbroken sod. Offering the golden opportunity of freedom and self-sufficiency to all who conquer this tough sod with hard work, and providing productive land to our nation.;;;;;;;;;;;;;
enact_the_plantation_and_ranching_act_title;The Plantation & Ranching Act;;;;;;;;;;;;;
enact_the_plantation_and_ranching_act_desc; The Great Plains are a harsh place with tough sod and little rainfall, not easily conquered or cultivated. Turning it into productive land benefiting the nation would require major investment, far beyond the means of small scale farmers. The Federal lands of the West ought to be granted to those of means, for the establishment of plantations and ranches.;;;;;;;;;;;;;
first_treaty_of_fort_laramie_title;The Treaty of Fort Laramie;;;;;;;;;;;;;
first_treaty_of_fort_laramie_desc;Tens of thousands travel West on the Oregon and Santa Fe Trails each year, searching for fresh lands, opportunity, gold, or just running away from something. A long and arduous journey not made any easier by hostile Indian nations, who -even when not explicitly targeting the wagon trains- make -with their incessant warfare- the journey a particularly risky endeavor. We can call a great conference of the plains Indians to force an end to their warfare, guarantee the right of free passage of our wagon trains, as well as secure lands west of the Mississippi for settlement.;;;;;;;;;;;;;
indian_removal_act_title;The Indian Removal Act;;;;;;;;;;;;;
indian_removal_act_desc;§RGain 4 infamy§! While in the North the Indians have long since disappeared, in the South the Five Civilized Tribes -the Cherokee, Chickasaw, Choctaw, Creek and Seminole- are still firmly established. It would be hard to argue that they are prospering though: they are subject of continuous encroachment by settlers seeking new, fertile, lands to farm. In this march of progress, it is unlikely that their way of life -or indeed they themselves- will survive for long. It has been argued that the tribes should be evacuated West, across the Mississippi, where they can live and preserve their way of life under self-rule.\n\nEnacting the Indian Removal Act will allow us to start negotiating to this effect.;;;;;;;;;;;;;
indian_cessations_title;The Indian Cessations;;;;;;;;;;;;;
indian_cessations_desc;For years the hypocritical North has been lecturing us on the need to respect the Indians living on our lands, to protect them and to not settle their territories. Yet they do so from the comfort of having their own lands cleared of Indians and opened for settlement by generations past. Now free from their domination, we can finally open the Indian lands to settlement!;;;;;;;;;;;;;
EVTNAME16070;Fire-Eaters;;;;;;;;;;;;;
EVTNAME16111;The Slave Markets of $STATENAME$;Marché aux esclaves;Sklavenmarkt;;Mercado de esclavos;;;;;;;;;
