Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
reichelt_jump_title;Reichelt's Last Jump;;;;;;;;;;;;;
reichelt_jump_opt;The road to innovation is walked by madmen.;;;;;;;;;;;;;
WREATHTITLE;The Mountain Wreath;;;;;;;;;;;;;
WREATHOPT;"In suffering one learns who is the hero.";;;;;;;;;;;;;
FLOOD1862TITLE;The Great Flood of 1862;;;;;;;;;;;;;
FLOOD1862OPT;God have mercy on the West.;;;;;;;;;;;;;
LIJEPATITLE;Lijepa Naša Domovino;;;;;;;;;;;;;
LIJEPAOPT;"Mila kano si nam slavna...";;;;;;;;;;;;;
IBEXTITLE;The Last Portuguese Ibex;;;;;;;;;;;;;
IBEXOPT;Adeus, Ibex.;;;;;;;;;;;;;
SEMANAARTETITLE;Semana de Arte Moderna;;;;;;;;;;;;;
SEMANAARTEOPT;Now, what happened to the art of the good ol days?;;;;;;;;;;;;;
SCHOOLBLIZZARDTITLE;The Schoolhouse Blizzard;;;;;;;;;;;;;
SCHOOLBLIZZARDOPT;As a kid, I always prayed for a snow day...;;;;;;;;;;;;;
CLOQUETTITLE;The Cloquet Fire;;;;;;;;;;;;;
CLOQUETOPT;Dear god.;;;;;;;;;;;;;
HINCKLEYTITLE;Great Hinckley Fire;;;;;;;;;;;;;
HINCKLEYOPT;These logging towns are a tinderbox...;;;;;;;;;;;;;
MATHESONTITLE;The Matheson Fire;;;;;;;;;;;;;
MATHESONOPT;So many lives lost tragically...;;;;;;;;;;;;;
TRISTATETITLE;The 1925 Tornado Outbreak;;;;;;;;;;;;;
TRISTATEAOPT;Our nation is strong, we will rebuild.;;;;;;;;;;;;;
TRISTATEBOPT;In the face of disaster, we are all brothers.;;;;;;;;;;;;;
LONGWINTERTITLE;\n\nThe Hard Winter of 1880-81;;;;;;;;;;;;;
LONGWINTEROPT;Summer can't come soon enough.;;;;;;;;;;;;;
PINCHEIRATITLE;The Battle of Epulafquen;;;;;;;;;;;;;
PINCHEIRAOPT;These dread royalist bandits will bother us no more.;;;;;;;;;;;;;
PETITJOURNALTITLE;Le Petit Journal;;;;;;;;;;;;;
PETITJOURNALOPT;Seulement cinq centimes!;;;;;;;;;;;;;
