Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
east_indies;East Indies;;;;;;;;;;;;;
AUS_628;Sudetenland;;;;;;;;;;;;;
RUS_990;Kostroma;;;;;;;;;;;;;
RUS_1016;Severia;;;;;;;;;;;;;
RUS_1034;Samara;;;;;;;;;;;;;
RUS_1039;Saratov;;;;;;;;;;;;;
SAK_1406;North Sumatra;;;;;;;;;;;;;
PAG_1408;West Sumatra;;;;;;;;;;;;;
NET_1415;Central Java;;;;;;;;;;;;;
NET_1416;Princely States;;;;;;;;;;;;;
NET_1422;South Borneo;;;;;;;;;;;;;
ENG_1721;Coromandel Coast;;;;;;;;;;;;;
ENG_1819;Chad;;;;;;;;;;;;;
FRA_2406;Desolation Islands;;;;;;;;;;;;;
NEJ_1157;Rub'al-Khali;;;;;;;;;;;;;
