Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
haitian_integration_title;Integrate Haiti;;;;;;;;;;;;;
haitian_integration_desc; While France has restored order to the rebellious colony of Haiti, resistance and tension has persisted in the colony. If we were invest heavily in Haiti, as well as extend equal rights to the Haitians and make Haiti a part of Metropolitan France, we may finally be able to calm the island's citizenry down and regain the loyalty of the Haitians.;;;;;;;;;;;;;
EVTNAME7790001;France's American Colonies?;;;;;;;;;;;;;
EVTNAME7790001OPTA;We are but one soul separated by the sea. §RGain 8 infamy§W;;;;;;;;;;;;;
EVTNAME77900031OPTA;We are but one soul separated by the sea.;;;;;;;;;;;;;
EVTNAME7790001OPTB;We will not shed French blood over a few acres of snow.;;;;;;;;;;;;;
EVTNAME7790003;$FROMCOUNTRY$ Demands Quebec;;;;;;;;;;;;;
EVT7790001OPTA;We will not bow to French Demands!;;;;;;;;;;;;;
EVT7790001OPTB;The French Canadians are more trouble than they're worth. §GLose 5 infamy§W;;;;;;;;;;;;;
treaty_of_paris_title;The Treaty of Paris ($YEAR$);;;;;;;;;;;;;
EVTNAME7790004;$FROMCOUNTRY$ has ignored our demands!;;;;;;;;;;;;;
EVT7790004OPTA;War is our only option for reclaiming New France! §RGain 5 infamy§W;;;;;;;;;;;;;
EVT7790004OPTB;Reuniting the French Canadians was a noble dream, but it isn't worth it. §GLose 5 infamy§W;;;;;;;;;;;;;
EVTNAME7790005;$FROMCOUNTRY$ has agreed!;;;;;;;;;;;;;
EVT7790005OPTA;We are united once more. §RGain 5 infamy§W;;;;;;;;;;;;;
treaty_of_paris_desc;§RGain 5 infamy§! Despite early British confidence, British forces were unable to make any gains against France. The British are willing to bring an end to the war by seceding Quebec and Acadia in its entirety, however in return we would recognize British control in the rest of North America.\n\n§RNOTE: This will only give you Quebec and Acadia but NOT all of Canada, this removes the ability to go for French Louisiana.;;;;;;;;;;;;;
treaty_of_paris2_title;The Treaty of Montreal ($YEAR$);;;;;;;;;;;;;
treaty_of_paris2_desc;§RGain 10 infamy§! Despite early British confidence, they have suffered a immense defeat at the hands of our armies, the French flag flies once again in Quebec and Acadia and British have agreed to secede the whole of British North America to our control. This is a glorious day for the French people! ;;;;;;;;;;;;;
EVTDESC7790005;The United Kingdom has agreed to our demands, and they have offered to handover the French-speaking parts of Canada in return for a hefty sum of money. While perhaps more than what French Canada is worth, It is far lower than the cost of a drawn out war with the UK.;;;;;;;;;;;;;
EVTDESC7790008;Despite our best efforts, French armies once again occupy much of Spain. It seems there is little choice but to surrender to the French and allow them to dictate terms. If they are kind, they will simply force us to admit defeat, or possibly annex some of our colonial possessions. If they are unkind, they may force us to give up territory in our homeland -- though doing so will surely bring about the wrath of the European powers.;;;;;;;;;;;;;
EVTDESC7790009;The French Army has consolidated their control over Madrid and proven their superiority in the war, and thus the Spanish government has little choice but to accept any terms we dictate. The European powers are pushing for peace and conciliation -- they wish to see that France only receives minor concessions -- though if we dare risk their wrath we could certainly wrest territorial considerations, both Overseas and in Iberia itself.;;;;;;;;;;;;;
EVTNAME7790010;France's Natural Borders;;;;;;;;;;;;;
EVTOPT7790010;Vive la France!;;;;;;;;;;;;;
treaty_of_new_york_title;The Treaty of New York ($YEAR$);;;;;;;;;;;;;
treaty_of_new_york_desc;The Americans have been beaten. French troops control all key cities on the Eastern Seaboard as well as the American capital, giving the US no choice but to negotiate a treaty with us. We intend to demand the return of Colonial Louisiane, the cession of Maine down to the Kennebec River, and the revocation of any claim to said territories. For fair compensation, we promise the Americans a large sum of money as well as the Anglo-dominated portions of Upper Canada, as well as revoking any claim we have to the Ohio river valley.;;;;;;;;;;;;;
french_louisiana_title;Reconquering the Louisiana Colony;;;;;;;;;;;;;
french_louisiana_desc;§RGain 25 infamy§! French Louisiana was an administrative district of New France. Under French control 1682 to 1762 and 1802 (nominally) to 1803, the area was named in honor of King Louis XIV, by French explorer Rene-Robert Cavelier, Sieur de la Salle. While France lost the territory during the Seven Years' War, France regained sovereignty of the western territory in the secret Treaty of San Ildefonso of 1800. But strained by obligations in Europe, Napoleon Bonaparte decided to sell the territory to the United States in the Louisiana Purchase of 1803, ending France's presence in Louisiana.\n\nAttempting to reconquer the vast territory of Louisana will be a monumental task...;;;;;;;;;;;;;
integrate_guyana_title;Integrate French Guiana;;;;;;;;;;;;;
