Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
rundi;Tutsi;;;;;;;;;;;;;
ruanda;Rwanda-Rundi;;;;;;;;;;;;;
far_east_asian;Far East Asian;;;;;;;;;;;;;
maldivian;Maldivian;;;;;;;;;;;;;
nyoro;Nyoro;;;;;;;;;;;;;
hema;Hema;;;;;;;;;;;;;
PAP_reactionary;College of Cardinals;;;;;;;;;;;;;
USA_reactionary;Federalists;;;;;;;;;;;;;
USA_reactionary2;Southern Democrats;;;;;;;;;;;;;
ITP_reactionary;College of Cardinals;;;;;;;;;;;;;
aromanian;Aromanian;;;;;;;;;;;;;
romansh;Romansh;;;;;;;;;;;;;
tigray;Tigrayan;;;;;;;;;;;;;
sidama;Sidamo;;;;;;;;;;;;;
CHK_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
HNS_conservative;Hansetag;;;;;;;;;;;;;
HNS_liberal;Stadtebund;;;;;;;;;;;;;
HNS_communist;Likedeeler;;;;;;;;;;;;;
HNS_reactionary;Altermanner;;;;;;;;;;;;;
HNS_anarcho_liberal;Patriziat;;;;;;;;;;;;;
HNS_fascist;Schwarzhaupter;;;;;;;;;;;;;
HNS_socialist;Burgerschaft;;;;;;;;;;;;;
SIO_liberal;Keetoowah Society;Société Keetoowah;Keetoowah Society;;Sociedad de Keetoowah;;;;;;;;;
SIO_liberal;Keetoowah Society;Société Keetoowah;Keetoowah Society;;Sociedad de Keetoowah;;;;;;;;;
SIO_conservative;Traditional Party;Parti traditionnel;Traditional Party;;Partido Tradicional;;;;;;;;;
SIO_conservative_2;National Party;Parti national;National Party;;Partido Nacional;;;;;;;;;
SIO_socialist;Social Party;Parti social;Social Party;;Partido Social;;;;;;;;;
SIO_reactionary;Nationalist Party;Parti nationaliste;Nationalist Party;;Partido Nacionalista;;;;;;;;;
SIO_anarcho_liberal;Radical Party;Parti radical;Radical Party;;Partido Radical;;;;;;;;;
SIO_communist;Communist Party;Parti communiste ;Communist Party;;Partido Comunista;;;;;;;;;
SIO_fascist;Fascist Party;Parti fasciste;Fascist Party;;Partido Fascista;;;;;;;;;
gaoshan;Gaoshan;;;;;;;;;;;;;
cham;Cham;;;;;;;;;;;;;
galician;Galician;;;;;;;;;;;;;
AAA_conservative_1;Loyalists;;;;;;;;;;;;;
AAA_conservative_2;Centrists;;;;;;;;;;;;;
AAA_conservative_3;Monarchists;;;;;;;;;;;;;
AAA_conservative_4;Moderates;;;;;;;;;;;;;
AAA_conservative_5;National Democratic Party;;;;;;;;;;;;;
AAA_liberal_1;Republican Party;;;;;;;;;;;;;
AAA_liberal_2;Parliamentarists;;;;;;;;;;;;;
AAA_liberal_3;Reformists;;;;;;;;;;;;;
AAA_liberal_4;Liberal Democrats;;;;;;;;;;;;;
AAA_liberal_5;National Liberal Party;;;;;;;;;;;;;
AAA_socialist_1;National Socialists;;;;;;;;;;;;;
AAA_socialist_2;Labor Party;;;;;;;;;;;;;
AAA_socialist_3;People's Party;;;;;;;;;;;;;
AAA_socialist_4;Social Democrats;;;;;;;;;;;;;
AAA_socialist_5;Progressivists;;;;;;;;;;;;;
AAA_reactionary_1;Traditionalists;;;;;;;;;;;;;
AAA_reactionary_2;Restorationists;;;;;;;;;;;;;
AAA_radical_1;Free Trade Party;;;;;;;;;;;;;
AAA_radical_2;Radicals;;;;;;;;;;;;;
AAA_communist_1;Workers' Party;;;;;;;;;;;;;
AAA_communist_2;Internationalists;;;;;;;;;;;;;
AAA_fascist_1;Patriotic Front;;;;;;;;;;;;;
