Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME2037107;Cheating;;;;;;;;;;;;;
EVTDESC2037107;One_of_the_other_players_has_been_cheating,_$FROMCOUNTRY$_has_a_bonus_he_shouldn't_have.;;;;;;;;;;;;;
EVTDESC36898_NEWS_LONG;Princess_Alexandrina_Victoria_of_House_Hanover_has_ascended_to_the_throne_of_The_United_Kingdom_of_Great_Britain_and_Ireland_as_'Queen_Victoria'._Today_a_jubilant_London_crowd_has_escorted_her_to_her_residence_in_the_newly_built_Buckingham_Palace._People_of_all_classes_and_creeds_are_delighted_to_see_the_new_Monarch_take_her_place_as_sovereign_of_the_UK,_and_the_Queen_herself_is_reportedly_looking_forward_to_the_tasks_and_challenges_which_accompany_this_onerous_office._Her_uncle,_King_William_IV,_will_be_greatly_missed_and_fondly_remembered_by_the_British_people.;;Prinzessin_Alexandrina_Victoria_von_Hannover_hat_den_Thron_des_Vereinigten_Königreichs_von_Großbritannien_und_Irland_als_'Königin_Victoria'_bestiegen._Die_jubelnde_Londoner_Menge_eskortierte_sie_zu_ihrer_Residenz_im_neuen_Buckingham_Palace._Menschen_aller_Klassen_und_jeden_Glaubens_freuen_sich_über_die_neue_Monarchin_auf_dem_Thron_Großbritanniens_und_die_Königin_sieht_lt._Berichten_den_Aufgaben_und_Herausforderungen_dieses_ehrbaren_Amtes_freudig_entgegen._Ihr_Vater,_König_George_III._wird_sehr_vermisst_werden_und_dem_britischen_Volk_in_guter_Erinnerung_bleiben.;;;;;;;;;;;
EVTDESC36898_NEWS_MEDIUM;Princess_Alexandrina_Victoria_has_ascended_the_throne_of_The_United_Kingdom_of_Great_Britain_&_Ireland._Today_a_jubilant_crowd_has_escorted_her_to_Buckingham_Palace._People_of_all_classes_and_creeds_are_delighted_and_she_is_looking_forward_to_the_tasks_which_accompany_the_office.;;Prinzessin_Alexandrina_Victoria_hat_den_Thron_des_Vereinigten_Königreichs_von_Großbritannien_und_Irland_bestiegen._Eine_jubelnde_Menge_begleitete_sie_heute_zum_Buckingham_Palace._Sie_sieht_den_Aufgaben_dieses_ehrbaren_Amtes_freudig_entgegen.;;;;;;;;;;;
EVTDESC36898_NEWS_SHORT;Princess_Victoria_of_House_Hanover_has_ascended_the_throne_of_The_United_Kingdom_of_Great_Britain_&_Ireland._People_of_all_classes_and_creeds_are_delighted._King_Willian_IV_will_be_greatly_missed.;;Prinzessin_Victoria_von_Hannover_hat_den_Thron_des_Vereinigten_Königreichs_von_Großbritannien_und_Irland_bestiegen._Menschen_aller_Gruppierungen_jubeln._König_George_wird_vermisst_werden.;;;;;;;;;;;
EVTNAME44360;Louis Riel Gains Public Notice;;;;;;;;;;;;;
EVTDESC44360;The_noted_Louis_Riel_has_become_a_figurehead_amongst_his_people._He_calls_for_increased_rights_for_Metis_people_across_Canada._Unique_among_his_number,_the_young_Riel_has_quickly_risen_to_prominence_due_to_his_eloquent_speech,_his_education,_and_his_earnest_beliefs._Leaving_him_alive_would_be_a_great_example_of_Canada's_freedom_of_speech,_but_the_government_can_pull_a_few_strings_in_order_to_effect_a_policy_beneficial_to_the_status_quo.;;;;;;;;;;;;;
EVTNAME44361;William McDougall;;;;;;;;;;;;;
EVTDESC44361;The_Anglo-Canadian_gentleman_William_McDougall_has_been_proposed_to_be_the_Lieutenant_Governor_of_the_troubled_Rupert's_Land/North_West_Territories._His_invaluable_service_and_experience_in_the_past_puts_him_in_a_prime_position_to_manage_the_territories,_but_some_believe_his_anti-French_and_Anti-Metis_policies_to_be_too_heavy-handed_for_the_troubled_territories.;;;;;;;;;;;;;
EVTNAME44362;The Red River Rebellion;;;;;;;;;;;;;
EVTDESC44362;The_Red_River_Rebellion,_later_referred_to_as_the_First_Riel_Rebellion,_was_a_rebellion_that_occurred_soon_after_Canadian_Confederation._The_Canadian_Government_had_installed_an_anti-French_and_anti-Metis_lieutenant_governor,_William_McDougall,_in_the_newly-bought_North_West_Territory._When_McDougall_sent_surveyors_into_what_would_eventually_be_the_province_of_Manitoba,_the_restless_Metis_inhabitants_sent_their_own_delegation_to_intercept_these_surveyors_and_proclaimed_the_existence_of_the_Metis_Confederation._Historically,_they_established_a_provisional_government_in_the_new_Confederation,_which_the_Canadian_Government_tolerated_while_the_situation_developed.;;;;;;;;;;;;;
EVTNAME44363;The Execution of Thomas Scott;;;;;;;;;;;;;
EVTDESC44363;Thomas_Scott,_an_Orangeman_of_Irish_descent,_was_executed_by_Louis_Riel_during_the_Red_River_Rebellion_for_conspiring_against_the_self-proclaimed_Metis_provisional_government._Historically,_Riel_wished_to_show_the_world_that_the_Metis_peoples_were_demanding_to_be_taken_seriously,_but_the_Canadian_Government_viewed_this_action_by_Riel_as_a_step_too_far_and_outfitted_the_Wolseley_Expedition_to_quell_the_Rebellion._After_conflicts_with_the_Metis,_Louis_Riel_was_captured_and_exiled_to_the_United_States._With_this,_the_Red_River_Rebellion_was_crushed,_but_the_Metis_and_Native_peoples_would_not_soon_forget_this_act.;;;;;;;;;;;;;
EVTNAME44364;The Return of Louis Riel and the Second Riel Rebellion;;;;;;;;;;;;;
EVTDESC44364;After_being_elected_to_parliament_three_times_in_absentia_after_his_exile,_Louis_Riel_returned_to_Canada_in_1884._Using_increased_Metis_and_Native_cohesion,_the_ailing_Riel_managed_to_assemble_a_loose_coalition_to_reattempt_his_rebellion_for_Metis_independence_in_1885._Historically,_this_rebellion_was_a_failure_due_to_internal_strife_amongst_Rebellion_leaders,_an_increasingly_ill_and_megalomaniacal_Riel,_and_increased_Federal_cohesion._Canada_was_no_longer_a_fledgling_nation_just_getting_on_its_feet,_and_quickly_moved_to_wipe_out_Riel_and_his_rebellion.;;;;;;;;;;;;;
EVTNAME44365;Louis Riel's Fate;;;;;;;;;;;;;
EVTDESC44365;Historically,_after_surrendering_to_the_Canadian_forces_after_his_failed_rebellion,_the_Canadian_Government_held_a_quick_trial_in_what_can_be_best_called_a_kangaroo_court._Held_in_a_hostile_city_before_a_jury_of_purely_Anglo-Canadian_Protestant_jurors,_the_Catholic_Metis_Louis_Riel_was_found_guilty_of_treason_and_sentenced_to_death_after_a_trial_lasting_only_five_days._Louis_Riel_refused_to_plea_insanity,_instead_delivering_two_heartfelt_speeches_to_the_court,_and_later_asserting_to_his_lawyer_that_"Life,_without_the_dignity_of_an_intelligent_being,_is_not_worth_having."_Louis_Riel_was_hanged_on_the_18th_of_September,_1885._His_rebellions_and_the_spirit_of_the_Metis_would_largely_die_with_him,_but_in_due_time_he_would_be_remembered_as_a_folk_hero_amongst_White,_Metis,_and_Native_people_alike.;;;;;;;;;;;;;
EVTNAME44366;Quebec Presses for Release!;;;;;;;;;;;;;
EVTDESC44366;Following_the_precedent_of_a_recent_secession,_the_Quebecois_peoples_are_pressing_the_Canadian_Government_for_independence!;;;;;;;;;;;;;
EVTNAME44367;Columbia Presses for Release!;;;;;;;;;;;;;
EVTDESC44367;Following_the_precedent_of_a_recent_secession,_the_Columbian_peoples_are_pressing_the_Canadian_Government_for_independence!;;;;;;;;;;;;;
EVTNAME44368;The Metis Confederation is beyond our grasp!;;;;;;;;;;;;;
EVTDESC44368;The_Metis_Confederation_has_managed_to_gain_independence,_either_through_rebellion_or_external_means.;;;;;;;;;;;;;
EVTNAME44369;Quebec is beyond our grasp!;;;;;;;;;;;;;
EVTDESC44369;Quebec_has_managed_to_gain_independence,_either_through_rebellion_or_external_means.;;;;;;;;;;;;;
EVTNAME44370;Columbia is beyond our grasp!;;;;;;;;;;;;;
EVTDESC44370;Columbia_has_managed_to_gain_independence,_either_through_rebellion_or_external_means.;;;;;;;;;;;;;
EVTNAME203770;Slavery Continues In Our Nation;;;;;;;;;;;;;
EVTDESC203770;Slavery,_that_ever-controversial_policy,_has_continued_on_in_our_nation.;;;;;;;;;;;;;
EVTNAME203800;Anti-Terrorism Coalition Proposed;;;;;;;;;;;;;
EVTDESC203800;A_group_of_wealthy_capitalists_from_your_country_has_come_to_you_after_the_recent_attack_on_the_Statue_of_Liberty._They_propose_an_anti-terrorism_coalition_force_to_protect_our_country_from_any_possible_terrorist_attacks._They_are_all_upstanding_capitalists_and_the_core_of_your_economy,_but_they_also_propose_a_different_option:_technological_progress_and_ethical_flexibility._All_you_need_is_to_give_your_executive_order.;;;;;;;;;;;;;
EVTNAME203801;Secret Conspiracies uncovered!;;;;;;;;;;;;;
EVTDESC203801;After_poking_around_with_your_secret_police,_it_has_come_to_your_attention_that_the_anti-terrorism_force_is_just_a_front_for_a_conspiracy_of_capitalists_who_seek_to_take_control_of_the_nation_and_the_world._When_you_confront_them,_they_very_tactfully_invite_you_to_join_their_secret_organization_and_gain_a_place_in_the_world,_so_long_as_you_help_them_with_their_devious_plans.;;;;;;;;;;;;;
EVTNAME203802;The Conspiracy reaches fruition;;;;;;;;;;;;;
EVTDESC203802;We've_had_to_endure_much,_but_soon_there_will_be_order_again._A_new_age!_Aquinas_spoke_of_the_mythical_city_on_the_hill._Soon_that_city_will_be_a_reality.;;;;;;;;;;;;;
