Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ION_radical;Ethnikón Rizospastikón Kómma;;;;;;;;;;;;;
ROM_reactionary;Partidul National Roman;;;;;;;;;;;;;
ROM_reactionary_2;Partidul Nationalist-Democrat;;;;;;;;;;;;;
ROM_reactionary_3;Partidul Poporului;;;;;;;;;;;;;
ROM_conservative;Partidul Conservator;;;;;;;;;;;;;
ROM_conservative_2;Partidul Taranesc;;;;;;;;;;;;;
ROM_conservative_3;Partidul National Taranesc;;;;;;;;;;;;;
ROM_liberal;Fractionistii;;;;;;;;;;;;;
ROM_liberal_2;Partidul National Liberal;;;;;;;;;;;;;
ROM_radical;Partidul din Drepturile Omulu;;;;;;;;;;;;;
ROM_socialist;Partidul Social-Democrat;;;;;;;;;;;;;
ROM_communist;Partidul Comunist;;;;;;;;;;;;;
ROM_fascist;Garda de Fier;;;;;;;;;;;;;
ZBW_dominion;Southern Rhodesia;;;;;;;;;;;;;
ZBW_dominion_ADJ;Rhodesian;;;;;;;;;;;;;
ZBW_liberal_2;Rakasununguka Bato;;;;;;;;;;;;;
ZBW_conservative_2;Bato Zharares;;;;;;;;;;;;;
ZBW_socialist_2;Uchenjerit;;;;;;;;;;;;;
ZBW_reactionary_2;Shoroma Shona;;;;;;;;;;;;;
ZBW_radical_2;Mumambo;;;;;;;;;;;;;
ZBW_liberal;United African National Council;;;;;;;;;;;;;
ZBW_conservative;Zimbabwe United People's Organisation;;;;;;;;;;;;;
ZBW_socialist;Zimbabwe African National Union;;;;;;;;;;;;;
ZBW_reactionary;Patriotic Front;;;;;;;;;;;;;
ZBW_radical;Radical Party of Zimbabwe;;;;;;;;;;;;;
ZBW_communist;Zimbabwe African People's Union;;;;;;;;;;;;;
ZBW_fascist;Fascist Party of Zimbabwe;;;;;;;;;;;;;
CMS_liberal;Democratic Rally of the Comorian People;;;;;;;;;;;;;
CMS_conservative;Comorian Democratic Union;;;;;;;;;;;;;
CMS_socialist;Socialist Party of Comoros;;;;;;;;;;;;;
CMS_reactionary;Comorian Union for Progress;;;;;;;;;;;;;
CMS_radical;Uwezo;;;;;;;;;;;;;
CMS_communist;Democratic Assembly of the Comorian People;;;;;;;;;;;;;
CMS_fascist;Party for National Salvation;;;;;;;;;;;;;
nahua;Mesoamerican Indian;;;;;;;;;;;;;
kreol;Kreol;;;;;;;;;;;;;
EQG_liberal;Progressive Democratic Alliance;;;;;;;;;;;;;
EQG_conservative;Popular Union;;;;;;;;;;;;;
EQG_socialist;Popular Idea;;;;;;;;;;;;;
EQG_reactionary_2;PDGE;;;;;;;;;;;;;
EQG_reactionary;Bubi Union;;;;;;;;;;;;;
EQG_radical;Popular Action;;;;;;;;;;;;;
EQG_communist;United National Workers' Party;;;;;;;;;;;;;
EQG_fascist;Movement of National Union;;;;;;;;;;;;;
POR_fascist;Movimento Nacional-Sindicalista;;;;;;;;;;;;;
IRE_fascist;The Blueshirts;;;;;;;;;;;;;
IRE_communist;Communist Party of Ireland;;;;;;;;;;;;;
IRE_conservative;Irish Conservative Party;;;;;;;;;;;;;
AST_fascist;New Guard;;;;;;;;;;;;;
alaskan;Alyaskan;;;;;;;;;;;;;
USA_conservative_2;Democrats;;;;;;;;;;;;;
USA_conservative_4;Democratic Party;;;;;;;;;;;;;
USA_liberal;Republicans;;;;;;;;;;;;;
USA_liberal_4;Republican Party;;;;;;;;;;;;;
YUG_fascist;ZBOR;;;;;;;;;;;;;
AUS_fascist;Vaterländische Front;;;;;;;;;;;;;
SWI_liberal;Freisinnig-Demokratische Partei;;;;;;;;;;;;;
GCO_communist;Partido Communista;;;;;;;;;;;;;
GCO_fascist;Partido Fascista;;;;;;;;;;;;;
CNG_liberal_2;Alliance of Bakongo;;;;;;;;;;;;;
CNG_conservative_2;Congolese National Movement;;;;;;;;;;;;;
CNG_socialist;African Solidarity Party;;;;;;;;;;;;;
CNG_reactionary_2;Popular Movement of the Revolution;;;;;;;;;;;;;
CNG_radical;Common Front;;;;;;;;;;;;;
CNG_communist;Congolese National Union;;;;;;;;;;;;;
CNG_fascist;Party of National Unity;;;;;;;;;;;;;
scottish;Scottish;;;;;;;;;;;;;
ITA_reactionary;Fazione Monarchica;Restorationiste;Ristorazionista;;Restauracionistas;;;;;;;;;
ITA_conservative;La Destra;;;;;;;;;;;;;
ITA_conservative_2;Partito Liberale Italiano;;;;;;;;;;;;;
ITA_conservative_3;Sinistra Dissidente;;;;;;;;;;;;;
ITA_liberal;La Sinistra;;;;;;;;;;;;;
ITA_liberal_2;Partito Repubblicano Italiano;;;;;;;;;;;;;
ITA_socialist;L'Estrema;;;;;;;;;;;;;
ITA_socialist_2;Partito Socialista Italiano;;;;;;;;;;;;;
ITA_radical;L'Estrema Liberale;;;;;;;;;;;;;
ITA_communist;Partito Comunista d'Italia;;;;;;;;;;;;;
ITA_fascist;Partito Nazionale Fascista;;;;;;;;;;;;;
PGG_reactionary;Jahriyya Menhuan;;;;;;;;;;;;;
PGG_liberal;Gaige Pai Zhenying;;;;;;;;;;;;;
PGG_conservative;Qa'id Jami al-Muslimin;;;;;;;;;;;;;
PGG_radical;Jijin Dang;;;;;;;;;;;;;
PGG_socialist;Shehuidang;;;;;;;;;;;;;
PGG_communist;Gòngchandang;;;;;;;;;;;;;
PGG_fascist;Fàxisi Dang;;;;;;;;;;;;;
UKR_conservative;Ukrainian Democratic Agrarian Party;;;;;;;;;;;;;
UKR_liberal;Ukrainian Democratic Party;;;;;;;;;;;;;
UKR_reactionary;Congress of Landowners;;;;;;;;;;;;;
UKR_radical;Ukrainian Radical Party;;;;;;;;;;;;;
UKR_socialist;Ukrainian Social Democratic Labor Party;;;;;;;;;;;;;
UKR_communist;Ukrainian Communist Party;;;;;;;;;;;;;
UKR_fascist;Organization of Ukrainian Nationalists;;;;;;;;;;;;;
ALB_communist;Partia e Punës e Shqipërisë;;;;;;;;;;;;;
