Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME97084;The Andean War in the Pacific;;;;;;;;;;;;;
EVT97084OPTA;We shall not interfere.;;;;;;;;;;;;;
EVT97084OPTB;We already picked a side.;;;;;;;;;;;;;
EVTNAME90058;The Schleswig War;;;;;;;;;;;;;
EVTDESC90058;\n\nThe_Danish_are_fighting_the_Germans_in_their_intervention_in_Schleswig._Helping_our_Scandinavian_brothers_will_help_strengthen_the_bound_between_our_countries,_while_failing_to_help_them_might_gravely_hamper_our_efforts_for_an_united_Scandinavia.;;;;;;;;;;;;;
EVT90058OPTA;We will help.;;;;;;;;;;;;;
EVT90058OPTB;We will not get involved.;;;;;;;;;;;;;
EVTNAME199073;Tea Plantations in $PROVINCENAME$;;;;;;;;;;;;;
EVTDESC199073;\n\nWith_his_servant_Wang_walking_five_paces_ahead_to_announce_his_arrival,_Robert_Fortune,_dressed_in_his_mandarin_garb,_entered_the_gates_of_a_green_tea_factory._Wang_began_to_supplicate_frantically._Would_the_master_of_the_factory_allow_an_inspection_from_a_visitor,_an_honored_and_wise_official_who_had_traveled_from_a_far_province_to_see_how_such_glorious_tea_was_made?_In_1848,_the_British_East_India_Company_sent_Robert_Fortune_on_a_trip_to_China's_interior,_an_area_forbidden_to_foreigners._Fortune's_mission_was_to_steal_the_secrets_of_tea_horticulture_and_manufacturing._The_Scotsman_donned_a_disguise_and_headed_into_the_Wu_Si_Shan_hills_in_a_bold_act_of_corporate_espionage._The_results_can_be_seen_today_in_$PROVINCE$,_where_the_first_tea_plantations_are_yielding_their_first_harvest.;;;;;;;;;;;;;
EVTNAME44157;The Oregon War;;;;;;;;;;;;;
EVT6044157OPTA;The Americans will be defeated!;;;;;;;;;;;;;
EVTNAME11002;The $MONARCHTITLE$'s Speech;;;;;;;;;;;;;
EVTNAME11001;The Dissolution of the $COUNTRY_ADJ$ Upper House;;;;;;;;;;;;;
EVTNAME169002;Forceful Revocation of Directive No 1;;;;;;;;;;;;;
EVTDESC169002;\n\nSweeping_changes_took_place_in_$CAPITAL$_that_led_to_the_forceful_revocation_of_Directive_No_1.;;;;;;;;;;;;;
EVT169002OPTA;New beginnings for the $COUNTRY_ADJ$ people.;;;;;;;;;;;;;
EVTNAME169001;Hundreds of Thousands Killed in $COUNTRY_ADJ$-led Massacre;;;;;;;;;;;;;
EVTDESC169001;\n\nDuring_my_few_days_of_service_in_this_government_I've_learned_of_a_few_secrets_and_have_come_across_something_interesting._The_deportation_order_was_issued_through_official_channels_by_the_minister_of_the_interior_and_sent_to_the_provinces._Following_this_order_the_Central_Committee_circulated_its_own_ominous_order_to_all_parties_to_allow_the_gangs_to_carry_out_their_wretched_task._Thus_the_gangs_were_in_the_field,_ready_for_their_atrocious_slaughter..._The_'mission'_in_the_circular_was:_to_attack_the_convoys_and_massacre_the_population..._I_am_ashamed_as_a_$COUNTRY_ADJ$._What_a_stain_on_the_reputation_of_$COUNTRY$,_these_criminal_people...\nThe_first-hand_report_of_a_$COUNTRY_ADJ$_defector_made_the_newspapers_headlines_of_one_of_the_Great_Powers._Soon,_more_evidence_started_to_appear:_in_$CAPITAL$,_senior_government_officials_scramble_to_contain_the_damage_of_the_damning_report.;;;;;;;;;;;;;
EVT169001OPTA;This does not improve our image.;;;;;;;;;;;;;
EVTNAME169000;Mass Graves Found in $STATENAME$;;;;;;;;;;;;;
EVTDESC169000;\n\nMass_graves_where_found_in_$PROVINCENAME$,_the_bloody_result_of_a_$COUNTRY_ADJ$_purge_against_its_perceived_enemies._Throughout_the_whole_of_$STATENAME$,_the_situation_is_the_same._In_$CAPITAL$,_$COUNTRY_ADJ$_authorities_are_denying_any_knowledge_of_this_while_they_try_to_suppress_this_information_leaking_outside_of_$COUNTRY$._They_say_it_would_damage_the_$COUNTRY_ADJ$_reputation_and_is_best_to_deal_with_these_matters_internally._An_ongoing_government_investigation_has_failed_to_find_any_culprits.;;;;;;;;;;;;;
EVT169000OPTA;Who could be responsible for such an abomination?;;;;;;;;;;;;;
constitutional_crisis;Constitutional Crisis;;;;;;;;;;;;;
constitutional_crisis_desc;Constitutional rules were broken, leaving both Houses and the government in a bad position.;;;;;;;;;;;;;
EVTNAME6016818;Constitutional Crisis;;;;;;;;;;;;;
