Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ARG_2366;Chaco Central;;;;;;;;;;;;;
edo_culture;Edoid;;;;;;;;;;;;;
HDJ_1155;Asir;;;;;;;;;;;;;
east_africa;East Africa;;;;;;;;;;;;;
west_africa;West Africa;;;;;;;;;;;;;
south_africa;South Africa;;;;;;;;;;;;;
central_africa;Equatorial Africa;;;;;;;;;;;;;
indochina;Indochina;;;;;;;;;;;;;
equatorial_africa;Equatorial Africa;;;;;;;;;;;;;
PRU_684;Upper Silesia;;;;;;;;;;;;;
NET_2235;Leeward Antilles;;;;;;;;;;;;;
BRZ_2461;Santa Catarina;;;;;;;;;;;;;
AST_2535;Melanesian Islands;;;;;;;;;;;;;
RUS_2587;Kola;;;;;;;;;;;;;
CHI_2678;Outer Mongolia;;;;;;;;;;;;;
CAN_19;New Caledonia;;;;;;;;;;;;;
PEU_2308;Arica;;;;;;;;;;;;;
SWI_2568;Ticino;;;;;;;;;;;;;
druze;Druze;;;;;;;;;;;;;
AUS_733;Friuli;;;;;;;;;;;;;
arid_climate;Arid Climate;;;;;;;;;;;;;
CANAL_6;English Channel;;;;;;;;;;;;;
#EGY_846;Nisiá Aigaíou;;;;;;;;;;;;;
ASH_1910;Volta;;;;;;;;;;;;;
australia_new_zealand;Oceania;;;;;;;;;;;;;
polynesia;Polynesia;;;;;;;;;;;;;
RUS_1072;Hailanpao;;;;;;;;;;;;;
CAN_18;New Caledonia;;;;;;;;;;;;;
ALD_1714;Saoura;;;;;;;;;;;;;
RUS_2618;Kamchatka;;;;;;;;;;;;;
RUS_2621;Kolyma;;;;;;;;;;;;;
RUS_2590;Chukotka;;;;;;;;;;;;;
RUS_2694;Evenkiysk;;;;;;;;;;;;;
RUS_2615;Northern Yeniseysk;;;;;;;;;;;;;
RUS_2653;Khanty-Mansi;;;;;;;;;;;;;
ARG_2393;La Pampa;;;;;;;;;;;;;
MEX_94;Nevada;;;;;;;;;;;;;
PER_1128;Lorestân;;;;;;;;;;;;;
KOK_1210;Bandakshan;;;;;;;;;;;;;
PAN_1233;Amritsar;;;;;;;;;;;;;
NEP_1326;Western Himalayas;;;;;;;;;;;;;
BRU_1397;Sabah;;;;;;;;;;;;;
CHI_1496;Hong Kong;;;;;;;;;;;;;
CHI_1502;Kwangsi;;;;;;;;;;;;;
CHI_1555;Kirin;;;;;;;;;;;;;
TIB_1587;Eastern Himalayas;;;;;;;;;;;;;
TRI_1740;Fezzan;;;;;;;;;;;;;
ETH_1862;Gibe;;;;;;;;;;;;;
FRA_1970;Bangassou;;;;;;;;;;;;;
ENG_2048;Zambezia;;;;;;;;;;;;;
ENG_2094;Griqualand West;;;;;;;;;;;;;
BAV_601;Niederbayern;;;;;;;;;;;;;
