1925DALIOPT;What a tragedy!;;;;;;;;;;;;;
1921MASSAWAOPT;God have mercy on us.;;;;;;;;;;;;;
1929ARTHURSPASSOPT;Let us give our condolences the families of the victims.;;;;;;;;;;;;;
1935SHINCHIKUTAICHUOPT;May they rest in peace.;;;;;;;;;;;;;
1934PAHIATUAOPT;Not again.;;;;;;;;;;;;;
1934NEPALINDIAOPT;Why us, just why?;;;;;;;;;;;;;
1933KOSOPT;What an unprecidented event!;;;;;;;;;;;;;
1920MENDOZAOPT;¡Malditos sean estos terremotos!;;;;;;;;;;;;;
1932CHANGMAOPT;Why must the innocent die in such disasters?;;;;;;;;;;;;;
1932IERISSOSOPT;Does Poseidon hunger for such destruction?;;;;;;;;;;;;;
1931OAXACAOPT;¡¿Por qué nosotros?!;;;;;;;;;;;;;
1931NICARAGUAOPT;¡La tragedia!;;;;;;;;;;;;;
1930SENIGALLIAOPT;Una tragedia interminabile!;;;;;;;;;;;;;
1917BALIOPT;Do the gods mean to spite us?!;;;;;;;;;;;;;
1930SALMASOPT;The ground erupts and swallows all in its wake.;;;;;;;;;;;;;
1930GARFAGNANAOPT;Dio abbi pietà!;;;;;;;;;;;;;
1920XALAPAOPT;¡Dios tenga piedad!;;;;;;;;;;;;;
1905KANGRAOPT;Life is a bridge. Cross over it, but build no house on it.;;;;;;;;;;;;;
1930BAGOOPT;The living mourns the dead.;;;;;;;;;;;;;
1929GRANDBANKSOPT;Thank God the fatalities were so low!;;;;;;;;;;;;;
1917GUATEMALAOPT;There is no death, only a change of worlds.;;;;;;;;;;;;;
1900SANNARCISOOPT;Nacemos solos, vivimos solos, morimos solos.;;;;;;;;;;;;;
1909BENAVENTEOPT;Death spares neither Pope nor beggar.;;;;;;;;;;;;;
1910COSTARICAOPT;At least they recovered within a year.;;;;;;;;;;;;;
1912ACAMBAYOPT;¡Toda la humanidad!;;;;;;;;;;;;;
1918SHANTOUOPT;"The happiest life ends before death.";;;;;;;;;;;;;
1905CALAMBRIAOPT;Will the earthquakes never cease?;;;;;;;;;;;;;
