Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ACR_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
AIN_conservative;Conservatist Faction;;;;;;;;;;;;;
AIN_liberal;Reformist Faction;;;;;;;;;;;;;
AIN_socialist;Progressive Faction;;;;;;;;;;;;;
AIN_communist;Communist Faction;;;;;;;;;;;;;
AIN_reactionary;Nationalist Faction;;;;;;;;;;;;;
AIN_radical;Radical Faction;;;;;;;;;;;;;
AIN_fascist;Fascist faction;;;;;;;;;;;;;
ALS_anarcho_liberal;Radical Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;;;;;;;;;;
ALT_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
AOT_anarcho_liberal;Mana Maori Motuhake;Mana Maori Motuhake;Mana Maori Motuhake;;;;;;;;;;;
ARA_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;
ASR_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;
ASM_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
ATR_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
BAH_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
BAN_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
BHR_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;
BNG_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
BRT_anarcho_liberal;Strollad Radical;;;;;;;;;;;;;
BSQ_anarcho_liberal;Alderdi Anarkiazale;;;;;;;;;;;;;
CEQ_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;
CEQ_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;
CEQ_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;;;;;;;;;;;
CEQ_conservative_2;Partido Paulista;Partido Paulista;Partido Paulista;;;;;;;;;;;
CEQ_liberal_2;Partido Carioca;Partido Carioca;Partido Carioca;;;;;;;;;;;
CEQ_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
CEQ_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;
CEQ_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;
CEQ_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;
CHP_anarcho_liberal;Partido Anarchista;Partido Anarchista;Partido Anarchista;;;;;;;;;;;
CIR_anarcho_liberal;Partiye Fit Bedzer;;;;;;;;;;;;;
CRS_anarcho_liberal;Fazzione Anarchistu;;;;;;;;;;;;;
CYR_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
DAG_anarcho_liberal;Radical Party;;;;;;;;;;;;;
DAK_anarcho_liberal;Libertarian Faction;;;;;;;;;;;;;
