Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
IS_IN_REGION; is in the region ;Est dans la région;Ist in der Region ;;Está en la región;;;;;;;;;
kobu_gattai_title;Kobu Gattai;;;;;;;;;;;;;
fukoku_kyohei;Fukoku Kyohei;;;;;;;;;;;;;
EVTNAME10223;Louis-Napoleon's Coup d'Etat;;;;;;;;;;;;;
EVTDESC10223;Facing the prospect of losing the presidential election, the popular Louis-Napoleon has launched a coup d'etat and overthrown the French government. Loyal members of the army have locked down strategic locations in Paris, and the Assemblée Nationale has been dissolved, leaving Louis-Napoleon as the undisputed ruler of the country. He has been christened Napoléon III, regaining his uncle's throne as the Emperor of France.;;;;;;;;;;;;;
EVTNAME10224;Emperor Napoleon Deposed;;;;;;;;;;;;;
EVTDESC10224;Angered by the inability of France to prevent the formation of Germany, as well as the humiliating loss of Alsace-Lorraine, the government has deposed Emperor Napoleon. We must choose what form our new government is to take.;;;;;;;;;;;;;
EVTNAME11108;Slavic Unification;;;;;;;;;;;;;
EVTDESC11108;The call has gone out for the Slavic nations of the Balkans to finally unite under a common banner, to resist the encroachment of the Austrians and Turks as well as other European powers. Yugoslavia, it is said, will be a power to rival even its most powerful neighbors. Whether this new nation would succeed in holding together a people divided by centuries of bitter warfare is best left for speculation.;;;;;;;;;;;;;
EVTNAME13010;Shipwrecked Sailors;Les naufragés;Schiffsbrüchige Matrosen;;Marineros naufragados;;;;;;;;;
EVTNAME13015;Foreign Smugglers;Contrebandiers étrangers;Ausländische Schmuggler;;Contrabandistas extranjeros;;;;;;;;;
EVTNAME13020;Foreign Missionaries;;;;;;;;;;;;;
EVTNAME13030;Western Approaches;;;;;;;;;;;;;
