Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME96000;War is Upon Us;La Guerre c'est Ici;Der Krieg Kommt;;;;;;;;;;;
EVTNAME96010;The Treaty of $CAPITAL$;Le Traité de $CAPITAL$;Der Vertrag von $CAPITAL$;;;;;;;;;;;
EVTNAME96004;The Demands of War;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;
EVTNAME96005;Is It All For Nothing?;Est-il Tout Pour Rien?;Ist Alles Für Nichts?;;;;;;;;;;;
EVTNAME96006;Total Collapse;Effondrement Total;Gesamteinsturz;;;;;;;;;;;
EVTNAME96013;The Breakup of $FROMCOUNTRY$;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;
EVTNAME96014;The Breakup of $FROMCOUNTRY$;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;
EVTNAME96015;$COUNTRY_ADJ$ Freedom;Liberté $COUNTRY_ADJ$;$COUNTRY_ADJ$ Freiheit;;;;;;;;;;;
EVTNAME96016;The $FROMCOUNTRY_ADJ$ Colonies;Les Colonies $FROMCOUNTRY_ADJ$;Das $FROMCOUNTRY_ADJ$ Kolonien;;;;;;;;;;;
EVTNAME96020;The War is Over;La Guerre c'est Finie;Der Krieg ist Fertig;;;;;;;;;;;
EVTNAME96025;Enemy of my Enemy;Ennemi de mon Ennemi;Feind meines Feindes;;;;;;;;;;;
EVTNAME96030;The Shadow of War;L'ombre de la Guerre;Der Schatten des Krieges;;;;;;;;;;;
EVTNAME96031;$FROMCOUNTRY$ Has Agreed;$FROMCOUNTRY$ a Convenu;$FROMCOUNTRY$ hat Zugestimmt;;;;;;;;;;;
EVTNAME96065;Outrage!;;;;;;;;;;;;;
EVTNAME96066;Assassination!;;;;;;;;;;;;;
EVTNAME96070;The $COUNTRY_ADJ$ Colonies;Les Colonies $COUNTRY_ADJ$;Das $COUNTRY_ADJ$ Kolonien;;;;;;;;;;;
EVTNAME96071;Transfer of the $FROMCOUNTRY_ADJ$ Colonies;Les Colonies $FROMCOUNTRY_ADJ$;Das $FROMCOUNTRY_ADJ$ Kolonien;;;;;;;;;;;
EVTNAME96085;The New $COUNTRY_ADJ$ Government;Le Nouveau Gouvernement $COUNTRY_ADJ$;Die Neue $COUNTRY_ADJ$ Regierung;;;;;;;;;;;
EVTNAME96130;The Price of Infamy;Le Prix de l'Infamie;Der Preis der Niedertracht;;;;;;;;;;;
EVTNAME96131;An Ease in Tensions;Un Amoindrissement des Tensions;Eine Verminderung von Spannungen;;;;;;;;;;;
EVTNAME96136;The $FROMCOUNTRY_ADJ$ Ultimatum;$FROMCOUNTRY_ADJ$ Ultimatum;Das $FROMCOUNTRY_ADJ$ Ultimatum;;;;;;;;;;;
EVTNAME96141;$FROMCOUNTRY$ Joins the War;$FROMCOUNTRY$ Déclare la Guerre;$FROMCOUNTRY$ Erklärt Krieg;;;;;;;;;;;
EVTNAME96150;$COUNTRY$ Stands Triumphant;$COUNTRY$ est Triomphante;$COUNTRY$ ist Triumphierend;;;;;;;;;;;
