Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC2000_NEW;\n\nForeign_immigrants_arriving_in_new_countries_often_find_themselves_living_together_concentrated_in_relatively_small_areas,_living_in_close_proximity_to,_and_seeking_mutual_support_from,_their_national_brethren,_often_forming_little_'ethnic_enclaves',_such_as_New_York's_'Little_Italy'._One_of_our_provinces_is_no_exception,_as_the_immigrant_community_there_has_formed_a_just_such_a_thing,_complete_with_all_the_cultural,"_linguistic_and_culinary_flavors_of_the_immigrants'_homeland;Les_immigrants_étrangers_en_provenance_de_nouveaux_pays_avaient_tendance_a_se_concentrer_dans_des_quartiers_relativement_restreints_et_a_vivre_a_proximité_les_uns_des_autres_pour_se_soutenir","_créant_ainsi_de_petites_""""enclaves_ethniques""""_comme_""""Little_Italy""""_a_New_York._$PROVINCENAME$_n'y_fait_pas_exception_et_cette_communauté_d'immigrants_y_a_réinstauré_les_notes_culturelles","_linguistiques_et_culinaire_de_sa_terre_natale."";Ausländische_Einwanderer_finden_sich_in_ihren_neuen_Ländern_häufig_stark_konzentriert_in_relativ_kleinen_Gebieten_wieder",_wo_sie_in_enger_Nachbarschaft_zu_ihren_Landsleuten_leben_und_sich_mit_diesen_gegenseitige_Unterstützung_bieten._Oftmals_bilden_sie_'ethnische_Enklaven',_wie_beispielsweise_New_Yorks_'Little_Italy'._$PROVINCENAME$_ist_da_keine_Ausnahme,_da_die_Einwanderergemeinde_dort_gerade_solch_eine_Enklave_mit_allen_kulturellen,_linguistischen_und_kulinarischen_Aspekten_ihres_Heimatlandes_gebildet_hat.;;;;;;;;;;;
EVTDESC2010_NEW;\n\nIt_has_been_twenty_days._Twenty_days_without_work,_without_money,_without_any_chance_to_feed_or_clothe_my_family._Twenty_days..._Twenty_days_is_an_eternity_when_you_have_to_rummage_through_the_garbage_to_find_something_to_eat._I_don't_want_to_beg,_I_don't_want_to_steal,_but_twenty_days_without_work...'\n\nFew_immigrants,_who_left_their_country_to_live_and_work_in_$COUNTRY$,_are_able_to_find_work.;Vingt_jours_sans_travail,_sans_argent,_sans_aucune_chance_de_se_nourrir_ou_de_vetir_ma_famille._Vingt_jours..._Vingt_jours_sont_une_éternité_quand_vous_avez_a_fouiller_dans_les_poubelles_pour_trouver_quelque_chose_a_manger._Je_ne_veux_pas_prier,_je_ne_veux_pas_voler,_mais_vingt_jours_de_travail...\n\n_Peu_d'immigrants,_qui_ont_quitté_leur_pays_pour_vivre_et_travailler_dans_votre_pays,_sont_en_mesure_de_trouver_du_travail.;Es_sind_schon_20_Tage_vergangen._20_Tage_ohne_Arbeit,_ohne_Geld,_ohne_eine_Möglichkeit,_meine_Familie_zu_ernähren_oder_zu_kleiden._20_Tage_..._20_Tage_sind_eine_Ewigkeit,_wenn_man_die_Mülltonnen_nach_Essbarem_durchsuchen_muss._Ich_will_nicht_betteln_oder_stehlen,_aber_20_Tage_ohne_Arbeit_...'\n\nWenige_Einwanderer,_die_ihr_Land_verließen,_um_in_Ihrem_Land_zu_leben_und_zu_arbeiten,_finden_tatsächlich_Arbeit.';;Han_pasado_veinte_días._Veinte_días_sin_trabajo,_sin_dinero,_sin_posibilidad_alguna_de_alimentar_o_vestir_a_mi_familia._Veinte_días..._Veinte_días_es_una_eternidad_cuando_tienes_que_buscar_en_la_basura_para_encontrar_algo_para_comer._No_quiero_mendigar,_no_quiero_robar,_pero_veinte_días_sin_trabajar...\n\nPocos_de_los_inmigrantes_que_dejaron_su_país_para_vivir_y_trabajar_en_el_tuyo_han_podido_encontrar_trabajo.;;;;;;;;;
EVTDESC2020_NEW;\n\nRomance_is_in_the_air_in_one_of_our_provinces,_where_a_marriage_between_one_of_the_province's_immigrant_sons,_and_a_young_local_girl,_is_being_celebrated_by_friends_and_family._Some_decry_the_development_as_the_end_of_$COUNTRY_ADJ$_civilization,_but_the_young_couple_sure_do_look_happy._Immigration_is_changing_$COUNTRY$_in_ways_both_big_and_small.;Il_flotte_un_parfum_de_romantisme_en_$PROVINCENAME$_ou,_amis_et_familles_célebrent_le_mariage_d'un_fils_d'immigrant_avec_une_jeune_fille_du_coin._Certains_dénoncent_ce_mariage_comme_la_fin_de_la_civilisation_$COUNTRY_ADJ$,_mais_le_jeune_couple_semble_aux_anges._L'immigration_modifie_indéniablement_le_visage_de_$PROVINCENAME$.;In_$PROVINCENAME$_liegt_Romantik_in_der_Luft:_Freunde_und_Familie_feiern_die_Hochzeit_zwischen_einem_Einwanderersohn_und_einem_jungen_lokalen_Mädchen._Manche_verunglimpfen_diese_Entwicklung_als_das_Ende_der_$COUNTRY_ADJ$_Zivilisation,_aber_das_junge_Paar_sind_auf_jeden_Fall_sehr_glücklich_aus._Die_Immigration_verändert_$PROVINCENAME$_im_Großen_wie_im_Kleinen.;;;;;;;;;;;
EVTDESC2030_NEW;\n\nAnja_Yesi-whatnow?'\n'Aniya_Yezierska._Is_my_name_unpronounceable?'\n'Kind_of._Would_you_like_to_change_it?_It_could_be_difficult_for_you_to_get_a_job_otherwise.'\n\nUnpronounceable_names_and_strange_spellings_could_cause_trouble_for_job-seeking_immigrants.;Anja_Yesi-quoi_?_\n_Aniya_Yezierska._Mon_nom_est_imprononçable_?_\n_"En_quelques_sortes"._Souhaitez-vous_le_changer_?_Il_pourrait_etre_difficile_pour_vous_de_trouver_un_emploi_ailleurs.\n\n_Les_noms_étranges,_imprononçables_et_avec_une_drôle_d'orthographe_pourraient_causer_des_ennuis_a_la_recherche_d'emploi_des_immigrants.;Anja_Yesi-was?'\n'Aniya_Yezierska._Ist_mein_Name_unaussprechbar?'\n'Irgendwie_schon._Möchten_Sie_ihn_ändern?_Es_kann_sonst_schwierig_für_Sie_sein,_Arbeit_zu_finden.'\n\nUnaussprechliche_Namen_und_merkwürdige_Buchstabierungen_können_für_arbeitsuchende_Einwanderer_Ärger_bedeuten;;Anja_Yesi-qué?\n'Aniya_Yezierska._Es_que_mi_nombre_es_impronunciable?'\n'Bastante._Querrías_cambiarlo?_De_otro_modo,_te_costará_encontrar_trabajo.'\n\nLos_nombres_impronunciables_y_difíciles_de_deletrear_pueden_causar_problemas_a_los_inmigrantes_en_busca_de_trabajo.;;;;;;;;;
EVTDESC2040_NEW;\n\nThe_many_immigrants_who_have_arrived_in_the_country_have_created_a_demand_for_housing._The_construction_of_new_homes_must_be_speeded_up_when_reports_show_that_many_immigrants_share_housing_with_up_to_ten_or_twenty_people._This_is_a_minor_disaster_as_this_could_create_epidemics,_revolts_and_other_disturbances.;Le_nombre_d'immigrants_qui_sont_arrivés_dans_le_pays_a_créé_une_forte_demande_pour_le_logement._La_construction_de_nouveaux_logements_doit_etre_accélérée_car_les_rapports_montrent_que_de_nombreux_immigrants_partagent_un_logement_avec_un_maximum_de_dix_ou_vingt_personnes._Il_s'agit_d'un_désastre_mineur,_car_cela_pourrait_créer_des_épidémies,_des_révoltes_et_d'autres_perturbations.;Die_vielen_ins_Land_strömenden_Einwanderer_haben_einen_Bauboom_ausgelöst._Der_Bau_neuer_Häuser_muss_beschleunigt_werden,_da_Berichten_zufolge_viele_Einwanderer_sich_zu_zehnt_oder_zwanzigst_ein_Haus_teilen._Dies_ist_eine_kleine_Katastrophe,_da_diese_Umstände_zu_Epidemien,_Revolten_und_anderen_Unannehmlichkeiten_führen_könnten.;;Los_muchos_inmigrantes_que_han_llegado_al_país_han_generado_una_demanda_de_alojamiento._La_construcción_de_nuevas_casas_tiene_que_acelerarse._Los_informes_muestran_que_muchos_inmigrantes_comparten_casa_con_grupos_de_entre_diez_y_veinte_personas._Se_trata_de_un_pequeno_desastre_que_puede_generar_epidemias,_revueltas_y_otras_molestias.;;;;;;;;;
EVTDESC2050_NEW;\n\nImmigrants_in_one_of_our_provinces_have_gone_out_in_a_demonstration,_protesting_the_lack_of_equal_citizenship,_and_demanding_equal_recognition_under_the_law_for_all_$COUNTRY_ADJ$_citizens.;Les_immigrants_de_$PROVINCENAME$_ont_manifesté_pour_protester_contre_un_traitement_qu'ils_jugent_inégal_et_exiger_la_reconnaissance_légale_de_tous_les_citoyens_$COUNTRY_ADJ$.;Die_Immigranten_in_$PROVINCENAME$_haben_sich_zu_einer_Demonstration_zusammengefunden_und_protestieren_gegen_ihre_eingeschränkten_Bürgerrechte._Sie_fordern_die_rechtliche_Gleichberechtigung_aller_$COUNTRY_ADJ$_Bürger.;;;;;;;;;;;
EVTDESC2060_NEW;\n\nRiots_have_broken_out_in_one_of_our_province's_immigrant_communities._While_formally_citizens,_many_immigrants_feel_that_the_state_does_not_accord_them_proper_recognition,_and_that_they_do_not_have_the_same_opportunities_as_proper_nationals.;Des_émeutes_ont_éclaté_dans_les_communautés_d'immigrants_en_$PROVINCENAME$._Officiellement_naturalisés,_bon_nombre_d'immigrants_estiment_que_l'État_ne_leur_accorde_pas_suffisamment_de_reconnaissance_et_qu'ils_ne_bénéficient_pas_des_memes_faveurs_que_les_nationaux.;In_den_Einwanderergemeinden_von_$PROVINCENAME$_sind_Aufstände_ausgebrochen._Obwohl_sie_formell_Bürger_sind,_haben_viele_Einwanderer_das_Gefühl,_dass_der_Staat_ihnen_die_volle_Anerkennung_verweigert,_und_dass_sie_nicht_dieselben_Möglichkeiten_wie_vollwertige_Bürger_haben.;;;;;;;;;;;
EVTDESC2070_NEW;\n\nI_pledge_allegiance,_to_the_flag_of_$COUNTRY$,_and_to_the_government_for_which_it_stands'\n\nNot_one_eye_dry_in_the_audience_today,_as_some_of_our_immigrants_today_took_the_pledge_of_allegiance,"_and_confirmed_their_loyalty_to_the_$COUNTRY_ADJ$_state.;Je_prete_allégeance_au_drapeau_de_$COUNTRY$_et_au_gouvernement_qui_le_dirige"""".\n\nBeaucoup_d'émotion_aujourd'hui_en_$PROVINCENAME$","_alors_que_nos_immigrants_ont_preté_allégeance_et_confirmé_leur_loyauté_envers_l'État_$COUNTRY_ADJ$."";Ich_schwöre_der_Flagge_und_Regierung_von_$COUNTRY$_die_Treue'.\n\nHeute_blieb_beim_Publikum_in_$PROVINCENAME$_kein_Auge_trocken",_als_einige_unserer_Immigranten_einen_Treueschwur_ablegten_und_ihre_Loyalität_für_den_$COUNTRY_ADJ$_Staat_bekräftigten.;;;;;;;;;;;
EVTDESC2080_NEW;\n\nImmigrants_arriving_in_$COUNTRY$_often_have_small_means_both_in_terms_of_money_and_in_terms_of_opportunity._Many_of_them_have_wound_up_in_poor_quarters,_and_those_quarters_are_increasingly_taking_on_the_characteristics_of_a_ghetto._It_could_be_a_good_idea_to_do_something_about_these_squalid_living_conditions,_lest_they_worsen.;Les_immigrants_qui_arrivent_en_$COUNTRY$_sont_souvent_démunis._Bon_nombre_d'entre_eux_se_sont_installés_dans_les_quartiers_pauvres_de_$PROVINCENAME$_et_ceux-ci_ressemblent_de_plus_en_plus_a_des_ghettos._Il_serait_bon_d'agir_pour_améliorer_ces_conditions_de_vie_déplorable_avant_que_la_situation_ne_s'aggrave.;Neuankömmlingen_in_$COUNTRY$_fehlt_es_oft_an_Geld_und_Gelegenheiten._Viele_von_ihnen_sind_in_den_Armenvierteln_von_$PROVINCENAME$_gelandet,_die_zunehmend_die_Eigenschaften_von_Ghettos_annehmen._Es_wäre_vielleicht_eine_gute_Idee,_etwas_gegen_diese_verwahrlosten_Lebensbedingungen_zu_unternehmen,_sonst_könnten_sie_schlechter_werden.;;;;;;;;;;;
EVTDESC2090_NEW;\n\nNewly_arrived_immigrants_in_of_our_provinces_are_finding_it_hard_to_assimilate_into_the_broader_$COUNTRY_ADJ$_populace,_and_many_among_the_local_population_have_come_to_view_them_as_an_alien_presence._Immigrants_live_in_separate_areas_of_the_city,_go_to_separate_schools_and_shops,_and_generally_have_very_little_contact_with_the_extended_community.;Les_immigrants_nouvellement_arrivés_en_$PROVINCENAME$_ont_bien_du_mal_a_s'intégrer_a_la_population_$COUNTRY_ADJ$,_au_sein_de_laquelle_nombreux_sont_ceux_a_les_considérer_comme_des_étrangers._Les_immigrants_vivent_dans_les_quartiers_bien_distincts_de_la_ville,_fréquentent_des_écoles_et_des_magasins_différents_et_ont,_de_maniere_générale,_que_tres_peu_de_contact_avec_la_communauté_au_sens_large.;Kürzlich_eingetroffene_Immigranten_in_$PROVINCENAME$_finden_es_schwierig,_sich_der_breiteren_$COUNTRY_ADJ$_Bevölkerung_anzupassen,_und_viele_Mitglieder_der_lokalen_Bevölkerung_nehmen_sie_mittlerweile_aus_ausländische_Präsenz_wahr._Einwanderer_leben_in_gesonderten_Stadtteilen,_gehen_auf_andere_Schulen_und_kaufen_in_anderen_Geschäften_ein._Generell_haben_sie_kaum_Kontakt_zur_allgemeinen_Bevölkerung.;;;;;;;;;;;
