Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
opened_frontiers;Opened Frontiers;;;;;;;;;;;;;
opened_frontiers_desc;Our recent declaration of dominion over southern Africa has prompted more settlers to come to our lands!;;;;;;;;;;;;;
mineral_revolution;Mineral Revolution;;;;;;;;;;;;;
EVTNAME6000;The Frontier is Lost;;;;;;;;;;;;;
EVT6000OPTA;Turn back the boat people.;;;;;;;;;;;;;
EVTNAME6001;Rename the Mozambican Provinces;;;;;;;;;;;;;
EVTDESC6001;Mozambique is no longer Portuguese, and as such should no longer bear a Portuguese name.;;;;;;;;;;;;;
EVT6001OPTA;Much better!;;;;;;;;;;;;;
EVT6001OPTB;A bit of local flavor never hurt.;;;;;;;;;;;;;
EVTNAME6002;Restoration of the Cape;;;;;;;;;;;;;
EVTDESC6002;We have retaken the Cape colony from the perfidious British. It is time to restore the proper names of these provinces.;;;;;;;;;;;;;
EVT6002OPTA;An auspicious day for the Afrikaner people.;;;;;;;;;;;;;
EVTNAME6003;Settle Namibia?;;;;;;;;;;;;;
EVT6003OPTA;Inform the natives of their new overlords at once.;;;;;;;;;;;;;
EVT6003OPTB;Let them have it if they wish, we've no use for that pathetic desert.;;;;;;;;;;;;;
EVTNAME6004;The British Question;;;;;;;;;;;;;
EVT6004OPTA;The time of retribution has come. §RGain 3 infamy§W;;;;;;;;;;;;;
EVT6004OPTB;Strip them of their rights as first-class citizens.;;;;;;;;;;;;;
EVT6004OPTC;We can forget the transgressions of the past.;;;;;;;;;;;;;
EVTNAME6041;The Proposed Union Between ZAR and Oranje;;;;;;;;;;;;;
EVT6041OPTA;Ja! Only when we Voortrekkers stand united can we be strong!;;;;;;;;;;;;;
EVT6041OPTB;Nee! We do not need them, we are stronger on our own!;;;;;;;;;;;;;
EVTNAME6005;The ZAR Proposes a Union;;;;;;;;;;;;;
EVT6005OPTA;The Voortrekkers will stand united.;;;;;;;;;;;;;
EVT6005OPTB;It is the Orange 'Free' State for a reason. Decline their offer.;;;;;;;;;;;;;
EVTNAME6006;The Orange Free State Declines!;;;;;;;;;;;;;
EVT6006OPTA;The Union will proceed, whether the Oranje-Vrijstaat wants it or not. §RGain 5 infamy§W;;;;;;;;;;;;;
EVT6006OPTB;In the name of freedom and self-determination, we should respect their decision.;;;;;;;;;;;;;
EVTNAME6007;South Africa United;;;;;;;;;;;;;
EVT6007OPTA;Wonderful.;;;;;;;;;;;;;
EVTNAME6008;The Mineral Revolution;;;;;;;;;;;;;
EVT6008OPTA;The winds of modernity sweep through our lands.;;;;;;;;;;;;;
EVTNAME6009;Solve the British Problem;;;;;;;;;;;;;
EVT6009OPTA;Extermination is our only option. §RGain 5 infamy§W;;;;;;;;;;;;;
EVT6009OPTB;Perhaps we should reconsider.;;;;;;;;;;;;;
EVTNAME6010;Rename Zululand-Natal;;;;;;;;;;;;;
EVTDESC6010;Natal is now in Afrikaner hands, it is time to give the provinces more fitting names.;;;;;;;;;;;;;
EVT6010OPTA;An auspicious day for the Afrikaner people.;;;;;;;;;;;;;
EVTNAME6011;The Pioneer Column;;;;;;;;;;;;;
EVT6011OPTA;An auspicious day.;;;;;;;;;;;;;
EVT6011OPTB;Frankly, we don't want it.;;;;;;;;;;;;;
EVTNAME6012;Naming the Zambezi Land;;;;;;;;;;;;;
EVTDESC6012;Now that we have conquered the lands around the Zambezi river, we need a proper name for the territory.;;;;;;;;;;;;;
EVT6012OPTA;After the Zambezi river, of course.;;;;;;;;;;;;;
EVT6012OPTB;After that Englishman who helped us settle it.;;;;;;;;;;;;;
EVT6012OPTC;After De la Rey, who conquered it!;;;;;;;;;;;;;
EVTNAME6013;Choosing our Capital;;;;;;;;;;;;;
EVT6013OPTA;Capetown;;;;;;;;;;;;;
EVT6013OPTB;Bloemfontein;;;;;;;;;;;;;
EVT6013OPTC;Pietermaritzburg;;;;;;;;;;;;;
EVT6013OPTD;Pretoria;;;;;;;;;;;;;
EVT6013OPTE;Klerksdorp;;;;;;;;;;;;;
EVTNAME6014;Africa for Africans;;;;;;;;;;;;;
EVT6014OPTA;To be a modern nation, we must be inclusive of all people in our borders.;;;;;;;;;;;;;
EVT6014OPTB;This is absurd! The military must end this charade, immediately.;;;;;;;;;;;;;
EVTNAME6015;Purifying $COUNTRY$;;;;;;;;;;;;;
EVT6015OPTA;Implement the hardliners' plan. These people have always been our enemies. §RGain 5 infamy§W;;;;;;;;;;;;;
EVT6015OPTB;Displacement seems most practical. §RGain 3 infamy§W;;;;;;;;;;;;;
EVT6015OPTC;We should wait and see how things develop. Stall the Volksraad.;;;;;;;;;;;;;
EVT6015OPTD;We cannot allow this to happen. Veto the bill entirely and issue a gag order on the matter.;;;;;;;;;;;;;
EVTNAME6016;Native Removal.;;;;;;;;;;;;;
EVTDESC6016;\n\nOur plan to remove the Xhosa, Zulu, Nguni, and other bothersome tribes continues as planned. Another province have been cleared.;;;;;;;;;;;;;
EVT6016OPTA;'N land vir ons met rus.;;;;;;;;;;;;;
EVTNAME6017;Native Extermination.;;;;;;;;;;;;;
EVTDESC6017;Our plan to remove the Xhosa, Zulu, Nguni, and other bothersome tribes continues as planned. Another province have been cleared.;;;;;;;;;;;;;
EVT6017OPTA;'N land vir ons met rus.;;;;;;;;;;;;;
EVTNAME6018;Fertile Lands of the Transvaal;;;;;;;;;;;;;
EVTDESC6018;The Transvaal is named for the Vaal river which runs along its southern border. 'Vaal' is the Boer translation of the Khoikhoi name 'Tky-Gariep', meaning 'dull river', referring to the coloration produced by the silt the waters carry in the flood season. The minerals in this silt make the soil fertile, and increase crop yields. Thanks largely to such rivers flowing through it, and the mild climate of the area, the Transvaal is very hospitable.;;;;;;;;;;;;;
EVT6018OPTA;'N Pragtige land.;;;;;;;;;;;;;
EVTNAME6019;Boer Commandos;;;;;;;;;;;;;
EVT6019OPTA;Fitting warriors for our nation.;;;;;;;;;;;;;
EVTNAME6020;The Burgerkryg;;;;;;;;;;;;;
