Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME4661019;The Status Quo;;;;;;;;;;;;;
EVTDESC4661019;The latest war ended in status quo and Entre-Rios is free. Nothing stands in the way of Buenos Aires to dominate the Argentine Confederation.;;;;;;;;;;;;;
EVTOPT4661019A;Porteno supremacy begins.;;;;;;;;;;;;;
EVTNAME600074;Uruguay Is Defeated;;;;;;;;;;;;;
EVTOPT600074A;Even if Oribe has to step down, he can stay as head of the army.;;;;;;;;;;;;;
EVTOPT600074B;Head of the army isn't enough! Install a dictatorship under Oribe!;;;;;;;;;;;;;
EVTNAME600075;Rosas Is Defeated;;;;;;;;;;;;;
EVTOPT600075A;Just help the unitarians organize Argentina.;;;;;;;;;;;;;
EVTOPT600075B;Proclaim the Uruguayan Federation! §RGain 7.5 infamy§W;;;;;;;;;;;;;
EVTNAME600076;The Armistice of $YEAR$;;;;;;;;;;;;;
EVTOPT600076A;Damn.;;;;;;;;;;;;;
EVTNAME600050;Polish Insurrection;;;;;;;;;;;;;
EVT600050OPTA;Dispatch diplomats to begin the talks.;;;;;;;;;;;;;
EVT600050OPTB;We don't care about Prussia and Russia consent on this matter, we must act now. §RGain 10 infamy§W;;;;;;;;;;;;;
EVT600050OPTC;Ignore the rebellion. They are harmless.;;;;;;;;;;;;;
EVTNAME600051;The Krakow Uprising;;;;;;;;;;;;;
EVT600051OPTA;Let the revolutionaries take the city. Unite Poland!;;;;;;;;;;;;;
EVT600051OPTB;Suppress the revolutionaries or the Austrians might retaliate.;;;;;;;;;;;;;
EVTNAME600052;The Polish Question;;;;;;;;;;;;;
EVT600052OPTA;Let the Austrians know that they have our support on this matter.;;;;;;;;;;;;;
EVT600052OPTB;The Treaty of Vienna needs to be upheld. We do not support the Austrians.;;;;;;;;;;;;;
EVTNAME600054;The Fate of Krakow;;;;;;;;;;;;;
EVT600054OPTA;To Krakow! For the Kaiser! §RGain 3 infamy§W;;;;;;;;;;;;;
EVT600054OPTB;On second thought, we can't afford a war right now.;;;;;;;;;;;;;
EVTNAME600055;The Fate of Krakow;;;;;;;;;;;;;
EVT600055OPTA;We don't need their approval! We will march on Krakow. §RGain 5 infamy§W;;;;;;;;;;;;;
EVT600055OPTB;Maybe it's wiser to let this matter go.;;;;;;;;;;;;;
EVTNAME600056;Polish Nationality;;;;;;;;;;;;;
EVT600056OPTA;Curses!;;;;;;;;;;;;;
EVTNAME600057;Colorado Victory;;;;;;;;;;;;;
EVTOPT600057A;Long Live Fructuoso Rivera!;;;;;;;;;;;;;
EVTNAME600058;Oribe's Exile;;;;;;;;;;;;;
EVTOPT600058A;Argentina will never recognize Rivera as President.;;;;;;;;;;;;;
EVTOPT600058B;It's better to not risk a conflict.;;;;;;;;;;;;;
EVTNAME600059;The Rise of the Colorados;;;;;;;;;;;;;
EVTOPT600059A;Troublemakers, the lot of them.;;;;;;;;;;;;;
EVTNAME600060;Oribe's Army;;;;;;;;;;;;;
EVTOPT600060A;That can't end well for us.;;;;;;;;;;;;;
EVTNAME6000061;The Argentine Unitarianists;;;;;;;;;;;;;
