Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
AAA_PARTY;The Observing Faction;La faction observatrice;Die beobachtende Fraktion;Frakcja obserwuj¹ca;La facción observadora;La Fazione che Osserva;A megfigyelõ frakció;Pozorovací frakce;A megfigyelõ frakció;De waarnemende factie;A Facção Observadora;Ôðàêöèÿ Íàáëþäàòåëåé;Tarkkaileva ryhmä;
ALI_radical;Grey Faction;Faction des Gris;Fraktion der Grauen;Gray Faction;Grey Faction;Fazione Grigia;Szürke frakció;Šedá frakce;Szürke frakció;Gray Faction;Faction Gris;Ñåðàÿ Ôðàêöèÿ;Harmaa Faction;
ALI_communist;Exploit Faction;Faction de l'Exploit;Fraktion der Ausbeutung;Frakcja Exploit;Facción de la explotación;Fazione Sfruttamento;Az Exploit frakciója;Frakce vývoje;Az Exploit frakciója;Faction of the Exploit;Faction of the Exploit;Èñïîëüçîâàòü Ôðàêöèþ;Exploitin fraktio;
ALI_conservative;Green Faction;Faction des Verts;Fraktion der Grünen;Frakcja Zielonych;Facción de los Verdes;Fazione Verde;A Zöldek frakciója;Frakce zelených;A Zöldek frakciója;Faction of the Greens;Faction of the Greens;Çåëåíàÿ Ôðàêöèÿ;Vihreiden fraktio;
ALI_fascist;Synthetic Faction;Faction des Synthétiques;Fraktion der Syntheten;Frakcja Syntetycznych;Facción de los Sintéticos;Fazione Sintetica;A Szintetikus frakciója;Frakci syntetiky;A Szintetikus frakciója;Faction of the Synthetics;Faction of the Synthetics;Ôðàêöèÿ ×åðíîé Äûðû;Synteettisistä fraktio;
ALI_liberal;Yun Key Faction;Faction de Jean Qui;Fraktion von Jan Kih;Frakcja Yan Key;Facción de Yan Key;Fazione Gian Chi;Yan kulcs frakciója;Frakce Yan Key;Yan kulcs frakciója;Faction of Yan Key;Faction of Yan Key;Ôðàêöèÿ ßí Êû;Yan-avaimen fraktio;
ALI_reactionary;Xenu Faction;Faction de Xénou;Fraktion von Xenu;Frakcja Xenu;Facción de Xenu;Fazione Xenu;Xenu frakciója;Xenuova frakce;Xenu frakciója;Xenu's Faction;A facção de Xenu;Ôðàêöèÿ Êñåíó;Xenan fraktio;
ALI_socialist;Nordic Faction;Faction des Nordiques;Fraktion der Nördlichen;Frakcja Nordiques;Facción de los Nordiques;Fazione Nordica;A Nordiques frakciója;Frakce Nordiques;A Nordiques frakciója;Faction of the Nordiques;Faction of the Nordiques;Ñêàíäèíàâñêàÿ Ôðàêöèÿ;Nordiquesin fraktio;
BARB_radical;The Hunnic Faction;Faction Hunnique;Hunnische Fraktion;The Hunnic Faction;La facción Hunnic;Fazione degli Unni;A hunnik frakció;Hunní frakce;A hunnik frakció;The Hunnic Faction;The Hunnic Faction;Ôóíäàìåíò Õóííè;Hunnic Faction;
BARB_communist;The Scythian Faction;Faction Scythe;Skythische Fraktion;Frakcja scytyjska;La facción escita;Fazione degli Sciti;A szkítikus frakció;Scythian frakce;A szkítikus frakció;De Scythische factie;A facção cítia;Ñêèôñêàÿ ôðàêöèÿ;Scythian fraktio;
BARB_conservative;Wodan's Faction;Faction de Wodan;Wodans Fraktion;Frakcja Wodana;Facción de Wodan;Fazione di Odino;Wodan frakciója;Wodanova frakce;Wodan frakciója;Wodan's Faction;A facção de Wodan;Ôðàêöèÿ Âîäàíà;Wodanin fraktio;
BARB_conservative_2;The Gothic Faction;Faction Gothique;Gotische Fraktion;Gothic Faction;La facción gótica;Fazione dei Goti;A gótikus frakció;Gotická frakce;A gótikus frakció;De gotische factie;A facção gótica;Ãîòè÷åñêàÿ ôðàêöèÿ;Goottilainen fraktio;
BARB_conservative_3;The Lombard Faction;Faction Lombarde;Lombardische Fraktion;The Lombard Faction;La facción lombarda;Fazione dei Longobardi;A Lombard Frakció;Lombardská frakce;A Lombard Frakció;De Lombard-factie;A facção lombarda;Ëîìáàðäíàÿ ôðàêöèÿ;Lombard-fraktio;
BARB_fascist;The Party of the Dux;Le Parti du Dux;Die Partei des Duxen;Partia Dux;La fiesta del Dux;Partito dei Duci;A Dux pártja;Strana Dux;A Dux pártja;De partij van de Dux;O Partido do Dux;Ïàðòèÿ Äóêñà;Duxin puolue;
BARB_liberal;The Party of Belisarius;Le Parti de Bélisaire;Die Partei von Belisarius;Partia Belizariusza;La fiesta de Belisario;Partito di Belisario;Belisarius pártja;Strana Belisarius;Belisarius pártja;De partij van Belisarius;O Partido de Belisário;Ïàðòèÿ Âåëèçàðèÿ;Belisariuksen puolue;
BARB_liberal_2;The Party of Totila;Le Parti de Totila;Die Partei von Totila;Partia Totila;La fiesta de Totila;Partito di Totila;A Totila pártja;Strana Totila;A Totila pártja;De partij van Totila;O Partido de Totila;Ïàðòèÿ Òîòèëà;Totilan puolue;
BARB_liberal_3;The Party of Karl;Le Parti de Charles;Die Partei von Karl;Partia Karola;La fiesta de Karl;Partito di Carlo;Karl pártja;Strana Karla;Karl pártja;De partij van Karl;O Partido de Karl;Ïàðòèÿ Êàðëà;Karlin puolue;
BARB_reactionary;Old Customs' Faction;Les Anciennes Mœurs;Fraktion der alten Sitten;Stara Frakcja Celna;Facción de Old Customs;Fazione dei Costumi Antichi;Régi Vámok Frakciója;Fráze starých celníkù;Régi Vámok Frakciója;De factie van de oude douane;Faculdade de Alfândega antiga;Ñòàðàÿ òàìîæåííàÿ ôðàêöèÿ;Vanhan tullin fraktio;
BARB_socialist;The Red Horde;La Horde Rouge;Die Rote Horde;Czerwona Horda;La Horda Roja;L'Orda Rossa;A Vörös Horda;Èervená horda;A Vörös Horda;De rode horde;A Horda Vermelha;Êðàñíàÿ Îðäà;Punainen Horde;
BARB_socialist_2;The Red Senate;Le Sénat Rouge;Der Rote Senat;Czerwony Senat;El Senado rojo;Il Senato Rosso;A Vörös Szenátus;Èervený senát;A Vörös Szenátus;De rode senaat;O Senado Vermelho;Êðàñíûé Ñåíàò;Punainen senaatti;
