EVTOPTB127846;Send the minimum amount to help.;;;;;;;;;;;;;
EVTOPTB127847;Silence the news.;;;;;;;;;;;;;
EVTOPTB127848;Silence the news.;;;;;;;;;;;;;
EVTOPTB00007;We have our own problems.;;;;;;;;;;;;;
EVTOPTB00008;Seize Portuguese colonies as repayment. §RGain 10 infamy§W;;;;;;;;;;;;;
EVTOPTB00017;There is no need to reform them now.;;;;;;;;;;;;;
EVTOPTB00018;The reform has gone far enough.;;;;;;;;;;;;;
EVTOPTB00023;No need.;;;;;;;;;;;;;
EVTOPTB00024;Enough with this madness.;;;;;;;;;;;;;
EVTOPTB00027;MORE autonomy? No.;;;;;;;;;;;;;
EVTOPTB00028;This is unnecessary. The Fueros will remain.;;;;;;;;;;;;;
EVTOPTB00037;Who cares about the Pope?;;;;;;;;;;;;;
EVTOPTB00038;We shall place Italy itself under Papal administration. §RGain 5 infamy§W;;;;;;;;;;;;;
EVTOPTB00039;Ravenna, the ancient capital of Rome.;;;;;;;;;;;;;
EVTOPTB00041;Ravenna, the ancient capital of Rome.;;;;;;;;;;;;;
EVTOPTB00043;Let it slide.;;;;;;;;;;;;;
EVTOPTB00044;Wallonia is lost.;;;;;;;;;;;;;
EVTOPTB00045;The cost is too high.;;;;;;;;;;;;;
EVTOPTB00048;What was that? Hand French territory over? §RGain 12 infamy§W;;;;;;;;;;;;;
EVTOPTB00057;A brilliant plan!;;;;;;;;;;;;;
EVTOPTB00062;For Liberty!;;;;;;;;;;;;;
EVTOPTB00064;Restauration par la modération.;;;;;;;;;;;;;
EVTOPTB00065;Maybe the Carlists were onto something...;;;;;;;;;;;;;
EVTOPTB00066;We are satisfied with simple loyalty.;;;;;;;;;;;;;
EVTOPTB00075;Are you insane?;;;;;;;;;;;;;
EVTOPTB00076;Refuse, it is ours as well.;;;;;;;;;;;;;
EVTOPTB00080;No need.;;;;;;;;;;;;;
EVTOPTB00081;Only under our leadership. (emergency player option);;;;;;;;;;;;;
EVTOPTB00082;We will weather this alone.;;;;;;;;;;;;;
EVTOPTB00083;But only under our leadership (player emergency option);;;;;;;;;;;;;
EVTOPTB00084;Only under our leadership (player emergency option);;;;;;;;;;;;;
EVTOPTB00085;Only under our leadership (Player emergency option);;;;;;;;;;;;;
EVTOPTB00088;We will back down.;;;;;;;;;;;;;
EVTOPTB00129;Alexandros Mavrokordatos;;;;;;;;;;;;;
EVTOPTB00123;Put this insurrectionist in his place.;;;;;;;;;;;;;
EVTOPTB00204;We have enough problems already.;;;;;;;;;;;;;
EVTOPTB00205;Keep Spain under surveillance. §RGain 15 infamy§W;;;;;;;;;;;;;
EVTOPTB00208;Who cares about the islands?;;;;;;;;;;;;;
EVTOPTB183637;This is hopeless. There is nothing we can do.;;;;;;;;;;;;;
EVTOPTB48190003;Send aid to help rebuild the town. §R(Pay 25.000)§!;;;;;;;;;;;;;
EVTOPTB48190004;Sign the firman;;;;;;;;;;;;;
EVTOPTB81350;Use the Turmoil to Seize Macau!;;;;;;;;;;;;;
EVTOPTB81351;§RGain 2 Infamy§! The Chinese think they can dictate what we can do in China?;;;;;;;;;;;;;
EVTOPTB00102;We can do nothing.;;;;;;;;;;;;;
EVTOPTB00109;We will not be forgoing industry.;;;;;;;;;;;;;
EVTOPTB00110;We will not be enflaming nationalists.;;;;;;;;;;;;;
EVTOPTB00094;France is the stronger realm, so too should the kingdom be.;;;;;;;;;;;;;
EVTOPTB00104;We can do nothing.;;;;;;;;;;;;;
EVTOPTB00052;Philippe VII of Orléans.;;;;;;;;;;;;;
EVTOPTB00068;Don't bother.;;;;;;;;;;;;;
EVTOPTB00069;Refuse.;;;;;;;;;;;;;
EVTOPTB00071;Request? Sorry, we meant demand.;;;;;;;;;;;;;
EVTOPTB00072;We cannot afford such a war.;;;;;;;;;;;;;
EVTOPTB00073;We will dismantle their dominance of the Isles. §RGain 35 infamy§W;;;;;;;;;;;;;
EVTOPTB00012;They are no threat to us there.;;;;;;;;;;;;;
EVTOPTB00013;We shall concede to their demands.;;;;;;;;;;;;;
EVTOPTB00014;They will be expatriated, one way or another. §RGain 5 infamy§W;;;;;;;;;;;
EVTOPTB16130;He stays in $STATENAME$;;;;;;;;;;;;;
EVTOPTB211401;The Resident's garden is looking a bit iffy.;;;;;;;;;;;;;
EVTOPTB211403;Side with the Assistent-Resident: Justice & Freedom are of the utmost importance;;;;;;;;;;;;;
EVTOPTB211404;Perhaps it is best to hush things up.;;;;;;;;;;;;;
EVTOPTB211412;Send out an open tender.;;;;;;;;;;;;;
EVTOPTB211413;We will not budge.;;;;;;;;;;;;;
EVTOPTB211414;Favor the Calvinists.;;;;;;;;;;;;;
EVTOPTB211450;Judicial punishment is, and will remain, the monopoly of the state;;;;;;;;;;;;;
EVTOPTB211440;Later...maybe...;;;;;;;;;;;;;
EVTOPTB211250;This is not in our interests.;;;;;;;;;;;;;
EVTOPTB211252;Confirm prince Tamjidillah.;;;;;;;;;;;;;
EVTOPTB211254;Confirm prince Hidayatullah instead.;;;;;;;;;;;;;
EVTOPTB211256;Leave them to their fate.;;;;;;;;;;;;;
EVTOPTB211262;Withdraw from the region.;;;;;;;;;;;;;
EVTOPTB211290;Our priorities lie elsewhere.;;;;;;;;;;;;;
EVTOPTB211900;We are all sinners under God!;;;;;;;;;;;;;
EVTOPTB211550;I went to bed a conservative and woke up a liberal.;;;;;;;;;;;;;
EVTOPTB211553;What about the King's brother, Prince Frederik?;;;;;;;;;;;;;
EVTOPTB211532;This will not stop until they have all returned to the fold;;;;;;;;;;;;;
