EVTOPTC127846;We can't afford anything right now.;;;;;;;;;;;;;
EVTOPTC00008;Render Miguel I subservient. Permanently. §RGain 20 infamy§W;;;;;;;;;;;;;
EVTOPTC00038;Italy shall be undone. §RGain 15 infamy§W;;;;;;;;;;;;;
EVTOPTC00039;Venice, the city of the republic.;;;;;;;;;;;;;
EVTOPTC00041;Venice, the city of the republic.;;;;;;;;;;;;;
EVTOPTC00064;La liberté par la restauration!;;;;;;;;;;;;;
EVTOPTC00065;We shall simply forbid the reclamation efforts.;;;;;;;;;;;;;
EVTOPTC00081;Refuse;;;;;;;;;;;;;
EVTOPTC00083;Refuse.;;;;;;;;;;;;;
EVTOPTC00084;Refuse.;;;;;;;;;;;;;
EVTOPTC00085;Refuse.;;;;;;;;;;;;;
EVTOPTC00129;Yannis Makriyannis;;;;;;;;;;;;;
EVTOPTC00205;Keep Spain controlled, and seize Cuba. §RGain 20 infamy§W;;;;;;;;;;;;;
EVTOPTC00094;The two realms are codependent and equal.;;;;;;;;;;;;;
EVTOPTC00073;We will claim Australie for our trouble. §RGain 7.5 infamy§W;;;;;;;;;;;;;
EVTOPTC211414;Favor the Catholics.;;;;;;;;;;;;;
EVTOPTC211450;These coolie contracts are starting to sound an awful lot like slavery...;;;;;;;;;;;;;
EVTOPTC211252;Confirm prince Prabu Anom.;;;;;;;;;;;;;
EVTOPTC211505;The real mistake was allowing them to study in the first place.;;;;;;;;;;;;;
EVTOPTC211476;The free market is harsh.;;;;;;;;;;;;;
EVTOPTC18482312;We can't afford anything right now.;;;;;;;;;;;;;
EVTOPTC91700;Liberal;;;;;;;;;;;;;
EVTOPTC90810;Play as Guangxi Clique;;;;;;;;;;;;;
EVTOPTC44364;The Metis have gone too far and must know their place.;;;;;;;;;;;;;
EVTOPTC203800;I never asked for this.;;;;;;;;;;;;;
EVTOPTC203801;A bunch of pretentious old men running the world.;;;;;;;;;;;;;
EVTOPTC232000000;Name it after a famous battle.;;;;;;;;;;;;;
EVTOPTC200005;Was ist des Deutschen Vaterland? is clearly the best!;;;;;;;;;;;;;
EVTOPTC46625;Give the power back to the people.;;;;;;;;;;;;;
EVTOPTC11001;...socialist-minded nobles.;;;;;;;;;;;;;
EVTOPTC4431;Leave them be. The capitalists will starve and the landowners will have no privileges.;;;;;;;;;;;;;
EVTOPTC96096;We are not interested in any more colonies. §GLose 4 infamy§W;;;;;;;;;;;;;
EVTOPTC199051;We must expand our tea production.;;;;;;;;;;;;;
EVTOPTC199050;We should focus on cotton production.;;;;;;;;;;;;;
EVTOPTC199060;We should focus on coffee, but look for mineral riches. §R(Pay 100,000¤ once)§W;;;;;;;;;;;;;
EVTOPTC199049;Focus on tea and tropical wood;;;;;;;;;;;;;
EVTOPTC199048;Rubber is the way to go.;;;;;;;;;;;;;
EVTOPTC199047;We could use some fruit production.;;;;;;;;;;;;;
EVTOPTC199046;Let's focus on tropical wood.;;;;;;;;;;;;;
EVTOPTC199041;A mix of cotton and coffee production could be good.;;;;;;;;;;;;;
EVTOPTC199040;We need wood for our furnaces.;;;;;;;;;;;;;
EVTOPTC199039;Coffee is a rare commodity that our people will enjoy.;;;;;;;;;;;;;
EVTOPTC199038;We are in need of cotton for our looms.;;;;;;;;;;;;;
EVTOPTC22584;Foreign trade shouldn't be regulated.;;;;;;;;;;;;;
EVTOPTC22581;$COUNTRY_ADJ$ interests should come first and above all.;;;;;;;;;;;;;
EVTOPTC810005;We refuse to pay anything.;;;;;;;;;;;;;
EVTOPTC810006;We won't cover another nation's debt.;;;;;;;;;;;;;
EVTOPTC110062;Propose a compromise.;;;;;;;;;;;;;
EVTOPTC70004;Issue an official declaration forgiving their debt.;;;;;;;;;;;;;
EVTOPTC37707;We shall find another way to get some money.;;;;;;;;;;;;;
EVTOPTC36623;I think the British would be a better choice.;;;;;;;;;;;;;
EVTOPTC16456;At least pay the reparations they are asking. §R(Pay or owe 10,000¤) Lose 1 infamy§W;;;;;;;;;;;;;
EVTOPTC16454;We are broke, don't buy anything.;;;;;;;;;;;;;
EVTOPTC16453;We will not sell any land.;;;;;;;;;;;;;
EVTOPTC34616;We have no interest in getting involved.;;;;;;;;;;;;;
EVTOPTC31500001;The Union will continue with the status quo.;;;;;;;;;;;;;
EVTOPTC96173;Avanti Sicily! §BPlay as Sicily§W;;;;;;;;;;;;;
EVTOPTC441266;Long Live Liberia! §BPlay as Liberia§W;;;;;;;;;;;;;
