EVTOPTD00129;Nikitaras, the Turk Eater;;;;;;;;;;;;;
EVTOPTD00073;PERFIDIOUS ALBION MUST DIE!;;;;;;;;;;;;;
EVTOPTD211414;Ban missions altogether.;;;;;;;;;;;;;
EVTOPTD91700;Socialist;;;;;;;;;;;;;
EVTOPTD90810;Play as Yunnan Clique;;;;;;;;;;;;;
EVTOPTD232000000;Name it after our country.;;;;;;;;;;;;;
EVTOPTD200005;I like "Die Wacht am Rhein"?;;;;;;;;;;;;;
EVTOPTD199065;We should make the most of the jungles we have.;;;;;;;;;;;;;
EVTOPTD199053;Let's spare some space for tobacco production.;;;;;;;;;;;;;
EVTOPTD199060;We should focus on tobacco, but look for mineral riches. §R(Pay 100,000¤ once)§W;;;;;;;;;;;;;
EVTOPTD199050;Tobacco is all the rage in Europe right now.;;;;;;;;;;;;;
EVTOPTD199041;If there's mineral richness, we are willing to invest in it. §R(Pay 100,000¤ once)§W;;;;;;;;;;;;;
EVTOPTD199040;Cigarettes are very popular. We need to acquire more Tobacco.;;;;;;;;;;;;;
EVTOPTD199038;Coffee is a rare commodity that our people will enjoy.;;;;;;;;;;;;;
EVTOPTD22581;Never bother me with this again.;;;;;;;;;;;;;
EVTOPTD22584;It's best if we don't use tariffs or incentives at all.;;;;;;;;;;;;;
EVTOPTD36623;The Dutch would like another island in the Caribbean.;;;;;;;;;;;;;
EVTOPTD31500001;Latvia will be released and we will declare Estonia free.;;;;;;;;;;;;;
EVTOPTD999001;Decisive arguments for Planned Economy.;;;;;;;;;;;;;
EVTOPTD999002;There is one faith and one faith only!;;;;;;;;;;;;;
EVTOPTD999004;This can be solved without violence.;;;;;;;;;;;;;
EVTOPTD999010;Let the campaigns take their course and do not intervene.;;;;;;;;;;;;;
EVTOPTD999049;Do not get involved in the debate.;;;;;;;;;;;;;
EVTOPTD640000;Hej, Slovania!;;;;;;;;;;;;;
EVTOPTD555084;Frankly, I don't give a damn (Meanie!);;;;;;;;;;;;;
EVTOPTD477700;Focus on coffee production.;;;;;;;;;;;;;
EVTOPTD477702;Focus on tobacco production.;;;;;;;;;;;;;
EVTOPTD14000;It is imperative that our merchants be allowed to travel freely;Il est impératif que nos marchands soient autorisés à voyager librement.;Unsere Händler müssen uneingeschränkt reisen dürfen!;;Es imperativo que a nuestros comerciantes se les permita viajar libremente.;;;;;;;;;
EVTOPTD14010;Decisive arguments for Planned Economy;Arguments décisifs en faveur de l'économie planifiée;Entscheidende Argumente für Planwirtschaft;;Argumentos decisivos para la economía planificada;;;;;;;;;
EVTOPTD14020;There is one faith and one faith only!;Il n'y a qu'une seule religion !;Es kann nur einen einzigen Glauben geben!;;¡Solo existe una única fe!;;;;;;;;;
EVTOPTD14040;War is a fundamental evil that must be avoided;La guerre est un mal qui doit être évité;Krieg ist das Böse an sich und muss vermieden werden!;;La guerra es un mal fundamental que debe evitarse.;;;;;;;;;
EVTOPTD14050;Lower the tariffs just a bit.;Baisser légèrement les droits de douane;Senkt die Zölle, aber nur ein bisschen.;;Bajad los aranceles solo un poco.;;;;;;;;;
EVTOPTD14060;Local markets should, in some instances, be protected;Les marchés locaux devraient, dans certains cas, être protégés.;Local markets should, in some instances, be protected;;Los mercados locales deberían protegerse en algunos casos.;;;;;;;;;
EVTOPTD14070;Great idea, but let me take a look at this first.;C'est une bonne idée mais qui mérite réflexion.;Gute Idee, aber damit muss ich mich erst eingehender befassen.;;Gran idea, pero déjame echarle un vistazo primero.;;;;;;;;;
EVTOPTD14080;You might be right.;Vous avez peut-être raison.;Sie könnten Recht haben.;;Puede que tengáis razón.;;;;;;;;;
EVTOPTD14090;We might want to rethink this.;Nous pourrions peut-être y réfléchir.;Das sollten wir uns nochmal überlegen.;;Quizá podríamos volver a pensar esto.;;;;;;;;;
EVTOPTD14100;It's probably nothing, but we'll have a look at it.;Ce n'est probablement rien, mais nous allons y jeter un coup d'?il.;Da gibt es wahrscheinlich kein Problem, aber wir werden die Angelegenheit trotzdem untersuchen.;;Probablemente no sea nada, pero lo estudiaremos.;;;;;;;;;
EVTOPTD14110;Maybe we could do something to help.;Nous pourrions peut-être faire quelque chose.;Vielleicht könnten wir irgendwie helfen.;;Puede que podamos hacer algo para ayudar.;;;;;;;;;
EVTOPTD14120;Secularization must always be tempered;La laïcisation doit être systématiquement modérée.;Säkularisation muss immer gemäßigt sein.;;La secularización debe ser siempre atenuada.;;;;;;;;;
EVTOPTD14130;While objectionable, we can not consider more than limited accommodation;Bien que contestable, nous ne pouvons envisager davantage qu'un ajustement limité.;Das ist zwar unangenehm, aber wir können nur eingeschränkte Hilfe leisten.;;Aunque es censurable, no podemos considerar más que un acuerdo limitado.;;;;;;;;;
EVTOPTD14140;We must oppose such plans on grounds of principle.;Nous devons nous opposer à de tels plans, question de principe.;Solchen Plänen müssen wir uns prinzipiell entgegenstellen.;;Debemos oponernos a esos planes por principios.;;;;;;;;;
EVTOPTD14150;We will work this out.;Nous allons y réfléchir.;Wir werden schon eine Lösung finden.;;Lo arreglaremos.;;;;;;;;;
EVTOPTD14160;All men were created equal;Tous les hommes naissent égaux.;Alle Menschen sind gleich.;;Todos los hombres fueron creados iguales.;;;;;;;;;
EVTOPTD14170;Full citizenship is, sadly, not an option;Malheureusement, la pleine citoyenneté n'est pas possible.;Volle Bürgerrechte sind leider keine Option.;;Tristemente, la ciudadanía plena, no es una opción.;;;;;;;;;
EVTOPTD14180;We were actually thinking about cutbacks...;Nous envisagions justement des réductions...;Wir werden ernsthaft über Kürzungen nachdenken ...;;La verdad es que estábamos pensando en recortar gastos...;;;;;;;;;
EVTOPTD14190;This is not something we should prioritize.;Ce n'est pas une priorité pour nous.;Dies sollte nicht auf unserer Prioritätenliste stehen.;;Esto no es algo a lo que deberíamos dar prioridad.;;;;;;;;;
EVTOPTD14200;A soldier needs his weapon.;Les soldats ont besoin d'armes.;Ein Soldat braucht seine Waffen.;;Un soldado necesita su arma.;;;;;;;;;
EVTOPTD14210;The military needs guns, not idle gossip;L'armée a besoin d'armes, pas de paroles en l'air.;Das Militär braucht Waffen, kein nutzloses Geschwätz.;;El ejército necesita armas, no habladurías.;;;;;;;;;
