EVTOPTE00129;Mavromichalis;;;;;;;;;;;;;
EVTOPTE91700;Communist;;;;;;;;;;;;;
EVTOPTE90810;Play as Hunan Clique;;;;;;;;;;;;;
EVTOPTE232000000;Name it after a great city.;;;;;;;;;;;;;
EVTOPTE199053;The demand for coffee is ever increasing.;;;;;;;;;;;;;
EVTOPTE199050;We need more sugar.;;;;;;;;;;;;;
EVTOPTE199039;We don't need to interfere with the natives.;;;;;;;;;;;;;
EVTOPTE199038;We don't need to interfere with the natives.;;;;;;;;;;;;;
EVTOPTE36623;We won't hold any referendum. St. Barths will always be ours. §RGain 1 infamy§W;;;;;;;;;;;;;
EVTOPTE31500001;Estonia will be released and we will declare Latvia free.;;;;;;;;;;;;;
EVTOPTE999011;Support the Radical parties!;;;;;;;;;;;;;
EVTOPTE640000;Keep the old anthem.;;;;;;;;;;;;;
EVTOPTE477700;Leave the production as it is.;;;;;;;;;;;;;
EVTOPTE14000;Freedom and liberty of trade shall not perish from this Earth!;La liberté du commerce ne doit pas disparaître de cette terre !;Die Freiheit und Handelsfreiheit wird nicht von dieser Welt verschwinden!;;¡La libertad y el libre comercio no desaparecerán de esta Tierra!;;;;;;;;;
EVTOPTE14050;We need to lower the tariffs altogether.;Nous devons baisser les droits de douane;Wir müssen das allgemeine Zollniveau senken.;;Tenemos que bajar los aranceles.;;;;;;;;;
EVTOPTE14060;Local markets must always be shielded from foreign competition;Les marchés locaux doivent systématiquement être protégés de la concurrence étrangère.;Die lokalen Märkte müssen von der ausländischen Konkurrenz abgeschirmt werden.;;Los mercados locales deben protegerse siempre de la competencia extranjera.;;;;;;;;;
EVTOPTE14070;That is a great idea. We will do that.;C'est une excellente idée. C'est ce que nous allons faire.;Das ist eine großartige Idee. Das werden wir machen.;;Es una gran idea. Haremos eso.;;;;;;;;;
EVTOPTE14080;You are right.;Vous avez raison.;Sie haben Recht.;;Tenéis razón.;;;;;;;;;
EVTOPTE14090;We must oppose government intervention in the economy;Nous devons nous opposer à l'intervention du gouvernement dans l'économie.;Wir müssen die Einmischung der Regierung in die Wirtschaft verhindern.;;Debemos oponernos a la intervención del gobierno en la economía.;;;;;;;;;
EVTOPTE14100;They might have a point...;Il y a peut-être un problème...;So unrecht haben sie wohl gar nicht ...;;Podrían tener razón...;;;;;;;;;
EVTOPTE14110;We will help you.;Nous allons vous aider.;Wir werden euch helfen.;;Os ayudaremos.;;;;;;;;;
EVTOPTE14120;Faith must be represented in politics.;La foi doit être représentée en politique.;Der Glaube muss in der Politik eine Rolle spielen.;;La fe debe estar representada en la política.;;;;;;;;;
EVTOPTE14130;We will do what we can, this won't be tolerated.;Nous ferons ce que nous pourrons, c'est intolérable.;Wir werden alles Mögliche unternehmen. Dies kann nicht toleriert werden!;;Haremos lo que podamos, esto no se tolerará.;;;;;;;;;
EVTOPTE14140;God is dead;Dieu est mort;Gott ist tot.;;Dios ha muerto;;;;;;;;;
EVTOPTE14150;Won't be easy, but we'll do everything we can.;Ce ne sera pas facile, mais nous ferons de notre mieux.;Es wird nicht einfach, aber wir werden alles Mögliche unternehmen.;;No será fácil, pero haremos todo lo que podamos.;;;;;;;;;
EVTOPTE14160;You see, I have this dream of mine...;Tel est mon rêve...;Wissen Sie, ich habe einen Traum ...;;Verá, yo tengo este sueño...;;;;;;;;;
EVTOPTE14170;Immigrants!? In *my* $COUNTRY$!?;Des immigrants ?!? Dans MON $COUNTRY$ !?;Einwanderer!? In *meinem* $COUNTRY$!?;;¿Inmigrantes? ¿En 'mi' $COUNTRY$?;;;;;;;;;
EVTOPTE14180;Mama says a pistol is the Devil's right hand.;La guerre est parfois un mal nécessaire.;Mama sagt, eine Pistole sei die rechte Hand des Teufels.;;Mamá dice que una pistola es la mano derecha del Diablo.;;;;;;;;;
EVTOPTE14190;Maybe we should cut back on other things, such as soldiers...;Nous devrions peut-être réduire d'autres dépenses, comme les soldats...;Vielleicht sollten wir woanders sparen, zum Beispiel bei der Anzahl der Soldaten ...;;Quizás deberíamos recortar en otras cosas, como en los soldados...;;;;;;;;;
EVTOPTE14200;We need to upgrade their weapons.;Nous devons améliorer leurs armes.;Wir müssen ihre Waffen erneuern.;;Tenemos que mejorar sus armas.;;;;;;;;;
EVTOPTE14210;Perhaps violence is the answer after all.;La violence est peut-être la solution, après tout.;Vielleicht ist Gewalt letztendlich doch eine Antwort.;;Quizás, después de todo, la violencia sea la respuesta.;;;;;;;;;
