Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
RGA_liberal_2;Républicains modérés;;;;;;;;;;;;;
RGA_conservative_2;Front Algérie Française;;;;;;;;;;;;;
RGA_socialist;Section Algérie de l'Internationale ouvrière;;;;;;;;;;;;;
RGA_reactionary_2;Action Algérie;;;;;;;;;;;;;
RGA_radical;Parti radical;;;;;;;;;;;;;
RGA_communist;Parti Communiste Algérien;;;;;;;;;;;;;
RGA_fascist;Organisation Armée Secrète;;;;;;;;;;;;;
RGA_dominion;Algerie;;;;;;;;;;;;;
WES_dominion;Westfalen;;;;;;;;;;;;;
ALD_unciv_absolute_monarchy;Abdelkader Emirate;;;;;;;;;;;;;
RHI_dominion;Rheinland;;;;;;;;;;;;;
MOR_conservative;Sulalat al-Alawiyyin al-Filaliyn;;;;;;;;;;;;;
MOR_reactionary;Sulalat al-Alawiyyin al-Filaliyn;;;;;;;;;;;;;
unciv_absolute_monarchy;Absoute Monarchy;;;;;;;;;;;;;
unciv_absolute_monarchy_ruler;Emir;;;;;;;;;;;;;
absolute_empire;Absolute Monarchy;;;;;;;;;;;;;
absolute_empire_ruler;Monarch;;;;;;;;;;;;;
semi_constitutional_empire;Semi-Constitutional Monarchy;;;;;;;;;;;;;
semi_constitutional_empire_ruler;Monarch;;;;;;;;;;;;;
constitutional_empire;Constitutional Monarchy;;;;;;;;;;;;;
constitutional_empire_ruler;Prime Minister;;;;;;;;;;;;;
TRE_dominion;Freistadt Triest;;;;;;;;;;;;;
TUN_conservative;Bey Faction;;;;;;;;;;;;;
KAS_conservative;Dogra Dynasty;;;;;;;;;;;;;
NEP_conservative;Rana Dynasty;;;;;;;;;;;;;
SIK_conservative;Chogyal Dynasty;;;;;;;;;;;;;
CAM_conservative;Norodom Dynasty;;;;;;;;;;;;;
MLD_conservative;Huraa Dynasty;;;;;;;;;;;;;
BHU_conservative;Wangchuck Dynasty;;;;;;;;;;;;;
CRL_conservative;Katoor Dynasty;;;;;;;;;;;;;
AWA_conservative;Maharaja's Faction;;;;;;;;;;;;;
TRA_conservative;Kupaka Swaroopam;;;;;;;;;;;;;
MNP_conservative;Maharaja's Faction;;;;;;;;;;;;;
MYS_conservative;Maharaja's Faction;;;;;;;;;;;;;
