Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
Flavors Mod Events;;;;;;;;;;;;;;
EVTNAME99900;The Singapore Free Port;;;;;;;;;;;;;
EVTNAME99901;Chinese Migration to Singapore;;;;;;;;;;;;;
EVTDESC99901;\n\nPoverty in China due to the Opium Wars sparked many Chinese to seek better lives in Singapore, "These Chinese coolies formed the early backbone of Singapore's labor force, engaged mainly in hard physical labor. Their cheap labor in Singapore's mines, ports, construction sites, plantations and jungles contributed greatly to the island's growth. The word “coolie” is believed to have come from the Hindi term kuli, which is also the name of a native tribe of Gujerat in western India.;;;;;;;;;;;;;
EVTNAME99902;The Free Immigrants of Australia;;;;;;;;;;;;;
EVTDESC99904\n\n;The Australian colony has entered an era of extreme prosperity. Due to the recent discovery of gold, a massive influx of population growth and capital has begun. Boomtowns are springing up left and right, wherever gold is to be found, while the coastal cities are experiencing a similarly dramatic surge in population and economic activity. Our previously sleepy and remote colony has turned over a new leaf and is already almost unrecognizable. Things are looking up, and the boom has only just begun.;;;;;;;;;;;;;
EVTOPT99902;Men for the Colonies!;;;;;;;;;;;;;
EVTNAME99906;The German New Guinea Company;;;;;;;;;;;;;
EVT99906OPTA;Claim Northern New Guinea as a $COUNTRY_ADJ$ colony! §R Gain 2 infamy§W;;;;;;;;;;;;;
EVT99906OPTB;We have no interest in this. §GLose 1 infamy§W;;;;;;;;;;;;;
EVTNAME99907;The Don Pacifico Affair;;;;;;;;;;;;;
EVT99907OPTA;Civis romanus sum! Any British subject shall feel safe in foreign lands!;;;;;;;;;;;;;
EVT99907OPTB;Civil matters of our subjects in foreign lands do not concern us.;;;;;;;;;;;;;
EVT99908OPTA;Oxi. The Greek people will not be insulted like this.;;;;;;;;;;;;;
EVT99908OPTB;It seems we have no choice..;;;;;;;;;;;;;
EVTNAME99909;Greece Refuses to Pay!;;;;;;;;;;;;;
EVT99909OPTA;British honor will be respected..;;;;;;;;;;;;;
EVT99909OPTB;This is madness, we will not risk war over such petty matters.;;;;;;;;;;;;;
EVTNAME99910;Greece Agrees to our Demands;;;;;;;;;;;;;
EVTOPT99910;Excellent;;;;;;;;;;;;;
EVTNAME99911;The British Blockade;;;;;;;;;;;;;
EVT99911OPTA;To War it is.;;;;;;;;;;;;;
