Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME190451;Accusations of Fraud;;;;;;;;;;;;;
EVTNAME1904012;Minoan Excavations;;;;;;;;;;;;;
EVTNAME1904112;$FROMCOUNTRY$ Grants Excavation Permit;;;;;;;;;;;;;
EVTNAME1904212;$FROMCOUNTRY$ Refuses Excavation Permit;;;;;;;;;;;;;
EVTNAME1904312;Legal Issues;;;;;;;;;;;;;
EVTNAME190441;Grave Circle A, Mycenae;;;;;;;;;;;;;
EVTNAME190442;The Palace of Knossos;;;;;;;;;;;;;
EVTNAME200006;The first 'Beethovenfest';;;;;;;;;;;;;
EVTNAME200007;The Constitution of Hanover;;;;;;;;;;;;;
EVTNAME200009;The Göttinger Seven;;;;;;;;;;;;;
EVTNAME200010;The Göttinger Seven in Hanover;;;;;;;;;;;;;
EVTNAME200013;Aftermath of the Göttinger Seven;;;;;;;;;;;;;
EVTNAME200017;Baden Ends Government Censorship;;;;;;;;;;;;;
EVTNAME200018;Austrian and Prussian Protests!;;;;;;;;;;;;;
EVTNAME200023;Heine & $COUNTRY$;;;;;;;;;;;;;
EVTNAME200025;Scandals at the Beethoven Festival;;;;;;;;;;;;;
EVTNAME200033;Goethe Monument;;;;;;;;;;;;;
EVTDESC200033;The_citizens_of_Frankfurt_have_edified_a_monument_to_honor_Johann_Wolfgang_von_Goethe,_perhaps_the_most_important_German-speaking_author_and_a_symbol_of_German_culture_in_general._This_event_is_regarded_as_a_national_sensation_among_liberals_and_patriots.;;;;;;;;;;;;;
free_press_in_baden_title;Abolish Censorship of the Press!;;;;;;;;;;;;;
free_press_in_baden_desc;As one of the pioneers of liberalism and constitutionalism, until 1832 Baden had been one of the few states with the freedom of the press. However, under immense pressure of the reactionary governments in the German Confederation - namely Prussia and Austria - we were forced to abolish this fundamental right. We can try to reintroduce free press rights, but we will face the wrath of these two great powers once again.;;;;;;;;;;;;;
build_goethe_denkmal_title;The Goethe Monument;;;;;;;;;;;;;
