Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
icaza_pritchett_convenio_title;Icasa-Pritchett Contract;;;;;;;;;;;;;
icaza_pritchett_convenio_desc;§RRestart cores conflict with Peru§! During its war of independence from Spain, the government of Gran Colombia had incurred a number of debts to private European creditors. Its three daughter states: Venezuela, Colombia, and Ecuador, split the debts amongst themselves. Recently a committee of European investors into Ecuador, the Ecuador Land Company, has organized itself and sent several representatives to discuss settling the debt. George S. Pritchett, one of these representatives, has offered a contract to our Minister of Finance, Francisco de Paula Icaza, giving creditors rights to several territories in the East of the nation. Our sovereignty over the lands would be preserved, though the territories would be tax-exempt for 15 years. Among the lands to be transferred by the Icaza–Pritchett contract are many territories in dispute with Peru, who decry the treaty as a violation of their integrity.;;;;;;;;;;;;;
the_peruvian_ecuadorian_war_title;Declare War on Ecuador;;;;;;;;;;;;;
the_peruvian_ecuadorian_war_desc;The Ecuadorians have remained persistent in the obstinance. Very well! We have already given our president, General Ramón Castilla the right to command an army to recover our land and abrogate its sale to the creditors, and we shall supplement this with a blockade of Ecuador’s ports to bring them to their knees!;;;;;;;;;;;;;
treaty_of_mapasingue_title;Treaty of Mapasingue;;;;;;;;;;;;;
treaty_of_mapasingue_desc;Thanks to our brilliant strategists and brave soldiers, we had the upper hand in the war. Now that we have decisively won, we can enforce a treaty to the opposing side that will benefit us greatly.;;;;;;;;;;;;;
the_colombian_ecuadorian_union_title;Propose an Union with Ecuador;;;;;;;;;;;;;
the_colombian_ecuadorian_union_desc;We won the war against our enemies despite all odds and the dreams of creating Bolivar’s Gran Colombia have appeared among our circles once again. While our liberal government has stark differences from Moreno’s conservative, almost theocratic government in Ecuador, we can come to a common ground if we start the negotiations. We can also use the argument that the conservatives during the Civil War forced a disgracing treaty on them, giving concessions if we have to. United we will stand against the enemies of South America!;;;;;;;;;;;;;
treaty_of_pinsaqui_title;Treaty of Pinsaqui;;;;;;;;;;;;;
treaty_of_pinsaqui_desc;We won the battle against our enemies, therefore using our military and psychological advantage, we will take our claimed territories and make sure their claims over these territories will be annulled. This way, no conflict over these lands will happen again, and hopefully intimidate the opposite side from ever trying to take our lands ever again.;;;;;;;;;;;;;
union_with_venezuela_title;Union with venezuela;;;;;;;;;;;;;
union_with_venezuela_desc;We were victorious in our attempt to subdue Ecuador; our dreams of Bolivar’s empire are coming closer and closer to reality! However, our military triumphs must be accompanied by political victories, and that’s why we will propose a union between our government and Venezuela. We need to make sure that the deal is fair and acceptable to the other side, but in the end, it is their decision to accept or refuse our offer.;;;;;;;;;;;;;
treaty_of_maracaibo_title;Treaty of Maracaibo;;;;;;;;;;;;;
treaty_of_maracaibo_desc;We won the war against tyrannical Colombians who tried to claim our country in the name of a great leader who passed away a long time ago. This opportunist act shall not go unpunished as we will take our claimed territories as well as demand the withdrawal of Colombian presence from Ecuador with a treaty. Their rampage will be subsumed and democracy restored in Ecuador once again.;;;;;;;;;;;;;
secure_the_chaco_title;Secure the Chaco region;;;;;;;;;;;;;
secure_the_chaco_desc;The troublesome climate of the Chaco Region and the lack of infrastructure did not stop us from achieving total victory. Our military victories must be assured with political victories on peace negotiations and resolve this dispute once and for all.;;;;;;;;;;;;;
treaty_of_buenos_aires_title;Treaty of Buenos Aires;;;;;;;;;;;;;
treaty_of_buenos_aires_desc;We drove our enemies out from the Chaco Region and now we reserve the right, and the arms to enforce our claims and occupy the area once and for all. The oil in the area, if we will find a considerable amount, will help tremendously to recover from the debts and losses we garnered. However, we have to give concessions to our foes as they still hold some claims on the Chaco region, and completely humiliating them in peace deals will bring further resentment to our government from Bolivians.;;;;;;;;;;;;;
EVTDESC3459011;\n\nEver_since_the_colonial_era,_Panama_and_its_regional_culture_has_been_vastly_different_from_the_rest_of_Colombia,_with_many_of_them_not_even_feeling_identified_as_Colombians_but_as_a_group_different_from_the_rest_of_Colombia._As_we_recognize_the_unique_identity_of_the_Panamanian_people,_we_consider_three_options:_to_protect_their_cultural_heritage,_to_force_them_to_adopt_a_more_Colombian_identity,_or_to_grant_them_greater_autonomy._If_we_choose_to_protect_Panamanian_culture,_we_commit_to_fostering_a_sense_of_pride_and_collaboration,_promoting_their_traditions_while_ensuring_they_feel_valued_within_our_nation._On_the_other_hand,_if_we_decide_to_enforce_a_more_Colombian_identity,_we_risk_alienating_the_Panamanians,_leading_to_resentment_and_potential_unrest._Alternatively,_granting_them_autonomy_could_strengthen_our_ties_by_allowing_them_to_self-govern_while_still_being_part_of_Colombia._This_approach_might_help_balance_national_unity_with_regional_pride._As_we_weigh_these_options,_the_future_of_our_relationship_with_Panama_hangs_in_the_balance._What_should_we_do_to_ensure_harmony_and_respect_for_their_identity?;;;;;;;;;;;;;
EVTDESC3459012;\n\nBy_imposing_Colombian_customs,_language,_and_educational_curricula_over_the_course_of_ten_years._We_created_a_sense_of_national_identity_among_many_Panamanians,_as_we_invest_in_infrastructure_and_economic_development_in_the_region._Some_citizens_embrace_Colombian_culture,_participating_in_national_celebrations_and_adopting_our_customs._However,_this_approach_also_sparks_resistance_among_others_who_feel_their_unique_identity_is_being_erased._Over_time,_underlying_resentment_builds,_and_cultural_tensions_flare_as_Panamanians_struggle_to_reconcile_their_heritage_with_imposed_Colombian_norms._After_ten_years,_we_have_created_a_more_cultural_unity_with_the_panamanians_while_those_who_opposed_were_eventually_incarcelated_or_escaped_to_Costa_Rica.;;;;;;;;;;;;;
