PROV2446;S?o Jo?o del Rey;S?o Jo?o del-Rei;Sao Joao del Rey;;Sao Joao del Rey;;;;;;;;;
PROV2449;Vit?ria;Vitoria;Vitoria;;Vit?ria;;;;;;;;;
PROV2462;S?o Miguel;S?o Miguel;Sao Miguel;;Sao Miguel;;;;;;;;;
PROV2457;Curitiba;Curitiba;Curitiba;;Curitiba;;;;;;;;;
PROV2420;Iguatemi;Iguatemi;Iguatemi;;Iguatemi;;;;;;;;;
PROV3556;Tupukhumak;;;;;;;;;
PROV3560;Kurangilawe;;;;;;;;;
PROV3567;Santa Vitória;;;;;;;;;;;;;
PROV3444;Barbacena;;;;;;;;;;;;;
PROV2402;Manaus;Manaus;Manaus;;Manaos;;;;;;;;;
PROV3584;Rio de Janeiro;;;;;;;;;
PROV2447;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;;R?o de Janeiro;;;;;;;;;
PROV1049;Ubykhia;;;;;;;;;;;;;
PROV2532;Forte S?o Joaquim;Forte de S?o Joaquim;Forte Sao Joaquim;;Forte Sao Joaquim;;;;;;;;;
PROV2443;Teofilo Otoni;;;;;;;;;;;;;
PROV2986;Todos os Santos Bay;Baie de Todos Santos;Todos Santos-Bucht;;Bah?a de Todos los Santos ;;;;;;;;;
PROV2988;Baia Paranagu?;Baia Parangua;Baia Parangua;;Baia Parangua;;;;;;;;;
PROV969;Podolsk;;;;;;;;;;;;;
PROV958;Kyiv;;;;;;;;;;;;;
PROV971;Elysavet;;;;;;;;;;;;;
PROV978;Kharkiv;;;;;;;;;;;;;
PROV917;Jerusalem;J?rusalem;Jerusalem;;Jerusal?n;;;;;;;;;
PROV916;Acre;Acre;Acre;;Acre;;;;;;;;;
PROV918;Nablus;Naplouse;Nablus;;Nablus;;;;;;;;;
PROV919;Jaffa;Jaffa;Jaffa;;Yafo;;;;;;;;;
PROV3357;Beersheba;;;;;;;;;;;;;
PROV3474;Haifa;;;;;;;;;;;;;
PROV920;Gaza;Gaza;Gaza;;Gaza;;;;;;;;;
PROV3641;Melo;;;;;;;;;
PROV2347;Melo;Melo;Melo;;Melo;;;;;;;;;
PROV3618;Santa Vitória;;;;;;;;;;;;
PROV3642;Merim;;;;;;;;;
PROV3643;Lagoa dos Patos;;;;;;;;;
PROV3644;Colonia;;;;;;;;;
PROV2428;Para?ba;Paraiba;Paraiba;;Para?ba;;;;;;;;;
PROV3328;Elbing;;;;;;;;;;;;;
PROV3329;Allenstein;;;;;;;;;;;;;
PROV3327;Ortelsburg;;;;;;;;;;;;;
PROV623;?denburg;?denburg;?denburg;;?denburg;;;;;;;;;
PROV3376;Potsdam;;;;;;;;;;;;;
PROV909;Jerash;Jerash;Jerash;;Jerash;;;;;;;;;
PROV908;Amman;Amman;Amman;;Amm?n;;;;;;;;;
PROV278;Manchester;Manchester;Manchester;;Manchester;;;;;;;;;
PROV3443;Curral Del Rey;;;;;;;;;;;;;
PROV2442;Divinopolis;;;;;;;;;;;;;
PROV2445;Uberaba;Uberaba;Uberaba;;Uberaba;;;;;;;;;
PROV2444;Patos de Minas;;;;;;;;;;;;;
PROV3445;Ipatinga;;;;;;;;;;;;;
PROV3446;Montes Claros;;;;;;;;;;;;;
PROV3653;Pe'reru Tepu;;;;;;;;;
PROV3654;Opliwa'lako;;;;;;;;;
PROV3655;Greenville;;;;;;;;;
PROV3656;Huntington;;;;;;;;;
PROV3657;Abingdon;;;;;;;;;
PROV3658;Verkhoturye;;;;;;;;;
PROV3666;Trindade e Martim Vaz;;;;;;;;;
PROV2401;Marabitanas;Marabitanas;Marabitanas;;Marabitanas;;;;;;;;;
PROV4023;Inihta;;;;;;;;;
PROV4024;Ñumbyte;;;;;;;;;
PROV4022;Santa Cruz;;;;;;;;;
PROV4191;Ladário;;;;;;;;;
PROV4192;Cuiabá;;;;;;;;;
PROV2404;Tefe;Tefe;Tefe;;Tef?;;;;;;;;;
PROV4001;Serra da Capivara;;;;;;;;;
PROV2554;Concepción;;;;;;;;;;;;;
PROV4029;Merseburg;;;;;;;;;
PROV4030;Tromsø;;;;;;;;;
PROV2458;Guarapuava;Guarapuava;Guarapuava;;Guarapuava;;;;;;;;;
PROV2460;Castro;Castro;Castro;;Castro;;;;;;;;;
PROV2453;Assis;Assis;Assis;;Assis;;;;;;;;;
PROV4190;Guazyéro;;;;;;;;;
PROV2419;Corumb?;Corumba;Corumba;;Corumba;;;;;;;;;
PROV2418;Cuiab?;Cuiaba;Cuiaba;;Cuiab?;;;;;;;;;
PROV2425;Chapada;Chapada;Chapada;;Chapada;;;;;;;;;
PROV2417;Vila Bela;Vila Bela;Vila Bela;;Vila Bela;;;;;;;;;
PROV2550;Forte do Pr?ncipe;Forte do Principe;Forte do Principe;;Forte do Pr?ncipe;;;;;;;;;
PROV3749;Tucuruí;;;;;;;;;;;;;
PROV2413;Marab?;Maraba;Maraba;;Maraba;;;;;;;;;
PROV2600;Altamira;Altamira;Altamira;;Altamira;;;;;;;;;
PROV2405;Borba;Borba;Borba;;Borba;;;;;;;;;
PROV2427;Oeiras;Oeiras;Oeiras;;Oeiras;;;;;;;;;
PROV2421;Vila Boa;Vila Boa;Vila Boa;;Vila Boa;;;;;;;;;
PROV3382;Abuná;;;;;;;;;;;;;
PROV2407;Tabatinga;Tabatinga;Tabatinga;;Tabatinga;;;;;;;;;
PROV2415;Macap?;Macapa;Macapa;;Macap?;;;;;;;;;
PROV3652;Iauarí;;;;;;;;;
PROV3651;Uru'ku;;;;;;;;;
PROV2403;Cachoeira;Cachoeira;Cachoeira;;Cachoeira;;;;;;;;;
PROV2408;Oriximina;Oriximina;Oriximina;;Oriximina;;;;;;;;;
PROV4091;Trinidad;;;;;;;;;
PROV4006;San Ignacio;;;;;;;;;
PROV2567;Gaeta;Gaeta;Gaeta;;Gaeta;;;;;;;;;
PROV3750;São Gabriel;;;;;;;;;;;;;
