Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;
russo_japanese_war_title;Ambush the Russian Fleet at Port Arthur;;;;;;;;;;;;;
russo_japanese_war_desc;Tension between Japan and Russia has simmered for years as both nations struggle to secure dominance in Korea and northern China. That rivalry can no longer remain peaceful. Only victory over Russia will allow us to become the true masters of the East.;;;;;;;;;;;;;
russo_japanese_war_japanese_treaty_title;A Treaty with Russia;;;;;;;;;;;;;
russo_japanese_war_japanese_treaty_desc;Russia’s crushing defeat has given us the leverage to impose harsh terms. It is time to decide which territories we will claim.;;;;;;;;;;;;;
russo_japanese_war_russian_treaty_title;A Treaty with Japan;;;;;;;;;;;;;
russo_japanese_war_russian_treaty_desc;Japan struck without warning, and now must face the consequences of defeat and humiliation. We now have the chance to negotiate exactly what territory we will take from them.;;;;;;;;;;;;;
EVTNAME784518;Japan Ambushes the Pacific Fleet at Port Arthur!;;;;;;;;;;;;;
EVTNAME784519;We Are Winning Against Russia!;;;;;;;;;;;;;
EVTNAME784520;Japan Offers Us Peace;;;;;;;;;;;;;
EVTNAME784521;Russia Accepts Our Peace Offer!;;;;;;;;;;;;;
EVTNAME784522;Russia Rejects Our Peace Offer!;;;;;;;;;;;;;
EVTNAME784523;We Are Winning Against Japan!;;;;;;;;;;;;;
EVTNAME784524;Russia Offers Us Peace;;;;;;;;;;;;;
EVTNAME784525;Japan Accepts Our Peace Offer!;;;;;;;;;;;;;
EVTNAME784526;Japan Refuses Our Peace Offer!;;;;;;;;;;;;;
EVTNAME784527;A Harsher Treaty with Russia;;;;;;;;;;;;;
EVTNAME784528;Japan Makes Its Peace Offer;;;;;;;;;;;;;
EVTNAME784529;Japan Makes a Harsh Peace Offer;;;;;;;;;;;;;
EVTNAME784530;Japan’s Bold Peace Offer;;;;;;;;;;;;;
EVTNAME784531;A Harsher Treaty with Japan;;;;;;;;;;;;;
EVTNAME784532;Russia Makes Its Peace Offer;;;;;;;;;;;;;
EVTNAME784533;Russia Makes a Harsh Peace Offer;;;;;;;;;;;;;
EVTNAME784534;Russia’s Bold Peace Offer;;;;;;;;;;;;;
aggression_against_russia;Aggression Against Russia;;;;;;;;;;;;;
aggression_against_russia_desc;We are waging an offensive war to drive Russia out of East Asia and the Pacific. This modifier expires 580 days after the Russo-Japanese War begins. If we capture and hold Port Arthur for at least 30 days by then, we may sue for peace. If not, Russia will be able to impose demands on us.;;;;;;;;;;;;;
expel_russians_from_far_east_title;Expel the Russians from the Far East;;;;;;;;;;;;;
expel_russians_from_far_east_desc;The Far East has taken on a distinctly Russian character after centuries of settlement. Though the population remains sparse, even a small rebellion is unacceptable. The Russian inhabitants must be expelled and replaced with Japanese settlers.;;;;;;;;;;;;;
EVTNAME666606;Russians Expelled from the Far East;;;;;;;;;;;;;
EVTNAME666607;$COUNTRY_ADJ$ Forces Fail to Expel Russians;;;;;;;;;;;;;
EVTNAME666608;We Shall Grant Military Access to Japan and Russia;;;;;;;;;;;;;
EVTNAME666609;You Canceled Our Military Access;;;;;;;;;;;;;
EVTNAME666610;$FROMCOUNTRY$ Grants Us Military Access;;;;;;;;;;;;;
remove_jap_and_rus_military_access_title;Cancel Japanese and Russian Military Access;;;;;;;;;;;;;
remove_jap_and_rus_military_access_desc;The Russo-Japanese War has ended. Russian and Japanese forces must now return to their own borders.;;;;;;;;;;;;;
EVTNAME666611;$FROMCOUNTRY$ Cancels Our Military Access;;;;;;;;;;;;;
invade_manchuria_title;Invade Manchuria;;;;;;;;;;;;;
invade_manchuria_desc;China has always been a coveted objective for powers with the strength to seize it. Manchuria, in the northeast, is vast and resource-rich, and our recent Far Eastern gains make an invasion of it far easier. (This begins a war to disarm whichever Chinese-cultured state controlling Manchuria. After victory, a decision will appear allowing annexation of Manchuria.);;;;;;;;;;;;;
annex_manchuria_title;Annex Manchuria;;;;;;;;;;;;;
annex_manchuria_desc;Our Manchurian campaign has succeeded. Annexation can now begin.;;;;;;;;;;;;;
