Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
dismantlement_loc_ddr_1;§bWe_Have_§!;;;;;;;;;;;;;
dismantlement_loc_ddr_1b;§B5§!;;;;;;;;;;;;;
dismantlement_loc_ddr_2;§b_Remaining_Dismantlement_Dollars§!;;;;;;;;;;;;;
dismantlement_loc_ddr_3;§band_§!;;;;;;;;;;;;;
dismantlement_loc_ddr_4;§b_Infamy§!;;;;;;;;;;;;;
dismantlement_loc_1;§b_has_fallen._The_war_has_concluded_with_our_unconditional_surrender_to_§!;;;;;;;;;;;;;
dismantlement_loc_2;§b._Our_major_cities,_including_§!;;;;;;;;;;;;;
dismantlement_loc_3;§b,_lie_in_ruins,_with_critical_infrastructure_destroyed._§!;;;;;;;;;;;;;
dismantlement_loc_4;§b_forces_now_occupy_key_strategic_points_across_our_territory.§!;;;;;;;;;;;;;
dismantlement_loc_5;§bIn_§!;;;;;;;;;;;;;
dismantlement_loc_6;§b_diplomats_are_negotiating_the_terms_of_our_defeat._The_discussions_revolve_around_border_adjustments,_reparations,_and_the_dismantling_of_our_military_capabilities._As_§!;;;;;;;;;;;;;
dismantlement_loc_7;§b_decides_on_our_future,_the_population_faces_an_uncertain_period_of_reconstruction_and_the_potential_of_a_new_nationality.§!;;;;;;;;;;;;;
dismantlement_loc_8;§bWe_can_finally_declare_victory!_§!;;;;;;;;;;;;;
dismantlement_loc_9;§b_has_fallen,_and_we_now_commence_the_systematic_dismantlement_of_their_nation._Their_military_forces_have_been_utterly_crushed,_their_government_toppled,_and_their_ability_to_resist_eliminated._§!;;;;;;;;;;;;;
dismantlement_loc_10;§b,_we_will_dictate_the_terms_of_§!;;;;;;;;;;;;;
dismantlement_loc_11;§b's_dissolution._Our_primary_focus_is_on_dismantling_their_political_structures,_industrial_capacity,_and_military_capabilities._We_are_dividing_their_territory,_redistributing_key_resources,_and_ensuring_they_can_never_again_pose_a_threat_to_our_interests.§!;;;;;;;;;;;;;
dismantlement_loc_12;§bNegotiations_turn_to_§!;;;;;;;;;;;;;
dismantlement_loc_13;§b's_future._The_§!;;;;;;;;;;;;;
dismantlement_loc_14;§b_independence_movement,_based_in_§!;;;;;;;;;;;;;
dismantlement_loc_15;§b,_seeks_freedom_from_§!;;;;;;;;;;;;;
dismantlement_loc_16;§b._We_must_decide_whether_to_support_§!;;;;;;;;;;;;;
dismantlement_loc_17;§b's_independence,_preserve_§!;;;;;;;;;;;;;
dismantlement_loc_18;§b's_borders,_or_seek_a_more_lucrative_arangement.______§!;;;;;;;;;;;;;
dismantlement_loc_19;§bOur_newly_independent_nation,_born_from_the_remnats_of_§!;;;;;;;;;;;;;
dismantlement_loc_20;§b,_is_unexpectedly_constrained_by_the_Treaty_of_§!;;;;;;;;;;;;;
dismantlement_loc_21;§b._Despite_our_lack_of_influence_in_the_war,_the_victorious_powers_imposed_strict_limits_on_our_military_development,_citing_"regional_stability_concerns."_Our_rich_natural_resources,_once_the_pride_of_our_region,_were_now_subject_to_"international_oversight,"_with_§!;;;;;;;;;;;;;
dismantlement_loc_22;§b_companies_gaining_preferential_access_through_opaque_agreements._As_we_struggle_to_assert_our_sovereignty,_our_people_are_begining_to_realize_that_independence_on_paper_has_not_necessarily_translated_to_true_self-determination.§!;;;;;;;;;;;;;
dismantlement_loc_23;§bIntergrate_into_§!;;;;;;;;;;;;;
dismantlement_loc_24;Choose_a_Great_Power_to_dismantle|;;;;;;;;;;;;;
dismantlement_loc_25;§bThis_can_be_used_for_high-stakes_options_during_the_following_dismantlement_conference,_such_as_annexing,_puppeting_and_taking_colonies._This_metric_has_a_base_value_of_§B10§b_and_is_calculated_based_on_following_conditions|§!;;;;;;;;;;;;;
dismantlement_loc_26;Mass_Politics_Researched|_;;;;;;;;;;;;;
dismantlement_loc_27;In_Default|_;;;;;;;;;;;;;
dismantlement_loc_28;Ships_;;;;;;;;;;;;;
dismantlement_loc_29;Troops_;;;;;;;;;;;;;
dismantlement_loc_30;Funds_;;;;;;;;;;;;;
dismantlement_total_currency;Total_Dismantlement_Dollars|_;;;;;;;;;;;;;
dismantlement_total_number;§B36§!;;;;;;;;;;;;;
EVTDismantlementOverwriteOPTA;Liberate & Overwrite New States;;;;;;;;;;;;;
EVTDismantlementLiberateOPTB;Liberate Within the Remaining Boundaries;;;;;;;;;;;;;
EVTDismantlementPuppetOPTC;Install Our Own Regime [§B-3§!] [§R+2§!];;;;;;;;;;;;;
EVTDismantlementAnnexOPTD;Annex for Ourselves [§B-7§!] [§R+5§!];;;;;;;;;;;;;
