Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
linebreak_state;\n;;;;;;;;;;;;;
commabreak_state;,;;;;;;;;;;;;;
tabbreak_state;    ;;;;;;;;;;;;;
spacebreak_state; ;;;;;;;;;;;;;
flexicommabreak_state;,;;;;;;;;;;;;;
backslash;/;;;;;;;;;;;;;
colon;|;;;;;;;;;;;;;
loc_and;and;;;;;;;;;;;;;
fullstop_state;.;;;;;;;;;;;;;
white;§W;;;;;;;;;;;;;
blue;§B;;;;;;;;;;;;;
green;§G;;;;;;;;;;;;;
red;§R;;;;;;;;;;;;;
black;§b;;;;;;;;;;;;;
grey;§g;;;;;;;;;;;;;
yellow;§Y;;;;;;;;;;;;;
purple;§p;;;;;;;;;;;;;
clear;§!;;;;;;;;;;;;;
example_event_1;This event is an example of how Dynamic Loc can be applied.\n\n You are currently playing as;;;;;;;;;;;;;
example_event_2;. your capital is;;;;;;;;;;;;;
example_event_3;, which is in the region of;;;;;;;;;;;;;
example_event_4;. Your national adjective is;;;;;;;;;;;;;
example_event_5;. You have fired this event;;;;;;;;;;;;;
example_event_6;times.;;;;;;;;;;;;;
