key;english;;;;;;;;;;;;;
EVTDESC806;\n\nThe garrison at the formidable Fortress of Luxemburg has mutinied and joined Belgium.;;;;;;;;;;;;;
EVTDESC20041209;\n\nTo balance the technologies of the countries, we halve the research points at the start.;;;;;;;;;;;;;
EVTDESC127841;\n\nAfter more than 5 years of fighting guerilla warfare and Javanese rebels, we finally pacified our lands in Java.;;;;;;;;;;;;;
EVTDESC127850;\n\nAfter more than 5 years of fight against the Dutch, we finally won against our colonizers.;;;;;;;;;;;;;
EVTDESC127843;\n\nAfter more than 5 years of fight against the Dutch, we lost our independence and lands to the Dutch.;;;;;;;;;;;;;
EVTDESC127844;\n\nAfter more than 5 years of fighting guerilla warfare and Javanese rebels, we catastrophically lost our control over Java, and our domination over the East Indies is weaker by the day.;;;;;;;;;;;;;
EVTDESC34336466;\n\nOur allies in Asir have risen up against the Zaydi to establish a kingdom in the.;;;;;;;;;;;;;
EVTDESC97140;\n\nAs a consequence of a dispute between Argentina and Brazil known as the Palmas Question, the Brazilian government has called for US president Stephen Grover Cleveland to mediate the conflict.;;;;;;;;;;;;;
EVTDESC47083;\n\n$FROMCOUNTRY$ is proposing a navigation treaty to delimit our borders and establish river transport regulations. While this would please Brazil, we would thereby give up our claims on a lot of land.;;;;;;;;;;;;;
EVTDESC993895;\n\nWith our victory in the Civil War our control of Mexico is now uncontested.;;;;;;;;;;;;;
EVTDESC993898;\n\nStop messing with Ethiopia's formation!;;;;;;;;;;;;;
EVTDESC45110;\n\nThe Dominicans have caused us much pain and suffering. Perhaps the time has come to end the troubles they cause once and for all by deporting them?;;;;;;;;;;;;;
EVTDESC111010;\n\nSanta Anna has become deeply unpopular with the Mexican people and general staff, leading to a revolution by Juan Álvarez, Tom¡s Moreno, and Nicol¡s Bravo to depose him. Without support, he was ousted almost bloodlessly.;;;;;;;;;;;;;
EVTDESC20041214;\n\nThe Ecuadorians have used our momentary vulnerability due to our war with Bolivia to tear up the Pando-Noboa Treaty and claim Tumbes and Ja©n once again.;;;;;;;;;;;;;
EVTDESC23453236;\n\nWithout a land connection to Massawa, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
EVTDESC23453237;\n\nWithout a land connection to Massawa, the owners of Asmara have taken it over.;;;;;;;;;;;;;
EVTDESC54678982;\n\nWithout a land connection to Gembu, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
EVTDESC54678981;\n\nWithout a land connection to Gembu, the owners of Fusap have taken it over.;;;;;;;;;;;;;
EVTDESC54679008;\n\nWithout a land connection to Santa B¡rbara, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
EVTDESC54679009;\n\nWithout a land connection to Santa B¡rbara, the owners of La Esmeralda have taken it over.;;;;;;;;;;;;;
EVTDESC54679030;\n\nWithout a land connection to Duba, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
EVTDESC54679031;\n\nWithout a land connection to Duba, the owners of Umluj have taken it over.;;;;;;;;;;;;;
EVTDESC54679036;\n\nWithout a land connection to Tendrara, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
EVTDESC54679037;\n\nWithout a land connection to Tendrara, the owners of Taza have taken it over.;;;;;;;;;;;;;
EVTDESC565643235;\n\nWithout a land connection to Iquitos, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
EVTDESC565643234;\n\nWithout a land connection to Iquitos, the owners of San Roque have taken it over.;;;;;;;;;;;;;
EVTDESC233642;\n\nWithout a land connection to Punta Por¡, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
EVTDESC233641;\n\nWithout a land connection to Punta Por¡, the owners of Campo Grande have taken it over.;;;;;;;;;;;;;
EVTDESC233636;\n\nWithout a land connection to Tonantins, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
EVTDESC233635;\n\nWithout a land connection to Tonantins, the owners of El Encanto have taken it over.;;;;;;;;;;;;;
EVTDESC123527;\n\nNow that we have manifested our destiny by conquering all this land from Mexico, we have inherited the problem of the rebellious Indian tribes.;;;;;;;;;;;;;
EVTDESC4207040;\n\nAfter defeating Mexico in the war, we now must negotiate how much land we shall take.;;;;;;;;;;;;;
