Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
DIPLOMACY_AI_ACCEPTANCE;§Y$COUNTRY$§W's response: §Y$ODDS$§W;;§Y$COUNTRY$§Ws Antwort: §Y$ODDS$§W;;;;;;;;;;;
TOO_SOON_FOR_REFORM;We have to wait until §Y$DATE$§W until we can enact another reform.;;Wir müssen bis §Y$DATE$§W warten, bevor wir eine weitere Reform erlassen können.;;;;;;;;;;;
SIEGE_EXTRA_ATTR;§R+$VAL$%§W attrition from resistance to the occupation;;§R+$VAL$%§W Zermürbung durch Widerstand gegen die Besetzung;;;;;;;;;;;
NO_SEPARATE_PEACE_CRISIS;We cannot negotiate separate peace in a crisis war;;Wir können in einem Konfliktkrieg keinen separaten Frieden verhandeln ;;;;;;;;;;;
CRISIS_RESOLUTION_EFFECTS;Resolving the crisis in this way will give you $VAL$ prestige.;;Die Beilegung des Konflikts auf diese Weise wird Euch $VAL$ Prestige geben.;;;;;;;;;;;
CRISIS_RESOLUTION_RELATIONS;Relations with the following countries will change:;;Die Beziehungen mit folgenden Ländern werden sich ändern:;;;;;;;;;;;
flintlock_rifle_armament;Flintlock Rifle Armament;;Steinschlossgewehr-Aufrüstung;;;;;;;;;;;
flintlock_rifle_armament_desc;Introduced at the beginning of the 17th century, the flintlock rapidly replaced earlier firearm-ignition technologies, such as the doglock, matchlock, and wheellock mechanisms. It continued to be in common use for over two centuries, replaced by percussion cap and, later, cartridge-based systems in the early-to-mid 19th century. Although long superseded by modern firearms, flintlock weapons enjoy continuing popularity with black-powder shooting enthusiasts.;;Das Steinschloss wurde im frühen 17. Jahrhundert eingeführt und ersetzte schnell die älteren Auslösemechanismen für Schusswaffen, wie z.B. das Schnappschloss, Luntenschloss oder Radschloss. Es war mehr als zwei Jahrzehnte im Einsatz, bevor es vom Zündhütchen und später, Anfang bis Mitte des 19. Jahrhunderts, von patronenbasierten Systemen abgelöst wurde. Auch wenn sie schon lange von modernen Feuerwaffen verdrängt wurden, erfreuen sich Steinschlosswaffen bei Schwarzpulver-Liebhabern immer noch großer Beliebtheit.;;;;;;;;;;;
post_napoleonic_army_doctrine;Post Napoleonic Army Doctrine;;Post-Napoleonische Armee-Doktrin;;;;;;;;;;;
post_napoleonic_army_doctrine_desc;'The French Revolution and the Napoleonic Wars that followed revolutionized military strategy. The impact of this period was still to be felt in the American Civil War and the early phases of World War I. With the advent of cheap small arms and the rise of the drafted citizen soldier, armies grew rapidly in size to become massed formations. This necessitated dividing the army first into divisions and later into corps. Along with divisions came divisional artillery; light-weight, mobile cannon with great range and firepower. The rigid formations of pikemen and musketeers firing massed volleys gave way to light infantry fighting in skirmish lines.';;Die französische Revolution und die nachfolgenden Napoleonischen Kriege revolutionierten militärische Strategien. Der Einfluss dieser Periode war noch im amerikanischen Bürgerkrieg und den Anfangsphasen des ersten Weltkriegs spürbar. Mit dem Aufstieg billiger Handfeuerwaffen und der zum Kriegsdienst verpflichteten Bürger, wuchsen die Armeen stark zu Massenformationen an. Dies machte es erforderlich, Armeen zunächst in Divisionen und später inKorps aufzuteilen. Mit den Divisionen kam die Divisionsartillerie: leichte, mobile Kanonen mit großer Reichweite und Feuerkraft. Rigide Formationen von Pikenieren und Musketieren feuerten massive Salven ab und machten der leichten Infanterie in den Schützenlinien den Weg frei.;;;;;;;;;;
muzzle_loaded_rifle_armament;Muzzle-loaded Rifle Armament;;Vorderlader-Aufrüstung;;;;;;;;;;;
muzzle_loaded_rifle_armament_desc;A muzzle-loading rifle is a gun in which the projectile and propelling charge is loaded through the front-end of the gun, in contrast to a breech loading rifle. Hand held rifles were well-developed by the 1740s. A recognizable form of the 'muzzleloader' is the Kentucky Rifle, which was actually developed in Pennsylvania. The American Longrifle evolved from the German 'Jäger' rifle.;;Vorderlader sind Waffen, deren Projektile und Ladungen durch den Lauf geladen werden, im Gegensatz zu den Hinterladern. Handgewehre waren in den 1740ern weit entwickelt. Ein bekannter Vorderlader ist das Kentucky-Gewehr, das in Pennsylvania entwickelt wurde. Das amerikanische Langgewehr wurde vom deutschen Jagdgewehr weiterentwickelt.;;;;;;;;;;;
breech_loaded_rifle_armament;Breech-loaded Rifle Armament;;Hinterlader-Aufrüstung;;;;;;;;;;;
breech_loaded_rifle_armament_desc;A breech-loading weapon is a firearm in which the cartridge or shell is inserted or loaded into a chamber integral to the rear portion of a barrel. Although breech-loading weapons were developed as far back as the late 14th century, breech-loading became more successful with improvements in precision engineering and machining in the 19th century.;;Ein Hinterlader ist eine Feuerwaffe, die mit Patronen oder Granaten in einer Kammer am hinteren Lauf der Waffe geladen wird. Auch wenn Hinterlader schon im späten 14. Jahrhundert entwickelt wurden, wurden sie erst mit Verbesserungen in der Präzision und ihrer Bauweise im 19. Jahrhundert erfolgreicher.;;;;;;;;;;;
machine_gun_armament;Machine Gun Armament;;Maschinengewehr-Aufrüstung;;;;;;;;;;;
machine_gun_armament_desc;The Gatling gun, patented in 1861 by Richard Jordan Gatling, was the first to offer controlled, sequential fire with automatic loading. It first saw very limited action in the American Civil War; it was subsequently improved and used in the Franco-Prussian war and North-West Rebellion. Many were sold to other armies in the late 19th century and continued to be used into the early 20th century. The first self-powered machine gun was invented in 1885 by Sir Hiram Maxim. The 'Maxim gun' used the recoil power of the previously fired bullet to reload rather than being hand-powered, enabling a much higher rate of fire than was possible using earlier designs such as the Nordenfelt and Gatling weapons.;;Das Repetiergeschütz wurde 1861 von Richard Jordan Gatling patentiert und bot als erstes die Möglichkeit kontrollierter, aufeinanderfolgender Feuersalven mit automatischem Nachladen. Zu einem ersten, begrenzten Einsatz kam das Gewehr im amerikanischen Bürgerkrieg. Es wurde fortlaufend weiterentwickelt und kam auch im Deutsch-Französischen Krieg und im Nordwest-Widerstand zum Einsatz. Viele Gewehre wurden im späten 19. Jahrhundert an andere Armeen verkauft und bis ins frühe 20. Jahrhundert hinein verwendet. Das erste selbstladende Maschinengewehr wurde 1885 von Sir Hiram Maxim erfunden. Das Maxim-Maschinengewehr nutzte die Energie des Rückstoßes zuvor abgeschossener Kugeln zum Nachladen, keinen Handantrieb, und erlaubte eine höhere Feuerrate als frühere Entwicklungen, wie z.B. das Nordenfelt und das Gatling-Gewehr.;;;;;;;;;;
cuirassier_activation;Cuirassiers;;Kürassiere;;;;;;;;;;;
