Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
greater_norway_title;Norgesveldet;;;;;;;;;;;;;
greater_norway_desc;After the rise of romantic nationalism in Norway spanning from 1840 to 1865, the term "Norgesveldet" swept through the country reminding people of how great Norway used to be on the map! We colonized Iceland, we colonized Greenland, and legend even has it that we colonized Newfoundland before anyone else! Sweden robbed us of our past territories and our old deal with Novgorod to split the northern Nordics is invalid as Novgorod no longer exists. It's time to step away from the sidelines and once again become the great power our beautiful country deserves to be! The time has come to re-establish Norgesveldet!;;;;;;;;;;;;;
KAUTOKEINO;The Kautokeino Uprising of 1852;;;;;;;;;;;;;
ACCEPTSAMI;We need to share the nation with the Kvens and the Sami.;;;;;;;;;;;;;
fornorskningspolitikk;We are actively suppressing Sami culture.;;;;;;;;;;;;;
sapmi_rename_title;Reclaim the Sami Heartland;;;;;;;;;;;;;
sapmi_rename_desc;Having declared the Sami people a protected minority, we shall honor them by naming our 2 new provinces in the Sami language. After all, having Sami as a recognized language would be meaningless if we didn't promote its usage. However, if we ever own the Kola peninsula, we shall promote Norwegian immigration there.;;;;;;;;;;;;;
NOR_INDEPENDENCE; The Norwegian Monarchy Referendum;;;;;;;;;;;;;
NOR_REPUBLIC;Establish a republic for the people! Monarchies have toyed with us for long enough!;;;;;;;;;;;;;
NOR_MONARCHY;A constitutional monarchy to protect both tradition and democracy! (historical);;;;;;;;;;;;;
NOR_ABSOLUTE_MONARCHY;We need a king with firm control to maintain Norway's independence!;;;;;;;;;;;;;
nor_provoke_swe_title;Strengthen the Norwegian Military;;;;;;;;;;;;;
nor_provoke_swe_desc;Karl Johan is quite angry that we have deployed 3 brigades of guards--but his feelings mean nothing to us. He is at fault for violating the Convention of Moss, which established the personal union of Sweden and Norway, by cracking down on our autonomy. This is just our way to enforce the union's terms. We know that Karl Johan is a fanatic who dreams of annexing us, and it was only thanks to our defense in 1814 that our autonomy currently survives. Denmark's current king, Christian Frederik, ruled as our own king briefly during the war with Sweden in 1814 and abdicated after we lost. If we contact him and request his backing, he'd surely help--and if we provoke Sweden into declaring war, we could finally gain our independence.;;;;;;;;;;;;;
nor_lang_decision_title;Settle the Written Language Debate;;;;;;;;;;;;;
nor_lang_decision_desc;At this time, we have three written languages our people use. The upper class and government use Danish, while easterners use Bokmål, and westerners and northerners use Nynorsk. The huge dialectical differences between regions is impeding our growth as a nation. We must decide which written variant of Norwegian we shall promote as the official one.;;;;;;;;;;;;;
NOR_LANG;Time has come to decide the main language for Norway;;;;;;;;;;;;;
RIKSMAAL;Knud Knudsen's Riksmål, with Danish influence!;;;;;;;;;;;;;
LANDSMAAL;Ivar Aasen's Landsmål, with Norse inspiration! (Enables assimilation of the Faroe Islands);;;;;;;;;;;;;
LANDSMAAL_AND_RIKSMAAL;Both are equally Norwegian! (Historical);;;;;;;;;;;;;
newly_standardized_norwegian_neutral;Double-Variation Norwegian;;;;;;;;;;;;;
newly_standardized_norwegian;Single-Variation Norwegian;;;;;;;;;;;;;
northern_norway_fin_title;Consolidate Rule in Northern Norway;;;;;;;;;;;;;
northern_norway_fin_desc;Though Norwegian is dominant in the area, there exists a Finnish-related group called the Kvens in the far North. We must restore the use of these people's native language!;;;;;;;;;;;;;
northern_norway_nor_title;Reclaim Northern Norway;;;;;;;;;;;;;
northern_norway_nor_desc;Out with the Finnish conquerors! Norway's old borders must stand!;;;;;;;;;;;;;
grytviken_title;Purchase the Falklands and South Georgia;;;;;;;;;;;;;
grytviken_desc;No one ever lived properly on the South Georgia islands before thousands of brave Norwegian fishers went down there to pursue whaling. They even built a cinema and their own church, but due to British imperialism, the island unfortunately never became ours. Now we have the power to change history We will send a request to purchase South Georgia and the Falklands for 30000 pounds.;;;;;;;;;;;;;
norwegian_whaling;Norwegian Whale Hype!;;;;;;;;;;;;;
bomuldsfabrique_modifier;Profitable Textile Manufacturing;;;;;;;;;;;;;
bomuldsfabrique;Norway's First Factory!;;;;;;;;;;;;;
bomuldsfabrique_option;May the profits abound!;;;;;;;;;;;;;
bomuldsfabrique2;Norway's First Factory Faces Decline;;;;;;;;;;;;;
bomuldsfabrique_option2;Bye textile mill that was definitely not a dye factory!;;;;;;;;;;;;;
alesundfire;The Ålesund Fire;;;;;;;;;;;;;
alesundfire_option1;We will do without German help.;;;;;;;;;;;;;
alesundfire_option2;We are eternally grateful for German help!;;;;;;;;;;;;;
fire_damage;Fire Damage;;;;;;;;;;;;;
alesundfire_rebuilt;Ålesund Beautifully Rebuilt;;;;;;;;;;;;;
alesundrebuilt;The Ålesund Fire;;;;;;;;;;;;;
alesundrebuilt_option1;Beautiful!;;;;;;;;;;;;;
thranename;Marcus Thrane Publishes a Socialist Petition;;;;;;;;;;;;;
thrane_option1;Arrest him and put an end to his union! (Historical);;;;;;;;;;;;;
thrane_option2;You know what? I think he has some good points.;;;;;;;;;;;;;
thrane_angry;Thrane in Prison;;;;;;;;;;;;;
thrane_angry_desc;We arrested Marcus Thrane, one of the most prominent revolutionaries, leader of the Thranite movement, one of the biggest movements in Norway. Their followers will make us pay for this.;;;;;;;;;;;;;
thrane_glad;Thrane's Petition Sees Success;;;;;;;;;;;;;
gaelic_education_nor;The Gaelic Question;;;;;;;;;;;;;
gaelic_education_nor_option1;Establish a semi-autonomous entity in Scotland and Ireland;;;;;;;;;;;;;
gaelic_education_nor_option2;Establish central governance from our capital;;;;;;;;;;;;;
irish_scottish_suzerainty;The Gaelic Autonomous Republic;;;;;;;;;;;;;
irish_scottish_assimilation;Mandatory Schooling in Norwegian;;;;;;;;;;;;;
capital_gaelic_suzerainty;Capital of the Gaelic Autonomous Republic;;;;;;;;;;;;;
nor_more_military;Sweeping Military Reforms;;;;;;;;;;;;;
RISE_OF_STAVANGER_TITLE;The Stavanger Population Boom;;;;;;;;;;;;;
rise_of_stavanger;Large Baby Boom;;;;;;;;;;;;;
ASSIMILATE_FAROE_TITLE;Faroese Assimilation Proves Successful;;;;;;;;;;;;;
conquer_ireland_nor_title;The Reconquest of Ireland;;;;;;;;;
conquer_ireland_nor_desc;§RGain 5 infamy§! During the Viking Ages, Ireland was largely populated with Norwegians, and the 5 main cities of Ireland at the time were founded by Norwegians, Limerick, Cork, Waterford, Wexford and Dublin. We are now on the position to reconquer Ireland, and regain our historical lands. (An event will pop up after the war giving you all of Ireland since scripting several casus bellis at once is impossible);;;;;;;;;
SCA_CONQUERED_IRELAND_EVENT_TITLE;Ireland is Under Our control!;;;;;;;;;
