Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
LEDGER_COUNTRY_NAME;Country;Pays;Land;;Pa?s;;;;;;;;;
LEDGER_COUNTRY_MILSCORE;Military Score;Score militaire;Milit?r;;Puntuaci?n militar;;;;;;;;;
LEDGER_COUNTRY_INDSCORE;Industrial Score;Score industriel;Industrie;;Puntuaci?n industrial;;;;;;;;;
LEDGER_COUNTRY_PRESTIGE;Prestige;Prestige;Prestige;;Prestigio;;;;;;;;;
LEDGER_COUNTRY_TOTALSCORE;Total Score;Score total;Gesamtpunktzahl;;Puntuaci?n total;;;;;;;;;
LEDGER_HEADER_PROVINCES;Provinces;Provinces;Provinzen;;Provincias;;;;;;;;;
LEDGER_PROVINCE_NAME;Province;Province;Provinz;;Provincia;;;;;;;;;
LEDGER_PROVINCE_TOTALPOP;Total pop.;Popul. tot.;Gesamtbev?lk.;;Pob. total;;;;;;;;;
LEDGER_PROVINCE_AVGMIL;Avg. Mil.;Milit. moy.;Durchschn. Mil.;;Mil. media;;;;;;;;;
LEDGER_PROVINCE_AVGCON;Avg. Con.;Consc. moy.;Durchschn. Bew.;;Con. media;;;;;;;;;
LEDGER_PROVINCE_AVGLIT;Avg. Lit.;Alphab. moy.;Durchschn. Alph.;;Alf. media;;;;;;;;;
LEDGER_PROVINCE_RELIGION;Religion;Religion;Religion;;Religi?n;;;;;;;;;
LEDGER_PROVINCE_CULTURE;Culture;Culture;Kultur;;Cultura;;;;;;;;;
LEDGER_PROVINCE_ISSUE;Issue;Position politique;Thema;;Tema;;;;;;;;;
LEDGER_PROVINCE_IDEOLOGY;Ideology;Id?ologie;Ideologie;;Ideolog?a;;;;;;;;;
LEDGER_HEADER_PROVINCE_POPS;Province population;Population de la province;Provinzbev?lkerung;;Poblaci?n de la provincia;;;;;;;;;
LEDGER_HEADER_ARMY;Armies;Arm?es;Armeen;;Ej?rcitos;;;;;;;;;
LEDGER_ARMY_NAME;Army;Arm?e;Armee;;Ej?rcito;;;;;;;;;
LEDGER_ARMY_INFANTRY;Infantry;Infanterie;Infanterie;;Infanter?a;;;;;;;;;
LEDGER_ARMY_CAVALRY;Cavalry;Cavalerie;Kavallerie;;Caballer?a;;;;;;;;;
LEDGER_ARMY_ARTILLERY;Artillery;Artillerie;Artillerie;;Artiller?a;;;;;;;;;
LEDGER_HEADER_GOODS_PRICEHISTORY;Price history;Historique des prix;Preisverlauf;;Historial de precios;;;;;;;;;
LEDGER_COUNTRY_STATUS;Status;Statut;Status;;Estatus;;;;;;;;;
