schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
schomburgk_line_desc;Following the dissolution of Gran Colombia, its unsettled and remote eastern frontier in Essequibo has been left unorganized and unprotected. Following our acquisition of Guyana from the Dutch, we inherited a territorial dispute over Essequibo with Gran Colombia which disputed the former Spanish treaty. Thus we have legal justification to seize this patch of jungle without conflict. The Royal Geographical Society of London recommends we send Sir Robert Hermann Schomburgk to explore the region and delineate a proper border with Venezuela, as his work on surveying the Virgin Island of Anegada was quite impressive.;;;;;;;;;;;;;
schomburgkexplained;Abusing flimsy claims of inheritance of responsibilities from treaties between the Spanish and the Dutch, Britain has occupied Essequibo. With our recently nascent country barely posessing an army of note, there is nothing we can do to resist the Brits.;;;;;;;;;;;;;
LIBERTADORDEATH;\n\nAfter resigning from the presidency, Bolívar made his way to Cartagena de Indias to board a ship and settle down abroad. However, he rested in the Customs House of Santa Marta as his health made travel difficult. As his condition worsened, he needed a transfer to a quieter place and moved to a farm located in San Pedro Alejandrino on the outskirts of the city, where he entered the full care of his trusted family doctor. Initially optimistic, both he and his doctor eventually recognized the severity of the condition, leading to Bolívar writing his will and instructing his entourage how to proceed in the event of his death. \nAfter the passage of morning marked by an increasing decline of vital signs, the silence of the house's main hall, occupied by the aides, military leadership of the Patriot Army and Bolívar's closest friends, was interrupted by the words of his doctor inviting them to the next room to witness the great liberator's last moments. Surrounded by his entourage, and after a long but calm agony, Simón Bolívar died at 1 PM, 3 minutes and 55 seconds on Friday, December 17, 1830.;;;;;;;;;;;;;
LIBERTADORSLASTWORDS;\n\n'Colombians: You have witnessed my efforts to raise freedom where tyranny once reigned. I have worked with selflessness, abandoning my fortune and even my tranquility. I separated from command when I was persuaded that you distrusted my detachment. My enemies abused your credulity and they trampled on what is most sacred to me, my reputation and my love of freedom. I have been a victim of my persecutors, who have led me to the doors of the tomb. I forgive them. As I disappear from your midst, my affection tells me that I must make a manifestato of my last wishes. I do not aspire to any other glory than the consolidation of Colombia. All of you must work for the inestimable good of the Union: The people obeying the government to be free from anarchy, the ministers of the sanctuary directing their prayers to heaven, and the military using their sword to preserve the peace. Colombians! My last wishes are for the happiness of the country. If my death contributes to the end of the parties and the consolidation of the Union, I shall go to the grave in peace.'  -Simón Bolívar;;;;;;;;;;;;;
apulo_convention_title;The Apulo Convention;;;;;;;;;;;;;
apulo_convention_desc;Gran Colombia is doomed. Without Bolívar, no leadership can emerge with enough legitimacy in the people's eyes to keep the country unified. With Ecuador, Venezuela and Panama in revolt, perhaps it is time to accept the inevitability of partition rather than spill more of our countrymen's blood. Accordingly, President Rafael Urdaneta has called for a convention to officially dissolve the union of Colombia and create a new state within the territories still under stable federal control.;;;;;;;;;;;;;
LIBERTADORRESIGNS;\n\nSince 1828, Simón Bolívar has attempted to deal with Gran Colombia's national crises and keep the country united by assuming dictatorial powers. At present, however, has finally seen that this course of action has not kept the union together, but divided it ever more severely. He has now arrived at the conclusion that it would be best for Gran Colombia if he, El Libertador, resigned and left the presidency to an heir more capable of resolving national division. This course of action, however, risks creating ever more uncertainty. Gran Colombia was founded with Bolívar at the helm--his name is a byword for the country writ large, and his rule has been integral to Colombia's national identiy. What will happen to the nation after his resignation?;;;;;;;;;;;;;
PANAMASECEDES;\n\nLed by the traitorous Colonel Juan Eligio Alzuru, Panama has declared its independence following the example of Venezuela and Ecuador. However, many inhabitants of Panama wish to remain as part of Colombia. Several officers have already voiced their opposition to Alzuru. It wouldn't be far-fetched to expect this independence movement to be short-lived unlike those in Venezuela and Ecuador.;;;;;;;;;;;;;
ECUADORSECEDES;\n\nInformed of the secession of Venezuela and Bolívar's resignation, the assembly of the district of the South has declared independence, founding the state of Ecuador. The departments of Quito, Azuay and Guayaquil are now under the supreme rule of Juan Jose Flores, the head of government.;;;;;;;;;;;;;
VENEZUELASECEDES;\n\nMeeting in the council of Valencia, the assembly of the northern district chose the town for being the residence of hero of the wars against Spain, General José Antonio Páez who has been agitating against the government of Gran Colombia for years. Additionally, the town was the site of the separatist movement La Cosiata that occurred between 1826 and 1829. While the assembly's rhetoric was anti-Bolivarian from the start, once it had been informed of Bolívar's resignation, it took a turn for a worse. The assembly ultimately ceremoniously announced its independence from Gran Colombia as the state of Venezuela under the leadership of General Páez himself.;;;;;;;;;;;;;
PANAMAQUESTION;\n\nGeneral Tomás Herrera has lead a counterrevolt against Juan Eligio Alzuru to put an end to Panamanian independence and repatriate to Colombia. While his revolt is seeing a lot of success, he needs the support of the people. The question lies in their loyalty to Colombia. Will they work towards continued self-sovereignty or reintegration to Colombia?;;;;;;;;;;;;;
PANAMAREJOINS;\n\nExecuted by General Tomás Hererra, Alzuru's revolt is no more. Panama has returned to Colombian rule amid much jubilation. Many hope the same may occur in Venezuela or Ecuador, but those hopes are clearly in vain.;;;;;;;;;;;;;
colonize_galapagos_title;Colonize the Galapagos Islands;;;;;;;;;;;;;
colonize_galapagos_desc;The Galapagos Islands are a hotspot of biodiversity, having been separate from the mainland for thousands of years. It also serves as an excellent naval base in the Pacific to project our influence. We must settle it before another country acts first!;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_DAI_CHA;The Ja Thak Wa Uprising;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_DAI_CHA;The Ja Thak Wa Uprising;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_GCO_VNZ;The Collapse of Gran Colombia;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_GCO_VNZ;The Collapse of Gran Colombia;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_GCO_PNM;The Collapse of Gran Colombia;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_GCO_PNM;The Collapse of Gran Colombia;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_GCO_ECU;The Collapse of Gran Colombia;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_GCO_ECU;The Collapse of Gran Colombia;;;;;;;;;;;;;
clm_const_1832_title;The Colombian Constitution;;;;;;;;;;;;;
clm_const_1832_desc;Now that the situation has stabilized, the constitutional assembly has finished its deliberations and formulated a constitution. It establishes the separation of powers, the responsibilities of public officials, the duty to protect the Catholic church and the unitary form of government with decentralized local assemblies. Furthermore, it divides congress into an upper and lower house and sets its legislative terms.;;;;;;;;;;;;;
ADMIRABLECONGRESS;\n\nSimón Bolívar's years as dictator of Gran Colombia have done the union no good. His unquestioned reign has even been compared by many to that of the kings of Spain. Recognizing what is best for the union, he has called for a new constitutional assembly to create a constitution for Gran Colombia in a last-ditch effort to prevent its dissolution.;;;;;;;;;;;;;
GCNOCOLLAPSE;\n\nAfter much trial and tribulation, Gran Colombia is united once more. El Libertador can rest easy knowing that the Bolivarian legacy shall continue. However, now that the crisis of secession is averted, we must ask ourselves what lies in our future. How will we govern ourselves to ensure that Gran Colombia will survive and not collapse once more?;;;;;;;;;;;;;
