Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
1833_reforms_title;The Reforms of 1833;;;;;;;;;;;;;
1833_reforms_desc;President Valentín Gomez Farias has proposed several social, political and economic reforms to curb the power of the Catholic Church in Mexico. Liberals compare the clergy to ministers of Huitzilopochtli (who received human sacrifices), accusing them of being being worldly, greedy hypocrites. They see the Bible as full of absurdities and falsehoods from an ignorant era and wish to disempower the pope. Conservatives are furious about the proposals and the disrespect to the church, seeing them as reason to depose Farias.;;;;;;;;;;;;;
EVTNAME183536;Las Siete Leyes;;;;;;;;;;;;;
EVTDESC183536;\n\nOur_president's_government_has_issued_a_new_constitution,_informally_dubbed_the_"Siete_Leyes."_It_replaces_the_1824_Constitution_and_establishes_the_Centralist_Republic_of_Mexico:_a_unitary_state_with_unprecedented_power_bestowed_upon_the_government_in_Mexico_City._The_federal_system,_inspired_by_the_United_States,_was_implemented_in_hopes_decentralization_could_build_a_stable_and_trusted_Mexican_government--but_evidently,_as_seen_by_the_political_turmoil_and_civil_wars_in_our_country_over_the_past_decade,_this_has_not_been_the_case._Thus,_the_conservative_government,_seeking_to_further_its_control_over_the_states,_has_proclaimed_the_federal_system_to_have_been_a_mistake_and_is_bringing_Mexico_into_an_era_of_unitarianism._The_successfulness_of_this_new_government_remains_to_be_seen--though_hardline_federalist_ex-politicians_are_sure_to_soon_launch_a_coup,_and_are_preparing_accordingly.;;;;;;;;;;;;;
EVTOPTA183536;Viva México!;;;;;;;;;;;;;
EVTNAME183637;Separatist Movements Arise!;;;;;;;;;;;;;
EVTDESC183637;\n\nUsing_the_opportunity_granted_by_the_recent_political_instability_and_conflict_amongst_liberals_and_conservatives,_the_Texans_have_declared_independence_with_significant_support_from_the_Americans._While_the_rebels_claim_their_cause_is_grounded_in_the_fundamental_right_to_self-determination,_their_true_motive_is_the_desire_to_legally_practice_slavery._Though_Mexico_abolished_slavery_decades_ago,_the_government_looked_the_other_way_as_American_immigrants_to_the_state_began_setting_up_illegal_slave_plantations,_to_the_point_of_making_enslaved_blacks_a_hefty_portion_of_the_state's_non-Indian_population._Now_the_Anglo-American_immigrants_are_willing_to_die_in_battle_to_keep_their_slaves._Naturally,_America_will_ensure_their_cause_is_backed_by_the_rifle_and_cannon.;;;;;;;;;;;;;
EVTOPTA183637;Fight those rebels! Defend the constitution!;;;;;;;;;;;;;
EVTOPTB183637;This is hopeless. There is nothing we can do.;;;;;;;;;;;;;
EVT44127OPTA;Our military could use the target practice.;;;;;;;;;;;;;
EVT44127OPTB;We shall surrender our claims.;;;;;;;;;;;;;
