Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
reorganize_la_plata_title;Reorganize La Plata;;;;;;;;;;;;;
reorganize_la_plata_desc;The submission of La Plata to our enlightened rule has left a great deal of precarious philosophical questions. Let us offer Buenos Aires brotherly advice about the future of South America.;;;;;;;;;;;;;
MON_liberal;Napredaši;;;;;;;;;;;;;
MON_reactionary_tribes;Plemenski Zbor;;;;;;;;;;;;;
MON_reactionary_church;Pravoslavna Crkva;;;;;;;;;;;;;
MON_conservative;Petrovic-Njegoši;;;;;;;;;;;;;
MON_communist;Savez Komunista;;;;;;;;;;;;;
MON_socialist;Narodna Socijalisticka Stranka;;;;;;;;;;;;;
MON_liberal_2;Narodna Stranka;;;;;;;;;;;;;
MON_conservative_2;Prava Narodna Stranka;;;;;;;;;;;;;
MON_reactionary_2;Zelenaši;;;;;;;;;;;;;
MON_radical;Pariška Klika;;;;;;;;;;;;;
MON_fascist;Crnogorska Stranka;;;;;;;;;;;;;
SER_radical;Narodna Radikalna Stranka;;;;;;;;;;;;;
MON_claim_hercegovina_title;Claim Herzegovina;;;;;;;;;;;;;
MON_claim_hercegovina_desc;§RGain 4 infamy§! While we already control New Herzegovina, our brothers are still being unrightfully oppressed in the rest of Herzegovina. Proclaim that it is our duty to save them!;;;;;;;;;;;;;
MON_claim_ragusa_title;Claim Dubrovnik;;;;;;;;;;;;;
MON_claim_ragusa_desc;§RGain 2 infamy§! Dubrovnik, also known as Ragusa, is an important port inhabited by fellow Slavs. Controlling it would enhance our security in the Herzegovina region and bring economic prosperity. Let us claim it!;;;;;;;;;;;;;
MON_claim_sanjak_title;Claim Sanjak;;;;;;;;;;;;;
MON_claim_sanjak_desc;§RGain 2 infamy§! The so-called Sanjak of Novi Pazar is not to be split - all of it belongs to the Montenegrins! Though it has been under the Ottoman jackboot since it was conquered from the Serbian Despotate in 1455, the people there know that, deep down, they are true Slavs.;;;;;;;;;;;;;
MON_claim_skadar_title;Claim Skadar;;;;;;;;;;;;;
MON_claim_skadar_desc;§RGain 2 infamy§! Skadar, also known as Shkodra, Shkoder or Scutari, is an important town on the other side of the lake that carries the same name as the historical capital of our predecessor, the old land of Zeta. While the majority of the town's and the surrounding region's inhabitants are Albanian, controlling it remains paramount in pursuing the resolution of irrigation problems in Old Montenegro. Some have already gone as far as to claim that our future relies on the control of this town. Let us officially stake our claim!;;;;;;;;;;;;;
MON_claim_kosovo_title;Claim Kosovo;;;;;;;;;;;;;
