Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME5000001;Greek Revolutionaries make their Demands;;;;;;;;;;;;;
EVTDESC5000001;\n\nIoannis_Makrygiannis,_the_leader_of_the_revolution_of_1821_against_the_Ottomans,_has_begun_to_organize_various_rebel_bands_against_our_absolutist_rule,_declaring_King_Otto,_our_Bavarian_monarch_just_as_bad_as_the_sultan_in_Constantinople._However,_while_the_situation_is_rapidly_deteriorating,_it_hasn't_spiraled_out_of_control_just_yet._Rejecting_his_demands_might_see_the_country_erupt_into_all-out_revolt._It_all_depends_on_our_response.;;;;;;;;;;;;;
EVT5000001OPTA;We cannot risk rebellion, capitulate to his demands.;;;;;;;;;;;;;
EVT5000001OPTB;His terms are outrageous and compromising, declare him an outlaw.;;;;;;;;;;;;;
EVT5000001OPTC;Make token concessions that will surely starve out his movement.;;;;;;;;;;;;;
EVTNAME5000002;Constitutional Rebels Mobilize;;;;;;;;;;;;;
EVTDESC5000002;\n\nIoannis_Makrygiannis_and_his_rebels_have_had_enough_of_the_reactionary_nature_of_King_Otto_and_his_Bavarian_bureaucracy,_his_armies_have_begun_to_march_towards_$CAPITAL$._Hour_by_hour_more_parts_of_our_army_and_peasantry_are_joining_him_and_it_seems_that_the_situation_is_now_completely_untenable.;;;;;;;;;;;;;
EVT5000002OPTA;Call all those still loyal to defend his highness.;;;;;;;;;;;;;
EVTNAME5000003;Revolutionary armies surround Royal Palace;;;;;;;;;;;;;
EVTDESC5000003;\n\nDespite_our_best_attempts_at_dispersing_rebel_activity_in_recent_years,_it_has_all_come_to_nought_as_rebel_armies_surround_the_old_royal_palace_and_demand_that_the_king_immediately_be_overthrown_and_a_constitution_be_put_in_his_place_with_universal_suffrage_for_all_Greek_Men._We_may_however_still_have_a_chance_if_we_rapidly_call_on_anyone_still_loyal_to_the_king,_but,_fighting_these_changes_will_cost_our_country_dearly.;;;;;;;;;;;;;
EVT5000003OPTA;We must accept our defeat, the rebels have won this time.;;;;;;;;;;;;;
EVT5000003OPTB;No concessions, tell Steinstorf to rally anyone still loyal and fire at will.;;;;;;;;;;;;;
EVTNAME5000004;George I Assassinated;;;;;;;;;;;;;
EVTDESC5000004;\n\nNews_has_reached_us_that_King_of_the_Hellenes_George_I_was_assassinated_by_self-proclaimed_socialist_Alexandros_Schinas_after_the_king_supposedly_refused_to_give_him_money._He_was_killed_instantly_as_the_bullet_struck_his_heart._George's_body_is_to_be_returned_to_$CAPITAL$_and_laid_in_state_in_the_Metropolitan_Cathedral_for_3_days_before_being_buried_in_a_tomb_at_his_palace_in_Tatoi.;;;;;;;;;;;;;
EVT5000004OPTA;My God!;;;;;;;;;;;;;
form_balkan_federation_title;Form A Balkan Federation;;;;;;;;;;;;;
form_balkan_federation_desc;§RGain 10 infamy§! §BRequires owning Ljubljana, Zagreb, Sarajevo, Cetinje, Belgrade, Tirana and Sofia.§! The political movement of a united Balkan identity has recently seen a surge of support due to the creation of a Democratic Oriental Federation, founded by a number of Balkan intellectuals. If we manage to extend our influence to the rest of our Balkan brethren, we could use this opportunity to strive for a greater Balkan future. We must seize this opportunity in order to strengthen our grip on Europe, and to stand united against any who wish to sow strife between our great cultures. United we stand, divided we fall.;;;;;;;;;;;;;
greek_ascension_bfr_title;Greek Ascension into the Federation;;;;;;;;;;;;;
greek_ascension_bfr_desc;§RGain 5 infamy§! Due to our influence over the historically Greek regions of the Balkans, we now have the choice to politically and culturally integrate them into our great union state. Glory to the Federation!;;;;;;;;;;;;;
romanian_ascension_bfr_title;Romanian Ascension into the Federation;;;;;;;;;;;;;
romanian_ascension_bfr_desc;§RGain 5 infamy§! The Romanian people have long been considered those of Balkan heritage and ideals, and now we have the influence to officially declare them part of the union.;;;;;;;;;;;;;
claim_thrace_bfr_title;Claim Thrace;;;;;;;;;;;;;
claim_thrace_bfr_desc;§RGain 2.5 infamy§! Thrace is geographically part of the Balkans, and to secure our hold as a Balkan union state, we must fully secure the Balkan peninsula. Not only is Thrace a natural border between us and Turkish Anatolia to the east, but Istanbul is also an incredibly valuable and important city. Whoever controls it, controls trade in the Black Sea.;;;;;;;;;;;;;
claim_hungary_bfr_title;Claim Hungarian Lands;;;;;;;;;;;;;
claim_hungary_bfr_desc;§RGain 10 infamy§! The historically Hungarian heartlands of Transdanubia and Central Hungary are geographically important to us. Previously part of the Austro-Hungarian empire, we may now seek to claim their lands as our own. However the Hungarians themselves may feel as if we're taking away their choice of self-governance, and may never accept a Hungarian future in a Balkan state.;;;;;;;;;;;;;
