Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
general_colonization_law_title;Ley General de Colonización;;;;;;;;;;;;;
general_colonization_law_desc;The General Colonization Law was a political reform imposed in 1824. Its purpose was to attract immigrants to the least populated areas of our nation. This law was the main cause behind the immigration of American settlers to Texas. This law, although not officially discontinued, has been de facto out of commission due to recent conflicts. Now that we are at peace, we can instate the law once again to attract more immigrants.;;;;;;;;;;;;;
claim_oregon_territory_title;Claim the Oregon Country!;;;;;;;;;;;;;
claim_oregon_territory_desc;§RGain 5 infamy§! The Oregon Country territory was first explored by Spanish explorers, which later discussed the territory in the Nutka conventions. This is a solid claim for the Mexican state to take it back.;;;;;;;;;;;;;
claim_luisiana_title;Claim the Luisiana Territory!;;;;;;;;;;;;;
claim_luisiana_desc;§RGain 20 infamy§! On 1764, the formal acquisition of the Louisiana territory was announced by Spain and attached as a Spanish governance to the general Cuban captaincy, which was part of the Viceroyalty of New Spain, later Mexico. This lays a solid claim on this vast territory for the Mexican people.;;;;;;;;;;;;;
claim_florida_title;Claim the Florida Peninsula!;;;;;;;;;;;;;
claim_florida_desc;§RGain 5 infamy§! The Florida peninsula was the first important European settlement in North America, it formed part of the general Cuban captaincy, which was part of the Viceroyalty of New Spain just like the Louisiana Territory, this naturally also gives us claim on the territory and its corridor.;;;;;;;;;;;;;
EVTNAME4206969;Shall we join $FROMCOUNTRY$?;;;;;;;;;;;;;
EVTDESC4206969;Now_that_$FROMCOUNTRY$_has_formed,_our_role_as_spherelings_is_being_questioned,_as_well_as_our_sovereignty,_$FROMCOUNTRY$_demands_annexation._Now_we_have_to_choose_between_joining_the_union_or_staying_independent,_even_if_it_might_mean_through_war.;;;;;;;;;;;;;
EVTNAME4206970;$FROMCOUNTRY$ demands territory from us!;;;;;;;;;;;;;
EVTDESC4206970;The_foreign_minister_from_$FROMCOUNTRY$_has_sent_an_ultimatum_to_our_country,_demanding_us_to_give_parts_from_our_land_that_supposedly_"belongs"_to_them._This_is_an_insult_to_our_sovereignty,_but_it_may_also_mean_war_if_we_decline.;;;;;;;;;;;;;
hsa_capital_stuff_title;Select Capital;;;;;;;;;;;;;
hsa_capital_stuff_desc;We need to decide what our new capital will be.;;;;;;;;;;;;;
claim_patria_grande_title;Claim Patria Grande;;;;;;;;;;;;;
claim_patria_grande_desc;The dream of uniting all of the Hispanic-American people's from the former Spanish colonies in America into a single entity has been a concept most people often thought as impossible, but with our current position, we can take the first step. \n\n§BYou need to annex, have in sphere or in a vassal the next cities: Mexico City, Guatemala, San Salvador, Panama City, Bogota, Caracas, Quito, Lima, La Paz, Santiago, Concepcion, Buenos Aires and Montevideo.;;;;;;;;;;;;;
form_patria_grande_title;Form Patria Grande;;;;;;;;;;;;;
form_patria_grande_desc;§RGain 20 infamy§! Now we have all the land of Patria Grande under our control, it's time to celebrate the birth of our new nation! \n\n§BYou need to annex, have in sphere or in a vassal the next cities: Mexico City, Guatemala, San Salvador, Panama City, Bogota, Caracas, Quito, Lima, La Paz, Santiago, Concepcion, Buenos Aires and Montevideo.;;;;;;;;;;;;;
claim_tordesillas_title;Claim Tordesillas;;;;;;;;;;;;;
claim_tordesillas_desc;In 1494 the Iberian powers agreed to split the world in half between themselves, however, our interest is in how this treaty organized the Portuguese claims in South America. The nation of Brazil which gained independence from Portugal went far away from the lines established in the treaty, it's in our right to claim those lands!;;;;;;;;;;;;;
claim_hsa_caribbean_title;Claim the Hispanic Caribbean!;;;;;;;;;;;;;
claim_hsa_caribbean_desc;The islands of Cuba, Puerto Rico and Hispaniola were under Spanish control as colonies, it's our will to integrate these people's with our same language and religion to our nation!;;;;;;;;;;;;;
EVTDESC111025;\n\nBenito_Pablo_Juárez_García_became_president_as_a_result_of_the_Reform_War_after_a_self-inflicted_coup_d'etát_from_Ignacio_Comonfort._He_was_also_the_very_first_indigenous_president,_with_Zapotec_as_his_first_language._He_was_essential_in_keeping_the_Mexican_Republic_alive_in_the_north_during_the_Second_French_Intervention_as_well_as_implementing_several_educational_reforms_and_substracting_power_from_the_church.;;;;;;;;;;;;;
