Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME97084;The Andean War in the Pacific;;;;;;;;;;;;;
EVTDESC97084;\n\nThe_Andine_nations_are_in_a_state_of_war_due_to_a_territorial_dispute._As_an_influential_power_in_the_region,_we_can_choose_to_intervene_or_remain_neutral_in_this_dispute.;;;;;;;;;;;;;
EVT97084OPTA;We shall not interfere.;;;;;;;;;;;;;
EVT97084OPTB;We already picked a side.;;;;;;;;;;;;;
EVTNAME90058;The Schleswig War;;;;;;;;;;;;;
EVTDESC90058;\n\nThe_Danish_are_fighting_the_Germans_in_their_intervention_in_Schleswig._Helping_our_Scandinavian_brothers_will_help_strengthen_the_bound_between_our_countries,_while_failing_to_help_them_might_gravely_hamper_our_efforts_for_an_united_Scandinavia.;;;;;;;;;;;;;
EVT90058OPTA;We will help.;;;;;;;;;;;;;
EVT90058OPTB;We will not get involved.;;;;;;;;;;;;;
EVTNAME199073;Tea Plantations in $PROVINCENAME$;;;;;;;;;;;;;
EVTDESC199073;\n\nWith_his_servant_Wang_walking_five_paces_ahead_to_announce_his_arrival,_Robert_Fortune,_dressed_in_his_mandarin_garb,_entered_the_gates_of_a_green_tea_factory._Wang_began_to_supplicate_frantically._Would_the_master_of_the_factory_allow_an_inspection_from_a_visitor,_an_honored_and_wise_official_who_had_traveled_from_a_far_province_to_see_how_such_glorious_tea_was_made?_In_1848,_the_British_East_India_Company_sent_Robert_Fortune_on_a_trip_to_China's_interior,_an_area_forbidden_to_foreigners._Fortune's_mission_was_to_steal_the_secrets_of_tea_horticulture_and_manufacturing._The_Scotsman_donned_a_disguise_and_headed_into_the_Wu_Si_Shan_hills_in_a_bold_act_of_corporate_espionage._The_results_can_be_seen_today_in_$PROVINCE$,_where_the_first_tea_plantations_are_yielding_their_first_harvest.;;;;;;;;;;;;;
EVTOPTA199073;Tea shouldn't be a monopoly.;;;;;;;;;;;;;
EVTOPTA23401;Yes, it is an excellent opportunity to show our nation's progress. §R(Pay or owe 10,000¤)§W;;;;;;;;;;;;;
EVTOPTA23400;An excellent idea! We accept. §R(Pay or owe 10,000¤)§W;;;;;;;;;;;;;
EVTNAME44157;The Oregon War;;;;;;;;;;;;;
EVTDESC44157;\n\nHostilities_have_broken_out_in_the_Columbia_Region_in_North_America,_nominally_under_the_administration_of_the_Hudson's_Bay_Company,_the_region_will_be_now_be_placed_under_British_military_control.;;;;;;;;;;;;;
EVT6044157OPTA;The Americans will be defeated!;;;;;;;;;;;;;
EVTNAME11002;The $MONARCHTITLE$'s Speech;;;;;;;;;;;;;
EVTDESC11002;\n\nIn_this_grave_hour,_perhaps_the_most_fateful_in_our_history,_I_send_to_every_household_of_my_peoples,_both_at_home_and_overseas,_this_message,_spoken_with_the_same_depth_of_feeling_for_each_one_of_you_as_if_I_were_able_to_cross_your_threshold_and_speak_to_you_myself._It_is_for_a_high_purpose_that_I_now_call_my_people_at_home,_and_my_peoples_across_the_seas,_who_will_make_our_cause_their_own._I_ask_them_to_stand_calm_and_firm_and_united_in_this_time_of_trial.\nThe_$COUNTRY_ADJ$_$MONARCHTITLE$_delivered_an_impassionate_speech_today_in_$CAPITAL$,_just_the_start_of_a_campaign_to_gather_support_among_the_population_and_the_government_for_their_goal_of...;;;;;;;;;;;;;
EVTOPTA11002;...drum up support for war.;;;;;;;;;;;;;
EVTOPTB11002;...boosting the government's popularity.;;;;;;;;;;;;;
EVTNAME11001;The Dissolution of the $COUNTRY_ADJ$ Upper House;;;;;;;;;;;;;
EVTDESC11001;\n\nMinisters_and_bureaucrats_arrived_in_$CAPITAL$_today_to_find_a_royal_decree_at_the_government's_doors:_the_$COUNTRY_ADJ$_monarch_has_dissolved_the_$COUNTRY_ADJ$_Upper_House,_effective_immediately,_and_a_new_one_is_to_be_handpicked_by_the_monarch._The_news_sent_shockwaves_through_the_$COUNTRY_ADJ$_nobility_-_used_to_the_occasional_replacements,_but_not_to_such_an_earthshattering_and_drastic_extent._Dissatisfaction_is_rampant,_with_many_speculating_(behind_closed_doors)_that_the_monarch_is_setting_up_minor_nobles,_mostly_sycophants_and_toadies,_to_execute_the_whims_of_the_crown._A_few_of_the_old_servants_of_the_crown_in_the_nobility_kept_their_positions_in_order_to_train_and_guide_the_newcomers,_but_there's_already_evidence_of_lasting_disruption_in_the_state's_affairs._The_new_upper_house_is_set_to_have_a_majority_of...;;;;;;;;;;;;;
EVTOPTA11001;...liberal nobles.;;;;;;;;;;;;;
EVTOPTB11001;...reactionary aristocrats.;;;;;;;;;;;;;
EVTOPTC11001;...socialist-minded nobles.;;;;;;;;;;;;;
EVTNAME169002;Forceful Revocation of Directive No 1;;;;;;;;;;;;;
EVTDESC169002;\n\nSweeping_changes_took_place_in_$CAPITAL$_that_led_to_the_forceful_revocation_of_Directive_No_1.;;;;;;;;;;;;;
EVT169002OPTA;New beginnings for the $COUNTRY_ADJ$ people.;;;;;;;;;;;;;
EVTNAME169001;Hundreds of Thousands Killed in $COUNTRY_ADJ$-led Massacre;;;;;;;;;;;;;
EVTDESC169001;\n\nDuring_my_few_days_of_service_in_this_government_I've_learned_of_a_few_secrets_and_have_come_across_something_interesting._The_deportation_order_was_issued_through_official_channels_by_the_minister_of_the_interior_and_sent_to_the_provinces._Following_this_order_the_Central_Committee_circulated_its_own_ominous_order_to_all_parties_to_allow_the_gangs_to_carry_out_their_wretched_task._Thus_the_gangs_were_in_the_field,_ready_for_their_atrocious_slaughter..._The_'mission'_in_the_circular_was:_to_attack_the_convoys_and_massacre_the_population..._I_am_ashamed_as_a_$COUNTRY_ADJ$._What_a_stain_on_the_reputation_of_$COUNTRY$,_these_criminal_people...\nThe_first-hand_report_of_a_$COUNTRY_ADJ$_defector_made_the_newspapers_headlines_of_one_of_the_Great_Powers._Soon,_more_evidence_started_to_appear:_in_$CAPITAL$,_senior_government_officials_scramble_to_contain_the_damage_of_the_damning_report.;;;;;;;;;;;;;
EVT169001OPTA;This does not improve our image.;;;;;;;;;;;;;
EVTNAME169000;Mass Graves Found in $STATENAME$;;;;;;;;;;;;;
EVTDESC169000;\n\nMass_graves_where_found_in_$PROVINCENAME$,_the_bloody_result_of_a_$COUNTRY_ADJ$_purge_against_its_perceived_enemies._Throughout_the_whole_of_$STATENAME$,_the_situation_is_the_same._In_$CAPITAL$,_$COUNTRY_ADJ$_authorities_are_denying_any_knowledge_of_this_while_they_try_to_suppress_this_information_leaking_outside_of_$COUNTRY$._They_say_it_would_damage_the_$COUNTRY_ADJ$_reputation_and_is_best_to_deal_with_these_matters_internally._An_ongoing_government_investigation_has_failed_to_find_any_culprits.;;;;;;;;;;;;;
EVT169000OPTA;Who could be responsible for such an abomination?;;;;;;;;;;;;;
constitutional_crisis;Constitutional Crisis;;;;;;;;;;;;;
constitutional_crisis_desc;Constitutional rules were broken, leaving both Houses and the government in a bad position.;;;;;;;;;;;;;
EVTNAME6016818;Constitutional Crisis;;;;;;;;;;;;;
EVTDESC6016818;\n\nCountless_have_quietly,_orderly,_soberly,_peaceably_but_firmly_asked_of_their_rulers_to_do_justice:_and_their_rulers_have_turned_a_deaf_ear_to_that_protest._Countless_asked_permission_to_detail_their_wrongs,_and_enforce_their_claims_for_RIGHT,_and_the_'House'_has_resolved_they_should_not_be_heard!_Countless_of_the_slave-class_have_held_out_the_olive_branch_of_peace_and_sought_the_principle_of_EQUALITY_BEFORE_THE_LAW_-_and_the_privileged_have_refused_to_enter_into_a_treaty!_The_same_class_is_to_be_a_slave_class_still._The_assumption_of_inferiority_is_still_to_be_maintained._The_people_are_not_to_be_free.\nWhen_the_$COUNTRY_ADJ$_monarch_promised_the_people_the_right_to_vote,_they_were_expecting_their_voices_to_be_heard_-_instead,_the_monarch_overruled_the_election_results._In_$CAPITAL$,_a_crowd_clamors_for_their_rights_to_be_respected._This_blatant_disregard_of_the_$COUNTRY_ADJ$_constitution_is_spreading_unrest,_locking_the_government_and_damaging_our_international_reputation.;;;;;;;;;;;;;
EVT6016818OPTA;Ignore the rabble-rousers.;;;;;;;;;;;;;
EVTNAME33045;The $FROMCOUNTRY_ADJ$ Waning Influence;;;;;;;;;;;;;
EVTDESC33045;\n\n$FROMCOUNTRY$_is_removing_their_diplomats_from_$CAPITAL$_and_scaling_down_their_diplomatic_operations_in_$COUNTRY$._The_reason_seems_to_be_the_nascent_North_German_Federation_and_the_$FROMCOUNTRY_ADJ$_desire_to_maintain_good_relations_with_them._It_seems_like_the_future_of_Germany_lies_at_the_hands_of_the_North_German_Federation.;;;;;;;;;;;;;
EVT33045OPTA;What does the future hold?;;;;;;;;;;;;;
EVTNAME33044;The Peace of $CAPITAL$;;;;;;;;;;;;;
EVTDESC33044;\n\nIt_seems_the_creation_of_a_Northern-led_German_state_is_inevitable._With_the_formation_of_the_North_German_Federation,_out_position_as_the_main_power_in_Germany_is_quickly_waning._We_can_accept_this_change_and_try_to_work_together_with_the_North_German_Federation,_or_we_can_try_and_resist_this_change.;;;;;;;;;;;;;
EVT33044OPTA;It's time we look eastwards and to the Balkans.;;;;;;;;;;;;;
EVT33044OPTB;Never! Germany should be under $COUNTRY_ADJ$ rule.;;;;;;;;;;;;;
EVTNAME85032;Korean Monarchy Flees to Pyongyang;;;;;;;;;;;;;
EVTDESC85032;\n\nOur_forces_raided_Seoul_but_the_Joseon_monarchs_where_nowhere_to_be_found._They_fled_north_to_Pyongyang_and_vowed_to_fight_the_$COUNTRY_ADJ$_forces_to_the_end.;;;;;;;;;;;;;
EVT85032OPTA;Crush the Joseon!;;;;;;;;;;;;;
EVTNAME96124;Kuwait Becomes a $FROMCOUNTRY_ADJ$ Protectorate;;;;;;;;;;;;;
EVTDESC96124;\n\nThough_Kuwait_enjoyed_a_de_facto_independence_since_its_birth_early_in_the_18th_century,_its_chiefs_acknowledged_at_different_periods_the_nominal_suzerainty_of_the_Ottomans_or_the_Wahhabi_Imams_of_Riyadh._A_few_years_ago,_Mohammed_bin_Sabah_succeeded_to_the_chieftainship_of_the_principality._The_new_ruler_was_an_incompetent_person_and_consequently_affairs_of_the_state_gradually_drifted_into_the_hands_of_his_shrewd_brother-in-law,_one_Yusuf_bin_Abdullah_Al-Ibrahim,_which_was_bent_upon_a_policy_of_$COUNTRY_ADJ$izing_the_principality._In_Mohammed's_half-brother,_Mubarak,_the_patriotic_party_in_Kuwait_found_a_leader_of_outstanding_ability_and_far-reaching_ambitions_and_soon_enough_Mubarak_assassinated_the_ruling_chief_and_seized_power_for_himself._Fearing_$COUNTRY_ADJ$_intervention_in_Kuwait,_Mubarak_entered_talks_with_the_$FROMCOUNTRY_ADJ$_Resident_in_the_Gulf_who_seized_this_opportunity_and_convinced_Mubarak_to_become_a_$FROMCOUNTRY_ADJ$_protectorate.;;;;;;;;;;;;;
EVT961224PTA;Perfidious $FROMCOUNTRY_ADJ$!;;;;;;;;;;;;;
EVTNAME96123;Establishing a Protectorate Over Kuwait;;;;;;;;;;;;;
EVTDESC96123;\n\nThough_Kuwait_enjoyed_a_de_facto_independence_since_its_birth_early_in_the_18th_century,_its_chiefs_acknowledged_at_different_periods_the_nominal_suzerainty_of_the_Ottomans_or_the_Wahhabi_Imams_of_Riyadh._A_few_years_ago,_Mohammed_bin_Sabah_succeeded_to_the_chieftainship_of_the_principality._The_new_ruler_was_incompetent_and_consequently_affairs_of_the_state_drifted_into_the_hands_of_his_brother-in-law,_one_Yusuf_bin_Abdullah_Al-Ibrahim,_a_Turcophile_bent_upon_a_policy_of_Ottomanization._In_Mohammed's_half-brother,_Mubarak,_the_patriotic_party_in_Kuwait_found_a_leader_of_outstanding_ability_and_ambitions_and_soon_enough_Mubarak_assassinated_the_ruling_chief_and_seized_power._As_Russian_influence_grows_in_the_Levant_and_possibly_on_Istanbul,_the_Resident_has_started_to_listen_and_build_$COUNTRY_ADJ$_relations_with_Mubarak._Finally,_the_offer_has_come_to_$CAPITAL$:_Mubarak_offers_to_become_a_$COUNTRY_ADJ$_protectorate_in_exchange_for_protection_and_some_autonomy.;;;;;;;;;;;;;
EVT961223PTA;We will offer our generous protection.;;;;;;;;;;;;;
EVT96123OPTB;We don't want to get involved.;;;;;;;;;;;;;
EVTNAME96122;Encroaching Foreign Influence;;;;;;;;;;;;;
EVTDESC96122;\n\nThe_governor_of_Baghdad_pitched_his_government_the_idea_of_closely_integrating_Kuwait_in_the_central_government,_which_would_spell_the_end_of_a_free_Kuwait._While_we_don't_know_how_their_reaction_will_be,_nor_if_such_an_integration_would_be_diplomatic_or_by_force,_senior_figures_in_$CAPITAL$_proposed_that_we_don't_wait_any_longer_and_approach_the_masters_of_India_-_their_country_is_much_richer_than_Baghdad_and_we_are_sure_to_prosper_under_them._If_it_is_to_lose_our_sovereignty,_a_distant_master_would_allow_us_more_liberty_than_a_close_one.;;;;;;;;;;;;;
EVT96122OPTA;Send an envoy to the Great Power.§R(Game Over for player)§W;;;;;;;;;;;;;
EVT96122OPTB;We don't need anyone.;;;;;;;;;;;;;
EVTNAME37244;$FROMCOUNTRY_ADJ$ Ultimatum Over Savoy;;;;;;;;;;;;;
EVTDESC37244;\n\nSavoy,_Savoie_or_Savoia_is_a_region_that_historically_straddled_the_frontiers_between_France_and_Italy._Despite_being_under_$COUNTRY_ADJ$_rule_for_centuries,_$FROMCOUNTRY$_claims_that_tens_of_thousands_of_$FROMCOUNTRY_ADJ$_citizens_are_living_in_Savoy_and_have_no_voice_in_$CAPITAL$._They_argue_that_the_region_would_have_fairer_rulers_under_$FROMCOUNTRY_ADJ$_administration_and_demand_that_we_hand_over_control_to_them.;;;;;;;;;;;;;
EVT37244OPTA;Savoy is an integral part of $COUNTRY$.;;;;;;;;;;;;;
EVT37244OPTB;We don't want to strain our relations with the $FROMCOUNTRY_ADJ$.;;;;;;;;;;;;;
EVT44330OPTD;No, and don't ask me again.;;;;;;;;;;;;;
EVTOPTA30000;An excellent idea! We accept. §R(Pay or owe 10,000¤)§W;;;;;;;;;;;;;
EVTNAME91170;The Embassy is a Success!;;;;;;;;;;;;;
EVTDESC91170;\n\nThe_delegation_we_sent_to_Europe_was_warmly_welcomed_and_treated_to_an_exclusive_showcase_at_the_International_Exhibition_in_London._European_locals_showed_keen_interest_in_our_nation's_culture_and_society,_and_government_officials_accepted_our_offers_of_friendly_diplomatic_relations._Even_though_it_seems_clear_that_Europeans_view_the_Japanese_race_as_inferior_on_account_of_not_being_Western,_they_are_flattered_by_our_attempts_at_adopting_elements_of_their_culture,_warfare,_and_government_structure._Hopefully_with_due_time_we_can_prove_to_them_we_are_their_equal.;;;;;;;;;;;;;
EVT91170OPTA;Fabulous!;;;;;;;;;;;;;
EVTNAME91171;The Embassy Fails, Japanese Delegation Shunned;;;;;;;;;;;;;
EVTDESC91171;\n\nDespite_being_treated_to_an_exclusive_showcase_at_the_International_Exhibition_in_London,_Europe_did_not_give_us_a_warm_welcome._Viewing_us_as_an_exotic_people_from_a_backwater_nation,_they_treated_our_attempt_at_diplomacy_with_skepticism--and_they_laughed_at_our_proposal_to_postpone_our_trade_ports'_opening._It_seems_no_non-Western_nation_can_hope_to_win_the_European's_respect,_as_it_is_the_Europeans_who_are_supposedly_the_masters_of_culture_and_warfare,_destined_to_rule_the_world._We_must_prove_them_wrong.;;;;;;;;;;;;;
EVT91171OPTA;This is an outrage!;;;;;;;;;;;;;
EVTNAME91172;The Embassy is a Success!;;;;;;;;;;;;;
EVTDESC91172;\n\nDespite_overwhelming_odds,_our_diplomatic_effort_to_make_Europe_respect_our_wish_to_remain_isolated_succeeded._They_have_realized_our_people_are_only_so_willing_to_welcome_foreigners_after_centuries_of_undisturbed_isolation._If_they_chose_to_take_drastic_measures_to_enforce_open_trade,_such_as_military_action,_it_would_end_badly._This_is_unprecedented:_a_non-Western_power_negotiating_its_isolation_from_Western_encroachment,_without_bloodshed._As_a_plus,_we_have_also_used_our_time_abroad_to_learn_more_about_the_outside_world,_furthering_our_ability_to_modernize_quickly.;;;;;;;;;;;;;
EVT91172OPTA;An absolute miracle!;;;;;;;;;;;;;
EVTNAME91173;The Embassy Misses its Mark;;;;;;;;;;;;;
EVTDESC91173;\n\nOur_second_embassy_to_Europe_yielded_bittersweet_results._We_were_able_to_improve_relations_with_the_West,_but_at_their_insistence_the_forced_opening_of_our_ports_remains_inevitable._With_this_said,_our_continued_interest_in_adopting_the_virtues_of_Western_civilization_flattered_our_diplomatic_hosts._We_therefore_cannot_say_this_effort_was_a_complete_failure.;;;;;;;;;;;;;
EVT91173OPTA;You win some, you lose some.;;;;;;;;;;;;;
EVTNAME91174;The Embassy to America Succeeds!;;;;;;;;;;;;;
