Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME96000;War is Upon Us;La Guerre c'est Ici;Der Krieg Kommt;;;;;;;;;;;
EVTDESC96000;\n\n$COUNTRY$_is_in_a_state_of_total_war_with_one_of_the_Great_Powers_of_the_world._In_a_modern_age_where_warfare_has_the_capability_of_killing_millions,_the_very_future_of_our_nation_could_be_at_stake._The_call_has_gone_out_to_the_$COUNTRY_ADJ$_people:_put_aside_your_petty_differences,"_your_day-to-day_lives_and_your_personal_ambitions._$COUNTRY$_must_pull_together_in_this,_our_hour_of_need!;;;;;;;;;;;;x",,;
EVTOPTA96000;We shall be victorious!;Nous serons victorieux!;Wir sind siegreich!;;;;;;;;;;;
EVTNAME96010;The Treaty of $CAPITAL$;Le Traité de $CAPITAL$;Der Vertrag von $CAPITAL$;;;;;;;;;;;
EVTDESC96010;\n\nWe_have_lost_the_war,_and_like_vultures_the_victors_have_descended_upon_us._We_have_been_forced_to_the_bargaining_table_to_accept_humiliating_terms_regarding_the_breakup_of_our_empire,_with_many_of_our_lands_simply_given_away,_and_we_shall_be_permitted_no_overseas_holdings_whatsoever._This_is_a_moment_that_shall_be_remembered_in_$COUNTRY$_for_years_to_come.;;;;;;;;;;;;;
EVTNAME96004;The Demands of War;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;
EVTDESC96004;\n\nThe_constant_state_of_war_$COUNTRY$_is_under_has_taken_its_toll_on_our_people._Shortages_of_basic_goods_and_the_failure_to_deliver_swift_victory_have_worn_down_the_enthusiasm_with_which_the_$COUNTRY_ADJ$_people_initially_greeted_the_war_effort._If_things_don't_turn_around_soon,_we_could_face_growing_weariness_and_unrest_within_our_own_borders.;;;;;;;;;;;;;
EVTOPTA96004;We will win this war!;Nous gagnerons la guerre!;Wir gewinnen den Krieg!;;;;;;;;;;;
EVTNAME96005;Is It All For Nothing?;Est-il Tout Pour Rien?;Ist Alles Für Nichts?;;;;;;;;;;;
EVTDESC96005;\n\nGrowing_demonstrations_in_$CAPITAL$_demonstrate_the_prevailing_attitude_of_the_$COUNTRY_ADJ$_people:_get_us_out_of_the_war,_and_soon._Too_many_have_been_lost,_too_many_sacrifices_made,_and_all_for_what?_The_people_wish_to_go_back_to_their_regular_lives,_without_the_constant_specter_of_war_hanging_over_their_heads.;;;;;;;;;;;;;
EVTOPTA96005;Do not lose hope!;Ne perdez pas l'espoir!;Verlieren Sie nicht Hoffnung!;;;;;;;;;;;
EVTNAME96006;Total Collapse;Effondrement Total;Gesamteinsturz;;;;;;;;;;;
EVTDESC96006;\n\nThe_war_effort_is_not_going_well,_to_put_it_lightly._Advisors_are_saying_that_$COUNTRY$_should_sue_for_peace,_do_whatever_it_takes_to_end_this_war_before_something_even_more_terrible_happens._The_people_are_on_the_brink_of_revolt._We_must_act!;;;;;;;;;;;;;
EVTOPTA96006;Disaster!;Désastre!;Unfall!;;;;;;;;;;;
EVTOPTA96010;We welcome peace;La paix est bienvenue;Frieden ist willkommen;;;;;;;;;;;
EVTNAME96013;The Breakup of $FROMCOUNTRY$;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;
EVTDESC96013;\n\n$FROMCOUNTRY$_has_been_forced_to_concede_defeat_in_its_war,_and_we_have_been_invited_to_the_negotiating_table_to_discuss_the_potential_breakup_of_their_empire._This_could_potentially_mean_we_see_$COUNTRY_ADJ$_lands_returned_to_us,_though_if_we_forego_our_claims_it_could_mean_salvaging_a_relationship_with_$FROMCOUNTRY$.;;;;;;;;;;;;;
EVTOPTA96013;We will attend the talks;Nous joindrons les entretiens;Wir gehen zu den Gesprächen;;;;;;;;;;;
EVTOPTB96013;We will not attend;Nous n'irons pas;Wir gehen nicht;;;;;;;;;;;
EVTNAME96014;The Breakup of $FROMCOUNTRY$;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;
EVTDESC96014;\n\n$FROMCOUNTRY$_has_been_forced_to_concede_defeat_in_its_war,_and_now_treaty_talks_have_begun_to_discuss_the_breakup_of_their_empire._As_an_enemy_of_$FROMCOUNTRY$,_our_place_at_the_table_is_assured._At_the_very_least,_any_$COUNTRY_ADJ$_lands_currently_in_$FROMCOUNTRY_ADJ$_possession_should_be_returned.;;;;;;;;;;;;;
EVTOPTA96014;We simply wish our lands back;Nous voulons nos terres;Wir wünschen unsere Länder;;;;;;;;;;;
EVTNAME96015;$COUNTRY_ADJ$ Freedom;Liberté $COUNTRY_ADJ$;$COUNTRY_ADJ$ Freiheit;;;;;;;;;;;
EVTDESC96015;\n\nThe_defeat_of_$FROMCOUNTRY$_in_their_war_has_forced_them_to_the_negotiating_table,_and_one_of_the_terms_for_the_breakup_of_their_empire_is_our_release_from_their_direct_rule._This_would_mean_casting_out_$FROMCOUNTRY_ADJ$_officials_and_potentially_turning_them_into_an_enemy._We_could_maintain_our_close_ties_with_$FROMCOUNTRY$_even_with_our_freedom,_though_this_would_mean_passing_up_a_chance_for_freedom_and_goodwill_from_$FROMCOUNTRY$'s_enemies.;;;;;;;;;;;;;
EVTOPTA96015;$COUNTRY$ shall be free;$COUNTRY$ sera libre;$COUNTRY$ ist frei;;;;;;;;;;;
EVTOPTB96015;$FROMCOUNTRY$ is our ally;$FROMCOUNTRY$ est notre allié;$FROMCOUNTRY$ ist unser Verbündetes;;;;;;;;;;;
EVTNAME96016;The $FROMCOUNTRY_ADJ$ Colonies;Les Colonies $FROMCOUNTRY_ADJ$;Das $FROMCOUNTRY_ADJ$ Kolonien;;;;;;;;;;;
EVTDESC96016;\n\nOne_of_the_matters_discussed_at_the_treaty_talks_is_what_to_do_with_$FROMCOUNTRY$'s_colonial_holdings._They_should_not_be_allowed_to_keep_these_lands,_but_determinining_how_they_should_be_disposed_of_is_no_simple_matter._For_now,_agreement_has_been_reached_determining_some_of_the_territory,_and_any_remaining_will_have_to_be_negotiated_over_in_the_coming_year.;;;;;;;;;;;;;
EVTOPTA96016;We will take what we can. §RGain 2 infamy§W;Nous voulons autant que possible;Wir wünschen so viel wie möglich;;;;;;;;;;;
EVTOPTB96016;Our only interest is limiting $FROMCOUNTRY_ADJ$ power. §RGain 1 infamy§W;Nous voulons seulement;Wir wünschen nur wenig;;;;;;;;;;;
EVTOPTC96016;We have no interest in their colonies. §GLose 2 infamy§W;Nous ne voulons pas les colonies;Wir wünschen nicht die Kolonien;;;;;;;;;;;
