Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME203771_NEWS_TITLE;Loss of Liberty!;;;;;;;;;;;;;
EVTDESC203771_NEWS_LONG;European_terrorist_organizations_have_taken_it_upon_themselves_to_destroy_the_symbol_of_American_Liberty_and_have_succeeded,_today_the_statue_of_Liberty_lies_fallen_and_the_world_weeps.;;;;;;;;;;;;;
EVTDESC203771_NEWS_MEDIUM;The_Statue_of_Liberty_has_been_destroyed_by_terrorists,_leaving_the_whole_world_shocked_and_in_fear.;;;;;;;;;;;;;
EVTDESC203771_NEWS_SHORT;The_Statue_of_Liberty_has_been_destroyed_by_terrorists,_leaving_the_whole_world_shocked_and_in_fear.;;;;;;;;;;;;;
EVTDESC20002_NEWS_LONG;Thousands_of_people_flooded_into_$CAPITAL$'s_central_square,_demanding_an_end_to_the_$COUNTRY_ADJ$_dictatorship_with_a_democratic_constitution_and_universal_suffrage._The_$COUNTRY_ADJ$_army_stood_by,_waiting_for_the_orders_to_attack_the_crowds,_but_some_in_$COUNTRY$_are_considering_whether_it_might_be_better_to_accede_to_the_public's_demands.;;;;;;;;;;;;;
EVTDESC20002_NEWS_MEDIUM;Thousands_of_people_flooded_into_$CAPITAL$'s_central_square,_demanding_an_end_to_the_$COUNTRY_ADJ$_dictatorship_with_a_democratic_constitution_and_universal_suffrage.;;;;;;;;;;;;;
EVTDESC20002_NEWS_SHORT;Thousands_of_people_flooded_into_$CAPITAL$'s_central_square,_demanding_an_end_to_the_$COUNTRY_ADJ$_dictatorship_with_a_democratic_constitution_and_universal_suffrage.;;;;;;;;;;;;;
EVTNAME20006_NEWS_TITLE;$COUNTRY_ADJ$ Dictator Assassinated!;;;;;;;;;;;;;
EVTDESC20006_NEWS_LONG;Today_is_a_grim_day_for_$COUNTRY$._The_$COUNTRY_ADJ$_president_has_been_shot_dead_in_$CAPITAL$,_the_victim_of_an_ambush_plotted_by_radical_liberals._The_country_has_been_thrown_into_mourning,_though_even_now_there_is_word_that_factions_are_maneuvering_to_either_find_a_successor_to_take_the_president's_place_-_or_overthrow_the_$COUNTRY_ADJ$_dictatorship_once_and_for_all.;;;;;;;;;;;;;
EVTDESC20006_NEWS_MEDIUM;Today_is_a_grim_day_for_$COUNTRY$._The_$COUNTRY_ADJ$_president_has_been_shot_dead_in_$CAPITAL$,_the_victim_of_an_ambush_plotted_by_radicals._The_country_has_been_thrown_into_mourning,_though_even_now_factions_are_maneuvering_to_find_a_successor_to_take_the_president's_place.;;;;;;;;;;;;;
EVTDESC20006_NEWS_SHORT;The_$COUNTRY_ADJ$_president_has_been_shot_dead_in_$CAPITAL$,_the_victim_of_an_ambush_plotted_by_radicals._Even_now_factions_are_maneuvering_to_find_a_successor_to_take_the_president's_place.;;;;;;;;;;;;;
EVTNAME97205_NEWS_TITLE;Kiel Canal' Now Under $COUNTRY_ADJ$ Control;;;;;;;;;;;;;
EVTDESC97205_NEWS_LONG;The_recent_military_and_administrative_takeover_of_the_province_of_Kiel_by_$COUNTRY$_has_caused_hefty_discussions_among_the_international_trading_companies,_as_this_small_North_German_territory_homes_the_'Kiel_Canal'._Since_its_opening_the_canal_is_already_considered_an_important_sea_traffic_route,_considerably_shortening_the_traffic_distances_between_the_North_and_the_Baltic_Sea._All_major_trading_companies_have_already_applied_to_the_$COUNTRY_ADJ$_Board_of_Trade_for_formal_rights_of_passage_through_the_canal.;;;;;;;;;;;;;
EVTDESC97205_NEWS_MEDIUM;The_recent_takeover_of_the_'Kiel_Canal'_by_$COUNTRY$_has_caused_hefty_discussions_among_the_international_trading_companies._The_canal_is_already_considered_an_important_sea_traffic_route,_considerably_shortening_the_traffic_distances_between_the_North_and_the_Baltic_Sea.;;;;;;;;;;;;;
EVTDESC97205_NEWS_SHORT;The_recent_takeover_of_the_'Kiel_Canal'_by_$COUNTRY$_has_caused_hefty_discussions_among_the_international_trading_companies._The_canal_is_already_considered_an_important_sea_traffic_route.;;;;;;;;;;;;;
EVTNAME97210_NEWS_TITLE;$COUNTRY_ADJ$ Plans For 'Kiel Canal' Revealed;;;;;;;;;;;;;
EVTDESC97210_NEWS_LONG;Local_shipowner_and_businessmen_from_the_province_of_Kiel_presented_to_the_$COUNTRY_ADJ$_government_a_concept_for_construction_of_the_'Kiel_Canal',a_waterway_across_the_Cimbrian_peninsula_to_shorten_the_traffic_distances_between_the_North_and_the_Baltic_Sea._Though_the_finalization_of_this_canal_would_likely_take_some_time_it_would_also_mark_another_historic_point_in_the_industrial_and_commercial_development_of_$COUNTRY$._Neither_the_government_nor_the_businessmen_would_comment_on_an_exact_starting_date_for_the_construction_though.;;;;;;;;;;;;;
EVTDESC97210_NEWS_MEDIUM;Local_shipowner_and_businessmen_from_the_province_of_Kiel_presented_to_the_$COUNTRY_ADJ$_government_a_concept_for_construction_of_the_'Kiel_Canal',a_waterway_across_the_Cimbrian_peninsula_to_shorten_the_traffic_distances_between_the_North_and_the_Baltic_Sea.;;;;;;;;;;;;;
EVTDESC97210_NEWS_SHORT;Businessmen_from_Kiel_presented_to_the_$COUNTRY_ADJ$_government_a_concept_for_construction_of_the_'Kiel_Canal',a_waterway_to_shorten_the_traffic_distances_between_the_North_and_Baltic_Sea.;;;;;;;;;;;;;
EVTNAME97225_NEWS_TITLE;$COUNTRY$ Completes Kiel Canal;;;;;;;;;;;;;
EVTDESC97225_NEWS_LONG;From_the_16th_century_onwards_there_were_repeated_plans_to_dig_a_waterway_across_the_Cimbrian_peninsula,_to_shorten_the_traffic_distances_between_the_major_harbors_in_the_North_and_the_Baltic_Sea._With_the_'Kiel_Canal'_finally_complete_and_the_Hamburg-American_freighter,_Palatia,_being_the_first_ship_to_pass_through_the_construction_of_this_canal_has_greatly_increased_the_international_prestige_of_$COUNTRY$._The_$COUNTRY_ADJ$_Board_of_Trade_has_not_commented_on_possible_annual_revenues_so_far_but_is_expected_to_do_so_in_the_near_future.;;;;;;;;;;;;;
EVTDESC97225_NEWS_MEDIUM;With_the_'Kiel_Canal'_finally_complete,_the_construction_of_this_waterway_to_shorten_the_traffic_distances_between_the_North_and_the_Baltic_Sea_has_greatly_increased_the_international_prestige_of_$COUNTRY$._The_National_Board_of_Trade_has_not_commented_on_annual_revenues_so_far.;;;;;;;;;;;;;
EVTDESC97225_NEWS_SHORT;With_the_'Kiel_Canal'_complete,_its_construction_to_shorten_the_traffic_distances_between_the_North_and_Baltic_Sea_has_greatly_increased_the_international_prestige_of_$COUNTRY$.;;;;;;;;;;;;;
EVTNAME97255_NEWS_TITLE;Suez Canal Under $COUNTRY_ADJ$ Control;;;;;;;;;;;;;
