Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC90005;\n\nAlthough_we_only_want_to_help_$CB_TARGET_NAME$_by_adding_them_to_our_sphere_of_influence_they_have_gotten_very_worked_up_about_it._While_unseemly_to_all_involved,_their_behavior_has_rather_turned_international_opinion_against_forcefully_requesting_they_join_us_in_our_prosperity.;;;;;;;;;;;;;
EVTNAME4661019;The Status Quo;;;;;;;;;;;;;
EVTDESC4661019;The_latest_war_ended_in_status_quo_and_Entre-Rios_is_free._Nothing_stands_in_the_way_of_Buenos_Aires_to_dominate_the_Argentine_Confederation.;;;;;;;;;;;;;
EVTOPT4661019A;Porteno supremacy begins.;;;;;;;;;;;;;
EVTNAME600074;Uruguay Is Defeated;;;;;;;;;;;;;
EVTDESC600074;\n\nPresident_Rosas_triumphed_against_the_vile_Rivera,_being_able_to_restore_his_valuable_Manuel_Oribe_to_the_Uruguyan_presidency._With_both_Rosas_and_Oribe_now_in_Montevideo,_there_is_the_question_if_Oribe's_presidency_will_last—considering_what_happened_last_time._While_Oribe_is_sure_to_hold_significant_influence_on_the_Uruguayan_state_regardless,_maybe_it_would_be_in_our_best_interest_that_the_Uruguayan_democracy_is_undermined,_in_favor_of_having_a_stable_ally_in_Montevideo.;;;;;;;;;;;;;
EVTOPT600074A;Even if Oribe has to step down, he can stay as head of the army.;;;;;;;;;;;;;
EVTOPT600074B;Head of the army isn't enough! Install a dictatorship under Oribe!;;;;;;;;;;;;;
EVTNAME600075;Rosas Is Defeated;;;;;;;;;;;;;
EVTDESC600075;\n\nAfter_a_costly_campaign_Rosas_is_defeated,_having_fled_Argentina_and_effectively_exiled_to_the_United_Kingdom,_together_with_his_wretched_lackey_Oribe,_which_lost_all_claims_to_the_Uruguayan._Rivera_now_sits_in_Buenos_Aires,_being_welcomed_into_the_city_together_with_his_Unitarian_allies_as_a_liberator_to_some_and_an_invading_tyrant_to_others._Despite_having_already_pledged_to_restore_the_Unitarian_government_in_Buenos_Aires,_there_is_a_small_point_of_contention_between_Rivera_and_his_allies,_with_the_Uruguyan_President_considering_annexing_Corrientes,_Entre_Rios_and_Santa_Fé_to_realize_his_dreams_of_an_Uruguyan_Federation_and_having_a_small_compensation_for_restoring_the_Unitarian_government.;;;;;;;;;;;;;
EVTOPT600075A;Just help the unitarians organize Argentina.;;;;;;;;;;;;;
EVTOPT600075B;Proclaim the Uruguayan Federation! §RGain 7.5 infamy§W;;;;;;;;;;;;;
