badboy;Infamy;Infamie;Infamie;;Infamia;;;;;;;;;x;
EVTNAME60150;The end of female suffrage;Fin du suffrage féminin;Das Ende des Frauenwahlrechts;;;;;;;;;x ;
EVTDESC60150;\n\nWith_the_recent_rollback_of_voting_reforms,_the_fairer_sex_is_once_again_denied_the_vote.;Avec_l'annulation_récente_des_réformes_sur_le_droit_de_vote,_la_gent_féminine_est_de_nouveau_privée_de_vote.;Mit_dem_kürzlich_zurückgerollten_politischen_Wahlrecht_ist_es_dem_schönerem_Geschelcht_nicht_mehr_erlaubt_abzustimmen.;;;;;;;;;;x;
EVTOPTA60150;Get back in the kitchen!;Retournez à la cuisine !;Zurück an den Herd!;;;;;;;;;x ;
EVTNAME31102;Flight from Istanbul;Fuir Istamboul;Flucht aus Istanbul;;;;;;;;;x ;
EVTDESC31102;\n\nOur_position_in_Istanbul_is_no_longer_secure._We_should_move_our_government_to_a_safer_place.;Nous_ne_sommes_plus_en_sécurité_à_Istamboul,_nous_devrions_déplacer_notre_gouvernement_en_un_lieu_plus_sûr.;Unsere_Position_in_Istanbul_ist_nicht_mehr_sicher._We_sollten_unsere_Regierung_an_einen_sicheren_Ort_bringen.;;;;;;;;;;x;
EVTOPTA31102;We have been ultimately driven from Europe...;Nous avons finalement été chassés de l'Europe...; Wir wurden endgültig aus Europa vertrieben...;;;;;;;;;x ;
OL_REBEL_OCCUPATIONS;Rebel occupations;Occupations par les rebelles;Rebellenbesetzung;;;;;;;;;;;x
OL_REBEL_OCCUPATIONS_TOOLTIP;Our province of §Y$PROVINCE$§W is being occupied by the rebels!;Notre province de §Y$PROVINCE$§W est occupée par les rebelles !;Unsere Provinz §Y$PROVINCE$§W wird von Rebellen besetzt!;;;;;;;;;;;x
OL_VIEW_REBEL_OCCUPATIONS;Toggles §YRebel Occupations§W view;Active la vue §YOccupations par les rebelles§W;Aktiviert die §YRebellenbesetzungs§W Ansicht;;;;;;;;;;;x
POP_MIL_CHANGE_REBEL;This pop is living in §Y$PROV$§W that is under §RRebels§W control.\nIts militancy change cannot be estimated.;Cette population vit en §Y$PROV$§W, sous contrôle des §RRebels§W rebelles.\nPas d'estimation de la modification du militantisme;Diese Bevölkerungseinheit lebt in §Y$PROV$§W, welches unter der Kontrolle von §RRebellen§W ist.\nDie Militanzänderung kann nicht ermittelt werden.;;;;;;;;;;;x
POP_CON_CHANGE_REBEL;This pop is living in §Y$PROV$§W that is under §RRebels§W control.\nIts consciousness change cannot be estimated.;Cette population vit en §Y$PROV$§W, sous contrôle des §RRebels§W rebelles.\nPas d'estimation de la modification de la conscience nationale;Diese Bevölkerungseinheit lebt in §Y$PROV$§W, welches unter der Kontrolle von §RRebellen§W ist.\nDie Bewusstseinsänderung kann nicht ermittelt werden.;;;;;;;;;;;x
PROJECT_STATE_NAME_DESC;Planning to build in §Y$PROV$§W.;Construction prévue en §Y$PROV$§W.;Bauprojekt in §Y$PROV$§W ist in Plannung.;;;;;;;;;;;x
