Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
CSA_aoc_title;The New Articles of Confederation;;;;;;;;;;;;;
CSA_aoc_desc;§RGain 15 infamy§! While the Confederacy has prospered, the United States has fallen into despair and disarray. There are many that believe we should restore our ties to rest of the nation and remember our Revolutionary heritage from Southerners like George Washington and Thomas Jefferson. It is the Confederacy's responsibility to restore the Founding Father's vision of a Union based on state's rights.;;;;;;;;;;;;;
CSA_columbia_title;Give Columbia to Oregon Country;;;;;;;;;;;;;
CSA_columbia_desc;§GLose 1 infamy§! Transfer control of the Columbia district to Oregon Country.;;;;;;;;;;;;;
NEN_NY_title;Incorporate New York;;;;;;;;;;;;;
NEN_NY_desc;§RGain 5 infamy§! Amid the War of 1812, prominent politicians from across New England gathered in Hartford, Connecticut to express their anger towards an increasingly tyrannical Madison administration and protest its battle with Great Britain. The Hartford Convention was the starting point of the New England Independence Movement, but objections from the New York delegation deterred secessionist sentiments. It is due time to correct the mistakes made by New York in the past.;;;;;;;;;;;;;
NEN_maritimes_conquest_title;Manifest Destiny in the Maritimes;;;;;;;;;;;;;
NEN_maritimes_conquest_desc;§RGain 7 infamy§! As New England continues to grow in power, so too must it grow in size. It is the destiny of New England to extend into Gulf of St. Lawrence. New Brunswick, Prince Edward Island, and Nova Scotia must under our control.;;;;;;;;;;;;;
NEN_maritimes_purchase_title;Purchase the Maritimes;;;;;;;;;;;;;
NEN_maritimes_purchase_desc;While most uncivilized nations would simply claim territory then march off to war, New England has always valued the dignity in business and fair trade. Given our close ties, both culturally and economically, the British may bee willing to sell us their Maritimes Provinces.;;;;;;;;;;;;;
NEN_lawrence_purchase_title;The St. Lawrence Lease;;;;;;;;;;;;;
NEN_lawrence_purchase_desc;Many in Boston agree that the natural borders of New England extend to St. Lawrence River, and it would advantageous to state to attempt to purchase all lands east of the river. Given New England's good ties with the British, we believe they are inclined to accept our offer.;;;;;;;;;;;;;
NEN_lawrence_conquest_title;The Natural Borders of St. Lawrence;;;;;;;;;;;;;
NEN_lawrence_conquest_desc;§RGain 4 infamy§! The St. Lawrence River is important both for defense and for the trade that passes out into the gulf. Over past few years, New England has expanded greatly, and jingoist believe that the annexation of the territory east of the St. Lawrence river will complete the country's natural borders.;;;;;;;;;;;;;
NEN_french_title;The Acadian Acceptance Act;;;;;;;;;;;;;
NEN_french_desc;While New England will always be, as the name implies, and an Anglo nation, we cannot ignore the large French speaking population that live within our borders. Rather than ignoring them, we should incorporate them into the fibers of our society while allowing them some cultural and linguistic privileges.;;;;;;;;;;;;;
ULA_greater_title;Reclaim the Louisiana Territory;;;;;;;;;;;;;
ULA_greater_desc;§RGain 10 infamy§! The Sale of Louisiana in 1803 should be considered null and void as it failed to take into account the wishes of the citizens residing in the land. Louisiana must expand from out of the bayou and reclaim its rightful borders that extends along the great Mississippi River.;;;;;;;;;;;;;
ULA_even_greater_title;Claim the Territories of New France;;;;;;;;;;;;;
ULA_even_greater_desc;§RGain 20 infamy§! The 1713 Treaty of Utrecht and the 1763 Treaty of Paris reduced the once mighty colony of New France, dividing its vast lands among the British, Spanish, Indians, and Americans. As the successors of New France and protectors of the Francophone people of the Americas, it is our duty to reclaim our lost lands and liberate our people from foreign rule!;;;;;;;;;;;;;
ULA_buyout_title;The Second Louisiana Purchase;;;;;;;;;;;;;
ULA_buyout_desc;The United States would never have originally agreed to sell back our rightful territory in the Mississippi Basin, but now that their Western frontier has collapsed, and we firmly hold onto the Louisiana Territory, we can bring the United States the negotiating table. We will of course offer them a fair price for their troubles.;;;;;;;;;;;;;
CSA_ULA_friendship_title;The Treaty of St. Louis;;;;;;;;;;;;;
CSA_ULA_friendship_desc;If there is any other nation that understands Louisiana's struggle for state's rights, it's the South. Against all odds, the Southern States won their independence from the Union and the people of Louisiana have warmly welcomed them into the world of nationhood. We should attempt to sign a treaty of friendship with the Confederacy and settle any border disputes we might have.;;;;;;;;;;;;;
ULA_Dixie_title;Our Southern Brethren;;;;;;;;;;;;;
ULA_Dixie_desc;Louisiana has a unique cultural identity that shines brightly in the New World. With that being said, the Cadien people are a minority in their own land. Our territory is scattered with American settlers, left overs of Thomas Jefferson's purchase. The majority of which are not happy about French rule. For Louisiana to survive, some of English population may need to be integrated. The so-called Dixie population are good candidate as they sympathize with Louisiana's struggle for independence and are no friends of the United States.;;;;;;;;;;;;;
ULA_HAI_title;Annex Haiti;;;;;;;;;;;;;
ULA_HAI_desc;§RGain 8 infamy§! As Louisiana continues to grow in power, $CAPITAL$ has begun to eye other territories that should be brought under our domain. The French speaking lands of Haiti would be a valuable and natural addition to Louisiana.;;;;;;;;;;;;;
ULA_afro_title;Integrate the Afro Français Population;;;;;;;;;;;;;
ULA_afro_desc;Several reformers in the Louisianan government have suggested extended some political rights to the native population of Haiti. Louisiana is surrounded by Anglos on all sides, so it would not hurt to grow its French speaking population.;;;;;;;;;;;;;
EVTDESC5985065;\n\nAfter_years_of_strife_and_civil_wars,_the_Confederacy_has_tamed_the_flames_of_disorder_that_have_torn_through_territory_of_the_former_United_States._Looking_the_past_for_inspiration,_the_Confederate_States_have_revived_the_once_discarded_Article_of_Confederation,_decentralized_predecessor_to_Constitution._This_New_Articles_of_Confederation_will_reorganize_the_former_United_States_into_autonomous_regional_unions_that_will_respect_the_rights_of_states._To_symbolize_the_South_accepting_the_lineage_of_the_founding_fathers,_the_Confederacy_has_reallocated_the_capital_to_the_recently_renamed_city_of_Washington-Davis.;;;;;;;;;;;;;
EVTDESC8297686;\n\nNew_England_has_approached_us_asking_to_purchase_the_Maritimes_territories._Even_our_close_relationship_with_the_people_of_New_England,_the_selling_of_the_Maritimes_could_further_bolster_our_influence_in_the_region_while_also_providing_a_good_sum_of_cash.;;;;;;;;;;;;;
EVTDESC1314529;\n\nThe_British_have_agreed_to_sell_us_the_Maritimes._Alongside_the_exchange_of_considerable_amount_of_money,_the_British_are_transferring_to_us_administration_of_the_region_on_the_condition_that_we_respect_the_rights_of_Canadians_currently_residing_in_the_territory._Truly_this_has_been_a_good_day_for_business_in_Boston.;;;;;;;;;;;;;
EVTDESC6165914;\n\nThe_British_have_refused_to_sell_us_the_Maritimes._It_seems_money_cannot_get_New_England_everything._What_a_disastrous_day_for_business_in_Boston.;;;;;;;;;;;;;
EVTDESC9510843;\n\nAfter_the_successful_purchase_of_the_Maritimes,_New_England_is_once_again_attempting_to_purchase_new_land._Boston_hopes_to_incorporate_all_lands_east_of_the_St._Lawrence_River._Considering_the_large_French_speaking_population_that_resides_in_these_areas,_it_certainly_would_be_a_burden_off_our_shoulders_for_them_to_be_a_nuisance_to_someone_else.;;;;;;;;;;;;;
