Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
Flavors Mod Events;;;;;;;;;;;;;;
EVTNAME99900;The Singapore Free Port;;;;;;;;;;;;;
EVTDESC99900;\n\nThe_Free_Port_of_Singapore._Due_to_its_strategic_position_in_the_Straits_of_Johore,_Singapore_grew_to_become_one_of_the_most_important_ports_in_the_world._In_1834,_the_British_government_ended_the_East_India_Company's_monopoly_on_the_China_trade,_allowing_other_British_companies_to_enter_the_market_and_leading_to_a_surge_in_shipping,_as_a_result_Singapore_became_an_important_coaling_station_for_steam_shipping_networks_that_were_beginning_to_form_in_the_1840s.;;;;;;;;;;;;;
EVTNAME99901;Chinese Migration to Singapore;;;;;;;;;;;;;
EVTDESC99901;\n\nPoverty_in_China_due_to_the_Opium_Wars_sparked_many_Chinese_to_seek_better_lives_in_Singapore,_"These_Chinese_coolies_formed_the_early_backbone_of_Singapore's_labor_force,_engaged_mainly_in_hard_physical_labor._Their_cheap_labor_in_Singapore's_mines,_ports,_construction_sites,_plantations_and_jungles_contributed_greatly_to_the_island's_growth._The_word_“coolie”_is_believed_to_have_come_from_the_Hindi_term_kuli,_which_is_also_the_name_of_a_native_tribe_of_Gujerat_in_western_India.;;;;;;;;;;;;;
EVTNAME99902;The Free Immigrants of Australia;;;;;;;;;;;;;
EVTDESC99902;\n\nBetween_1793_and_1850_nearly_200,000_free_settlers_and_assisted_immigrants_chose_to_migrate_to_Australia_to_start_a_new_life._The_majority_were_English_agricultural_workers_or_domestic_servants_who_outnumbered_the_Irish_and_Scottish_migrants.;;;;;;;;;;;;;
EVTDESC99904\n\n;The_Australian_colony_has_entered_an_era_of_extreme_prosperity._Due_to_the_recent_discovery_of_gold,_a_massive_influx_of_population_growth_and_capital_has_begun._Boomtowns_are_springing_up_left_and_right,_wherever_gold_is_to_be_found,_while_the_coastal_cities_are_experiencing_a_similarly_dramatic_surge_in_population_and_economic_activity._Our_previously_sleepy_and_remote_colony_has_turned_over_a_new_leaf_and_is_already_almost_unrecognizable._Things_are_looking_up,_and_the_boom_has_only_just_begun.;;;;;;;;;;;;;
EVTOPT99902;Men for the Colonies!;;;;;;;;;;;;;
EVTNAME99906;The German New Guinea Company;;;;;;;;;;;;;
