Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME190451;Accusations of Fraud;;;;;;;;;;;;;
EVTDESC190451;\n\nSome_of_the_jewelry_our_excavators_have_discovered_have_been_found_to_be_of_questionable_validity...;;;;;;;;;;;;;
EVTOPTA190451;Blast!;;;;;;;;;;;;;
EVTOPTA190461;Overwhelming...!;;;;;;;;;;;;;
EVTNAME1904012;Minoan Excavations;;;;;;;;;;;;;
EVTDESC1904012;\n\n$FROMCOUNTRY$_has_come_to_us_asking_for_our_permission_to_launch_an_expedition_to_excavate_ancient_Cretan_ruins.\n\nWhat_action_shall_we_take?;;;;;;;;;;;;;
EVTOPTA1904012;Grant the $FROMCOUNTRY_ADJ$ a excavation permit;;;;;;;;;;;;;
EVTOPTB1904012;Never!;;;;;;;;;;;;;
EVTNAME1904112;$FROMCOUNTRY$ Grants Excavation Permit;;;;;;;;;;;;;
EVTDESC1904112;\n\nThe_government_of_$FROMCOUNTRY$_has_granted_us_the_exclusive_right_to_excavate_and_investigate_ancient_ruins_in_Knossos._The_potential_discoveries_there_will_prove_an_enormous_opportunity_for_us_to_increase_our_scientific_renown_in_the_world.;;;;;;;;;;;;;
EVTNAME1904212;$FROMCOUNTRY$ Refuses Excavation Permit;;;;;;;;;;;;;
EVTDESC1904212;\n\nThe_government_of_$FROMCOUNTRY$_has_refused_to_allow_us_excavation_rights_in_Knossos._Our_international_prestige_has_been_lowered_as_a_result,_and_relations_with_$FROMCOUNTRY$_have_soured.;;;;;;;;;;;;;
EVTNAME1904312;Legal Issues;;;;;;;;;;;;;
EVTDESC1904312;\n\nOur_excavation_team_has_been_involved_in_some_unfortunate_legal_allegations_in_Crete...;;;;;;;;;;;;;
EVTOPTA1904312;A little money may help?;;;;;;;;;;;;;
EVTOPTB1904312;Bring them home;;;;;;;;;;;;;
EVTNAME190441;Grave Circle A, Mycenae;;;;;;;;;;;;;
