Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME48190001;The Carlist Sublevation of $YEAR$;;;;;;;;;;;;;
EVTDESC48190001;\n\nThe_recent_turmoil_with_Spain's_empire_has_seen_an_increase_in_support_for_Carlism._A_series_of_small_uprisings_have_sprung_up_around_the_country_starting_in_Badalona,_where_a_group_of_armed_Carlists_initiated_a_shootout_with_police_outside_the_civil_guard_barracks._Other_than_the_shootout_in_Badalona,_a_couple_of_other_towns_have_also_seen_some_smaller_insurrections_consisting_of_roughly_30_people_each._The_revolts_have_been_entirely_unsuccessful,_and_peace_is_settling_again.;;;;;;;;;;;;;
EVTOPTA48190001;¡Viva el Rey!;;;;;;;;;;;;;
EVTNAME48190002;The Great Natchez Tornado;;;;;;;;;;;;;
EVTDESC48190002;\n\nA_massive_tornado_formed_some_twenty_miles_southwest_of_the_city_of_Natchez_and_then_followed_the_Mississippi_River_north,_stripping_both_sides_of_the_coast._The_storm_later_struck_at_Natchez'_river_port,_Natchez_Landing,_destroying_the_vast_majority_of_the_boats_that_were_docked_there_and_drowning_their_crews_and_passengers._The_tornado_destroyed_almost_all_of_Natchez_Landing_before_moving_towards_Natchez_proper,_ruining_many_buildings_in_the_central_and_northern_parts_of_the_city._On_top_of_the_destruction_in_Natchez,_the_damages_also_stretched_into_the_town_of_Vidalia_on_the_opposite_side_of_the_river._More_than_300_people_died_and_the_property_damage_caused_will_take_considerable_time_and_resources_to_repair.;;;;;;;;;;;;;
EVTOPTA48190002;Oh Good Heavens!;;;;;;;;;;;;;
EVTNAME48190003;The Bayless Dam Failure;;;;;;;;;;;;;
EVTDESC48190003;\n\nAfter_a_week_of_heavy_rainfall,_the_Bayless_Dam_collapsed_and_flooded_the_town_of_Austin,_Pennsylvania._The_dam,_which_was_originally_constructed_to_supply_power_for_a_paper_mill_run_by_Bayless_Paper,_had_cut_significant_corners_in_its_construction_in_order_to_save_costs,_missing_out_on_vital_safety_features._The_flood_caused_by_the_failure_of_the_dam_killed_78_people_and_caused_significant_damage_to_much_of_Austin-_in_some_places_the_water_was_so_high_only_the_tops_of_churches_could_be_seen._The_failure_of_the_dam_has_brought_into_question_the_lax_local_regulations_surrounding_these_constructions,_however_Bayless_Paper_seems_adamant_on_rebuilding_their_lost_assets.;;;;;;;;;;;;;
EVTOPTA48190003;Send thoughts and prayers to those impacted.;;;;;;;;;;;;;
EVTOPTB48190003;Send aid to help rebuild the town. §R(Pay 25.000)§!;;;;;;;;;;;;;
EVTNAME48190004;The $YEAR$ Rhodes Blood Libel;;;;;;;;;;;;;
EVTDESC48190004;\n\nIn_February,_a_Greek_Rhodian_boy_went_missing_prompting_a_search_of_the_island,_which_failed_to_turn_up_any_results._Rumors_spread_amongst_the_Greek_Christian_population_that_the_boy_had_been_murdered_by_Jews_for_ritualistic_purposes._Local_authorities_investigated_the_Jewish_quarter_to_again_find_nothing._Days_later,_a_woman_claimed_she_had_seen_the_boy_being_taken_to_the_city_by_four_Jews._One_of_the_men_she_named_was_promptly_arrested,_interrogated_and_whipped_five_hundred_times._The_authorities_also_arrested_several_other_Jewish_men_after_the_man_confessed_to_the_ritual_murder_under_torture._The_governor_blockaded_the_Jewish_quarter_after_the_arrests_but_nevertheless_word_still_managed_to_slip_out_and_reach_Jewish_communities_around_Europe._Thanks_to_pressure_by_European_diplomats,_the_Jewish_men_were_freed_in_May_and_acquitted_in_July._A_British_diplomat_has_suggested_that_we_issue_a_decree_formally_denouncing_the_blood_libel_accusations-_doing_so_will_ease_relations_with_the_European_powers_and_our_Jewish_communities_at_the_risk_of_angering_the_island's_Greek_population.;;;;;;;;;;;;;
EVTOPTA48190004;Condemn the ritual murder!;;;;;;;;;;;;;
EVTOPTB48190004;Sign the firman;;;;;;;;;;;;;
