Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ECM;Ecuadorian Revolt;;;;;;;;;;;;;
ECM_absolute_monarchy;Ecuadorian Empire;;;;;;;;;;;;;
ECM_hms_government;Kingdom of Ecuador;;;;;;;;;;;;;
ECM_prussian_constitutionalism;Kingdom of Ecuador;;;;;;;;;;;;;
ECM_ADJ;Ecuadorian;;;;;;;;;;;;;
ECM_fascist_dictatorship;Ecuador;;;;;;;;;;;;;
ECM_proletarian_dictatorship;Ecuadorian Socialist Republic;;;;;;;;;;;;;
ECM_proletarian_dictatorship_ADJ;Ecuador;;;;;;;;;;;;;
ECM_democracy;Marcist Ecuador;;;;;;;;;;;;;
ECM_democracy_ADJ;Ecuadorian;;;;;;;;;;;;;
ECM_presidential_dictatorship;Marcist Ecuador;;;;;;;;;;;;;
ECM_prov_gov_liberal;Los Marcistas;;;;;;;;;;;;;
icaza_pritchett_convenio_title;Icasa-Pritchett Contract;;;;;;;;;;;;;
icaza_pritchett_convenio_desc;§RRestart cores conflict with Peru§! During its war of independence from Spain, the government of Gran Colombia had incurred a number of debts to private European creditors. Its three daughter states: Venezuela, Colombia, and Ecuador, split the debts amongst themselves. Recently a committee of European investors into Ecuador, the Ecuador Land Company, has organized itself and sent several representatives to discuss settling the debt. George S. Pritchett, one of these representatives, has offered a contract to our Minister of Finance, Francisco de Paula Icaza, giving creditors rights to several territories in the East of the nation. Our sovereignty over the lands would be preserved, though the territories would be tax-exempt for 15 years. Among the lands to be transferred by the Icaza–Pritchett contract are many territories in dispute with Peru, who decry the treaty as a violation of their integrity.;;;;;;;;;;;;;
the_peruvian_ecuadorian_war_title;Declare War on Ecuador;;;;;;;;;;;;;
the_peruvian_ecuadorian_war_desc;The Ecuadorians have remained persistent in the obstinance. Very well! We have already given our president, General Ramón Castilla the right to command an army to recover our land and abrogate its sale to the creditors, and we shall supplement this with a blockade of Ecuador’s ports to bring them to their knees!;;;;;;;;;;;;;
treaty_of_mapasingue_title;Treaty of Mapasingue;;;;;;;;;;;;;
treaty_of_mapasingue_desc;Thanks to our brilliant strategists and brave soldiers, we had the upper hand in the war. Now that we have decisively won, we can enforce a treaty to the opposing side that will benefit us greatly.;;;;;;;;;;;;;
the_colombian_ecuadorian_union_title;Propose an Union with Ecuador;;;;;;;;;;;;;
the_colombian_ecuadorian_union_desc;We won the war against our enemies despite all odds and the dreams of creating Bolivar’s Gran Colombia have appeared among our circles once again. While our liberal government has stark differences from Moreno’s conservative, almost theocratic government in Ecuador, we can come to a common ground if we start the negotiations. We can also use the argument that the conservatives during the Civil War forced a disgracing treaty on them, giving concessions if we have to. United we will stand against the enemies of South America!;;;;;;;;;;;;;
treaty_of_pinsaqui_title;Treaty of Pinsaqui;;;;;;;;;;;;;
treaty_of_pinsaqui_desc;We won the battle against our enemies, therefore using our military and psychological advantage, we will take our claimed territories and make sure their claims over these territories will be annulled. This way, no conflict over these lands will happen again, and hopefully intimidate the opposite side from ever trying to take our lands ever again.;;;;;;;;;;;;;
union_with_venezuela_title;Union with venezuela;;;;;;;;;;;;;
union_with_venezuela_desc;We were victorious in our attempt to subdue Ecuador; our dreams of Bolivar’s empire are coming closer and closer to reality! However, our military triumphs must be accompanied by political victories, and that’s why we will propose a union between our government and Venezuela. We need to make sure that the deal is fair and acceptable to the other side, but in the end, it is their decision to accept or refuse our offer.;;;;;;;;;;;;;
treaty_of_maracaibo_title;Treaty of Maracaibo;;;;;;;;;;;;;
treaty_of_maracaibo_desc;We won the war against tyrannical Colombians who tried to claim our country in the name of a great leader who passed away a long time ago. This opportunist act shall not go unpunished as we will take our claimed territories as well as demand the withdrawal of Colombian presence from Ecuador with a treaty. Their rampage will be subsumed and democracy restored in Ecuador once again.;;;;;;;;;;;;;
secure_the_chaco_title;Secure the Chaco region;;;;;;;;;;;;;
secure_the_chaco_desc;The troublesome climate of the Chaco Region and the lack of infrastructure did not stop us from achieving total victory. Our military victories must be assured with political victories on peace negotiations and resolve this dispute once and for all.;;;;;;;;;;;;;
treaty_of_buenos_aires_title;Treaty of Buenos Aires;;;;;;;;;;;;;
treaty_of_buenos_aires_desc;We drove our enemies out from the Chaco Region and now we reserve the right, and the arms to enforce our claims and occupy the area once and for all. The oil in the area, if we will find a considerable amount, will help tremendously to recover from the debts and losses we garnered. However, we have to give concessions to our foes as they still hold some claims on the Chaco region, and completely humiliating them in peace deals will bring further resentment to our government from Bolivians.;;;;;;;;;;;;;
EVTDESC197070;\n\nNews_have_reached_from_the_city_of_Guayaquil_us_that_a_group_of_nationalits_rebels_seemingly_being_lead_by_Vicente_Ramon_Roca,_Diego_Noboa,_Jose_Joaquin_de_Olmedo_and_surprisingly_one_of_our_generals_Antonio_Elizalde_have_stared_a_rebelion_to_topple_our_goverment_and_to_rectify_the_constitution_of_1843_know_to_them_as_the_"Carta_de_la_Esclavitud".This_has_been_the_first_revolution_since_our_country's_creation_in_1830.Now_the_question_is_will_it_succeed?;;;;;;;;;;;;;
EVTDESC197071;\n\nAfter_becoming_Vice_President_of_Vicente_Ramón_Roca_in_1847._Manuel_de_Ascazubi_came_to_presidency_after_concluding_the_constitutional_period_of_Vicente_Ramón_Roca_in_1849,_and_the_technical_draw_in_the_presidential_elections_that_did_not_decide_between_Antonio_Elizalde_and_Diego_Noboa_y_Arteta._Now_after_a_popular_assembly_summoned_by_general_Jose_Maria_has_elected_Diego_Noboa_as_Chief_Supreme_the_goverment_in_Quito_have_made_Ascazubi_quit.;;;;;;;;;;;;;
EVTDESC197072;\n\n5_years_after_the_March_Revolution_had_deposed_Juan_José_Flores_for_his_increasing_centralization_of_the_state,_conservative_president_Diego_Noboa_allowed_the_Society_of_Jesus,_commonly_known_as_the_Jesuits,_back_into_Ecuador_after_their_expulsion_from_New_Spain_in_1767._The_liberal_president_of_New_Granada,_José_Hilario_López,_feared_that_the_Ecuadorian_Jesuits_would_support_the_conservatives_who_conspired_against_him._Upon_learning_that_Noboa_had_helped_two_of_these_conspirators_in_the_city_of_Pasto,_López_was_authorized_to_declare_war_on_Ecuador._Under_this_pretext_President_Diego_Noboa_was_granted_emergency_powers._As_Ecuador_prepared_for_war,_General_José_María_Urvina_and_the_army_staged_a_coup,_worried_that_the_president_had_similar_ambitions_of_centralization_as_the_founder_of_the_republic,_Juan_José_Flores._With_Diego_Noboa_banished_to_Peru_after_the_successful_takeover,_Supreme_Chief_José_María_Urvina_has_been_sworn_into_office.;;;;;;;;;;;;;
EVTDESC197073;\n\nDuring_its_war_of_independence_from_Spain,_the_government_of_Gran_Colombia_had_incurred_a_number_of_debts_to_private_European_creditors._Its_three_daughter_states:_Venezuela,_Colombia,_and_Ecuador,_split_the_debts_amongst_themselves._In_order_to_help_settle_these_debts,_Ecuador_has_signed_a_contract_with_European_investors,_giving_them_privileged_access_to_certain_lands_North_of_Marañón_and_Amazon_rivers_-_lands_that_are_rightfully_ours.;;;;;;;;;;;;;
EVTDESC197074;\n\nEver_since_our_independence,_our_northern_territory_has_been_disputed_among_our_neighbors_and_now_Ecuador_has_leased_our_land_to_the_Englishmen._Perhaps_it's_time_to_invite_the_Ecuadorians_to_finally_solve_our_border_issue_and_call_for_suspension_of_the_Icaza–Pritchett_Agreement.;;;;;;;;;;;;;
EVTDESC197075;\n\nDuring_the_ongoing_issue_of_the_contract_made_with_the_Englishmen,_words_have_came_from_New_Granada_about_a_dispatch_made_between_the_Peruvian_Foreign_Minister_of_Ecuador_"Juan_Celestino_Cavero"_and_Peru,_about_a_future_invasion_to_Guayaquil,_when_we_asked_Cavero_for_an_explanation_about_this_dispatch,_he_remained_silent,_what_should_we_do_about_Cavero?;;;;;;;;;;;;;
EVTDESC197076;\n\nOur_government_is_in_a_tricky_situation._The_debt_we_owe_to_the_British_has_come_to_the_point_of_crippling_our_government._When_we_tried_to_sell_our_claimed_land_in_the_Amazon_Basin,_this_seriously_angered_the_conservatives_led_by_Gabriel_García_Moreno_in_our_government._There_will_be_no_one_helping_us_in_our_struggle,_we_will_either_win_or_disappear_in_the_books_of_history.;;;;;;;;;;;;;
EVTDESC197077;\n\nDuring_the_civil_war_in_the_Granadan_Confederation_(today’s_Colombia),_a_border_conflict_took_place_in_Tulcán_where_Ecuadorian_and_conservative_forces_fought_with_each_other._The_President_of_Ecuador_also_participated_in_this_battle,_but_to_his_dismay,_his_forces_scattered_and_even_faced_gunfire_from_his_fellow_soldiers_in_the_confusion._This_short_battle_resulted_in_a_humiliating_treaty_forced_on_Ecuadorians,_however,_the_Ecuadorian_parliament_would_nullify_the_treaty_as_the_constitution_forbade_the_country_from_aiding_civil_wars_in_Colombia.;;;;;;;;;;;;;
EVTDESC197078;\n\nThe_liberals_from_Colombia_came_to_us_with_an_offer._They_are_trying_to_reinstall_the_old_“Gran_Colombia”_of_the_old_times._This_preposterous_offer_has_been_criticized_in_Ecuador_a_lot,_the_differences_between_us_are_far_too_wide,_we_are_religious_while_they_are_not,_and_their_government_is_still_suffering_from_civil_war._Still,_we_may_have_to_sacrifice_one_thing_or_two_if_we_want_to_achieve_the_greatness_of_the_old_Colombia_Bolivar._We_have_decided_to…;;;;;;;;;;;;;
