Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
accept_belarussians_title;Grant Equal Rights to the White Ruthenians;;;;;;;;;;;;;
accept_belarussians_desc;While far from our height many centuries ago, our recent conquest of White Ruthenia puts our nation in a peculiar position. Even if there were always Slavs in our nation after our independence, now, with the inclusion of our old territories, the White Ruthenians became a sizeable portion of our population, with our people becoming a minority in our own nation. Now, our ministers suggest that the best course of action would be to, instead of letting our peoples fight against each other within our own borders, we should integrate the people of White Ruthenia in our nation, granting them equal rights to Lithuanians and finding unity in our shared history under foreign rule.;;;;;;;;;;;;;
EVTDESC31502013;\n\nAfter_achieving_our_independence_from_the_Russians,_the_Baltic_Landtag_would_hand_over_power_to_the_military_as_a_temporary_measure_as_our_nation_started_to_function_as_a_modern,_independent_state._But_now,_as_the_anniversary_of_our_independence_comes_near,_protests_started_to_appear,_with_voices_asking_for_more_representation_and_for_the_army_to_step_down,_calling_our_government_"The_Landtag_of_Steel"._At_first,_the_unrest_was_easy_to_deal_with,_but_as_people_went_to_the_streets_again_and_again,_with_even_bigger_numbers_each_time._Our_ministers_advise_that_if_we_don't_act_now,_we_risk_losing_control_the_situation_and_risking_our_control_over_the_entire_Baltic.;;;;;;;;;;;;;
EVTDESC31502014;\n\nBeing_the_most_recent_addition_to_the_Baltic_State,_Lithuania_had_already_a_pretty_sizeable_independence_movement_mobilized._With_unrest_getting_more_and_more_out_of_control,_a_bunch_of_proeminent_Lithuanian_figures_declared_independence_from_us_and_most_of_our_lithunian_troops_already_defected_to_this_new_state._While_our_first_instinct_is_to_kill_this_new_Lithuanian_nation_right_out_of_its_craddle,_we_have_been_advised_by_some_of_our_generals_that_mobilizing_against_Lithuania_would_put_our_other_territories_open_to_further_rebellion._Thus,_it_may_be_a_good_idea_to_let_Lithuania_go_for_now,_lest_we_lose_Estonia_or_even_Latvia.;;;;;;;;;;;;;
EVTDESC31502015;\n\nAfter_a_tense_week_of_protests_in_Estonia,_we_received_news_that_Estonia_has_been_taken_by_complete_chaos,_with_local_regiments_mutinying_against_of_rule_and_joining_the_calls_for_representation_and_independence._It_seems_that_we_have_completely_lost_control_over_Estonia,_with_drafts_of_an_independence_declaration_already_being_writen_in_Reval._With_the_lost_of_most_Estonian_regiments_in_our_army,_we_are_presented_with_two_options,_to_either_cross_into_Estonia_and_try_put_down_their_dreams_of_an_independent_state_or_to_know_that,_for_now,_Estonia_and_lost_and_all_we_can_do_is_to_try_to_crush_any_dissent_in_Latvia_with_the_troops_that_haven't_deserted_us_yet.;;;;;;;;;;;;;
EVTDESC31502016;\n\nEven_after_being_able_to_hold_Latvia_for_so_long,_lost_control_over_most_of_it._The_countryside_has_long_been_prone_to_attacks_from_guerrilla,_but_now_the_Latvian_masses_have_taken_control_over_most_major_cities,_with_our_Latvian_brigades_in_open_mutiny_and_some_of_our_German_troops_finding_themselves_cut_off_from_the_government_in_our_capital._We_have_barely_managed_to_hold_Riga,_with_most_of_the_acess_to_the_city_being_closed,_with_the_city_under_martial_law._With_most_of_the_country_falling_into_enemy_hands,_we_hear_about_Latvia_declaring_formal_independence_in_Mitau._The_Landtag_was_called_to_an_emergency_session_to_decide_between_our_options,_to_fight_to_our_last_man,_to_capitulate_to_the_Latvians_or_to_bunker_up_in_Riga_and_ask_for_German_help.;;;;;;;;;;;;;
EVTDESC31502017;\n\nOur_diplomats_in_Riga_have_been_watching_over_the_situation_in_the_Baltic_State_as_the_German_government_in_ther_slowly_lost_control_over_their_territories_that_once_hailed_them_as_liberators._Talks_about_the_slow_dissolution_of_the_Baltic_State_were_a_hot_topic_over_in_our_capital,_both_between_our_politicians_and_generals._While_our_government_would_have_been_happy_to_intervene_and_save_our_baltic_brothers_at_any_moment,_the_truth_is_that_the_Baltic_State_acted_with_inaction_and_just_did_nothing_as_their_state_slowly_collapsed._Now_after_Latvia_declaring_independence,_what_is_left_of_the_Baltic_government_in_Riga_asked_for_our_protection,_offering_us_control_over_most_of_their_government.;;;;;;;;;;;;;
EVTDESC31502018;\n\nEven_if_we_were_reduced_to_Germany_puppet,_at_least_with_their_help_we_managed_to_get_our_land_back_and_be_worthy_of_being_considerd_more_than_a_city-state.;;;;;;;;;;;;;
EVTDESC31502019;\n\nAs_the_Sun_rose,_it_was_a_quiet_morning_in_the_Baltic_State._After_fighting_a_war_agianst_itself,_the_Baltic_State_finally_had_a_day_that_no_shot_was_fired_and_no_blood_was_shed._It_was_a_well_deserved_morning,_after_all_turmoil,_normalcy_has_finally_returned_to_the_Baltic,_even_if_that_is_not_to_say_that_nothing_changed._The_message_was_clear_for_everyone,_after_quelling_revolts_all_over_the_country,_dissent_would_not_be_tolerated_and_the_Germans_were_here_to_stay._That_was_clear_when_looking_at_the_Baltic_Military,_once_being_an_army_composed_from_Germans_and_Baltic_natives,_after_many_desertions_and_purges_it_became_mostly_a_German_force,_with_non-Germans_serving_as_auxiliaries._Most_foreign_observers_have_noted_that_the_Baltic_Army_became_quite_a_formidable_force,_that_will_not_hesitate_to_put_down_any_new_revolt_that_dares_to_show_its_ugly_head._In_the_end,_the_Baltic_people_that_fought_for_independence_have_traded_their_old_Russian_overlords_for_German_ones.;;;;;;;;;;;;;
all_german_military;All-German Military;;;;;;;;;;;;;
GER_sway_the_baltic_title;The Baltic Question;;;;;;;;;;;;;
GER_sway_the_baltic_desc;With our victory in the Baltic, our new allies in the East soon will have to choose how their new nation will be governed. As the guarantors of their independence, we naturally hold a great deal of influence with them, being offered to send representatives to the upcoming meeting in Riga. We should decide what will be our agenda in Riga and in which direction we will sway their decision into.;;;;;;;;;;;;;
EVTDESC31502020;\n\nAs_we_decide_how_to_influence_our_new_Baltic_allies,_some_questions_emerge_on_how_to_influence_their_future_government._Some_very_vocal_voices_tell_us_to_take_every_step_to_turn_them_into_our_puppet,_but_we_probably_should_act_with_caution,_lest_we_alienate_our_new_and_valuable_ally._One_of_the_more_reasonable_options_has_been_to_send_the_Grand_Duke_of_Mecklenburg-Schwerin,_an_ally_of_ours_that_has_been_invited_to_bid_for_the_throne_by_Baltic_Monarchists._Furthermore,_parts_of_our_delegation_recommend_instead_that_we_send_some_liberal_agitators_to_the_Baltic_to_create_a_more_liberal_German_state_to_relieve_us_from_unrest._And_last_but_not_least,_we_could_send_some_envoys_to_their_military,_suggesting_them_to_take_power,_for_a_time,_of_course...;;;;;;;;;;;;;
UBD_strike_first_title;Declare of Baltic Independence;;;;;;;;;;;;;
UBD_strike_first_desc;With the consolidation of Baltic administration and our underhand deal with Berlin struck, we are starting to take steps to make sure Russia can't curtail Baltic autonomy. Our people got in contact with Latvian and Estonian leaders, to talk about the possibility of Baltic independence, and for the nation to stay united as a state of Germans, Latvians and Estonians. Not only did we manage to strike a deal with their leadership, but they also offered to get in contact with some Latvians and Estonians in Dinaburg and Pechory to have them rise up and join the Baltic struggle for independence. Now, with everything ready, all that is left is to cast the die and depose our Russian overlords.;;;;;;;;;;;;;
UBD_claim_ingria_desc;§RGain 12.5 infamy§! When the Baltic was first conquered from Sweden, Peter the Great of Russia handed the ruling of the Baltic to his, very corrupt, right-hand man and governor of Ingria. While he fell from the position even before the governorates were properly established, with our position in the Baltic and independence from Russia secured, the ambitions of our state grew, and Ingria became subject to the interest of war hawks and jingoists alike. With our independence, the Russian government has formally declared the transfer of the Imperial Capital from Saint Petersburg to Moscow, undoing Peter the Great's work, with some arguing that now would be the perfect time to claim Ingria. If we were to seize Ingria and St. Petersburg, we would be pretty much expelling Russia from the Baltic Sea, forever tarnishing the legacy their tsars fought to build.;;;;;;;;;;;;;
UBD_claim_ingria_title;Claim Ingria;;;;;;;;;;;;;
EVTDESC31502022;\n\nThroughout_the_cities_of_Vilnius,_Riga_and_Reval,_massive_crowds_had_turned_out_in_celebration_of_the_expulsion_of_Russians_from_their_region!_After_wrestling_their_freedom_from_the_maw_of_the_Russian_Bear,_the_Baltics_are_finally_free_after_almost_two_centuries_of_Russian_dominance._Today,_the_Baltic_people_put_aside_their_differences_to_relish_in_their_newfound_freedom_and_independence_from_foreign_rule._Though_celebratory,_the_Baltic_people_remain_worried_that_Moscow_will_attempt_to_reconquer_the_region._Despite_the_future_threats_from_Moscow,_the_Baltics_have_achieved_self-determination_that_will_never_be_vanquished!;;;;;;;;;;;;;
unite_poland_galicia_title;Unite Poland with Galicia;;;;;;;;;;;;;
unite_poland_galicia_desc;§RGain 2 infamy§! Despite being once a great state in Eastern Europe, after being partitioned time and time again, the Polish people were divided between Austria, Prussia and Russia. Now, with our significant influence in Polish lands, we could not only partially right this wrong, but also strengthen our Polish allies by pushing to unite Poland with Galicia-Lodomeria, while also taking the opportunity to solve some minor claims the Polish have on us. While the Polish people sure will appreciate the unification, the other powers won't be pleased to see us redrawing Eastern Europe in such a way.;;;;;;;;;;;;;
claim_duchy_estonia_desc;§RGain 3 infamy§! While we were considered by many as a power in decline after the Napoleonic Wars and the loss of Norway, it has become clear that those years of humiliation are behind us. As our nation is once again respected on the world stage, it would only be natural that we start looking into old claims that we could use to solidify our newfound position and prestige. One of the bolder suggestions circulating within our government is that of the Estonian claim. Not only because we held it as a duchy for about a century, but also due to the importance of Estonia in regard to our history - with the legend about the origins of the Dannebog, our flag, in the Battle of Lindanise, during the Livonian Crusade.;;;;;;;;;;;;;
claim_duchy_estonia_title;Reclaim the Duchy of Estland;;;;;;;;;;;;;
subdue_baltic_desc;With our recent defeats in the Baltic, we took a significant blow to our international status. The annexation of the Baltic in the Great Northern War under Peter the Great centuries ago elevated Russia into a true European power and, while the loss of the Baltic won't undermine our position as major player in European politics, we can't deny that it left a sour taste in our mouths. To remedy that, we could reassert our position in the Baltic Sea and claim that the Baltic states do not deserve independence and are still an integral part of our territory.;;;;;;;;;;;;;
subdue_baltic_title;Oppose Baltic Liberty;;;;;;;;;;;;;
EVTDESC49511A;\n\nWith_our_increased_influence_in_Scandinavia,_the_matter_of_the_North_Atlantic_Islands_has_increasibly_come_to_the_attention_of_our_government._While_Greenland,_Iceland_and_the_Faroe_Islands_were_awarded_to_Denmark_after_the_loss_of_Norway_in_1814,_they_are_now_under_our_indirect_control._This_has_prompted_some_of_our_advisors_to_suggest_that_we_should_take_direct_control_of_them,_thus_ensuring_that_we_would_retain_absolute_control_over_the_North_Atlantic_in_the_event_of_our_Scandinavian_allies_breaking_away.;;;;;;;;;;;;;
EVTDESC49512A;\n\nOur_new_overlords_have_moved_to_seize_Greenland,_Iceland_and_the_Faroe_Islands_from_us.;;;;;;;;;;;;;
unite_greece_title;Unite Greece;;;;;;;;;;;;;
unite_greece_desc;Ever since the end of the Byzantine Empire, the Greek people have never been unified into a single nation. While Attica and Peloponnese managed to be part of the new Greek nation, Greeks in the Aegean sea and Anatolia weren't so lucky, even if some of them recently managed to free themselves from Turkish overlordship. Now, with our control over Greece, the Greek people of the Aegean and Anatolia are skeptical of joining Greece, wary of our presence in the country. But, if we managed to increase our influence in these new states we could, in theory, make so their governments agree to join our Greek vassals, letting our puppet grow in strength.;;;;;;;;;;;;;
