Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;
russo_japanese_war_title;Ambush the Russian Fleet at Port Arthur;;;;;;;;;;;;;
russo_japanese_war_desc;Tension between Japan and Russia has simmered for years as both nations struggle to secure dominance in Korea and northern China. That rivalry can no longer remain peaceful. Only victory over Russia will allow us to become the true masters of the East.;;;;;;;;;;;;;
russo_japanese_war_japanese_treaty_title;A Treaty with Russia;;;;;;;;;;;;;
russo_japanese_war_japanese_treaty_desc;Russia’s crushing defeat has given us the leverage to impose harsh terms. It is time to decide which territories we will claim.;;;;;;;;;;;;;
russo_japanese_war_russian_treaty_title;A Treaty with Japan;;;;;;;;;;;;;
russo_japanese_war_russian_treaty_desc;Japan struck without warning, and now must face the consequences of defeat and humiliation. We now have the chance to negotiate exactly what territory we will take from them.;;;;;;;;;;;;;
EVTNAME784518;Japan Ambushes the Pacific Fleet at Port Arthur!;;;;;;;;;;;;;
EVTDESC784518;\n\nDiplomatic_tension_with_Japan_has_grown_steadily_as_both_our_nations_compete_for_dominance_in_East_Asia._Now_that_tension_has_finally_reached_its_breaking_point._We_have_received_word_that_the_Japanese_navy_has_launched_a_surprise_attack_on_our_Pacific_Fleet,_docked_at_Port_Arthur._They_intend_this_to_be_the_opening_move_in_a_decisive_war_for_control_of_the_Far_East.;;;;;;;;;;;;;
EVTNAME784519;We Are Winning Against Russia!;;;;;;;;;;;;;
EVTDESC784519;\n\nPort_Arthur_is_occupied_and_momentum_is_firmly_on_our_side._Russian_troops_struggle_across_the_harsh_Siberian_expanses,_making_them_easy_targets_for_our_entrenched_forces._Their_defeat_appears_close._Perhaps_they_would_be_more_amenable_to_peace.;;;;;;;;;;;;;
EVTNAME784520;Japan Offers Us Peace;;;;;;;;;;;;;
EVTDESC784520;\n\nOur_armies_are_exhausted,_and_Japan_clearly_holds_the_advantage._They_have_chosen_this_moment_to_propose_peace._Their_demands_include_Port_Arthur_and_any_portions_of_Sakhalin_and_the_Kurils_under_our_control._Shall_we_accept?;;;;;;;;;;;;;
EVTNAME784521;Russia Accepts Our Peace Offer!;;;;;;;;;;;;;
EVTDESC784521;\n\nThe_war_has_ended._Russia_has_accepted_our_generous_peace_terms,_and_our_new_territorial_gains_take_effect_immediately._This_is_a_great_day_for_$COUNTRY$.;;;;;;;;;;;;;
EVTNAME784522;Russia Rejects Our Peace Offer!;;;;;;;;;;;;;
EVTDESC784522;\n\nDespite_our_advantage,_Russia_refuses_to_yield._They_must_be_persuaded_further.;;;;;;;;;;;;;
EVTNAME784523;We Are Winning Against Japan!;;;;;;;;;;;;;
EVTDESC784523;\n\nJapan’s_surprise_attack_failed_to_secure_lasting_gains,_and_their_offensive_has_stalled._Surely_they_are_now_realizing_the_futility_of_fighting_on._Perhaps_we_should_offer_peace_now_and_save_them_the_bother_of_sending_any_more_of_their_troops_to_their_end.;;;;;;;;;;;;;
EVTNAME784524;Russia Offers Us Peace;;;;;;;;;;;;;
EVTDESC784524;\n\nOur_advance_has_collapsed_after_the_opening_attack,_and_victory_now_seems_unlikely._Russia_has_therefore_offered_peace._Their_terms_demand_our_holdings_in_Sakhalin_and_the_Kurils,_as_well_as_our_diplomatic_and_military_withdrawal_from_Korea._Shall_we_accept?;;;;;;;;;;;;;
EVTNAME784525;Japan Accepts Our Peace Offer!;;;;;;;;;;;;;
EVTDESC784525;\n\nJapan_has_grown_weary_of_this_grinding_conflict_and_has_agreed_to_cede_its_portion_of_Sakhalin_to_us._It_is_unlikely_they_will_challenge_our_position_in_the_Far_East_again_anytime_soon.;;;;;;;;;;;;;
EVTNAME784526;Japan Refuses Our Peace Offer!;;;;;;;;;;;;;
EVTDESC784526;\n\nJapan_stubbornly_clings_to_the_hope_of_reversing_the_war’s_course._How_much_more_blood_must_be_shed_before_they_acknowledge_reality?;;;;;;;;;;;;;
EVTNAME784527;A Harsher Treaty with Russia;;;;;;;;;;;;;
EVTDESC784527;\n\nWe_now_possess_enough_leverage_to_demand_more_territory_than_originally_expected._Whatever_lands_we_decide_to_annex_from_them_will_badly_damage_Russia’s_position_in_East_Asia_and_the_Pacific._What_territory_shall_we_demand?_(Note:__Russia_does_not_own_will_cede_no_territory_to_you_while_still_generating_infamy.);;;;;;;;;;;;;
EVTNAME784528;Japan Makes Its Peace Offer;;;;;;;;;;;;;
EVTDESC784528;\n\nJapan_demands_all_of_Sakhalin,_the_Kurils,_Outer_Manchuria,_and_any_of_our_East_Asian_territories._With_the_war_over,_we_are_obliged_to_cede_this_land.;;;;;;;;;;;;;
EVTDESC7845281;\n\nJapan_demands_South_Sakhalin,_the_Kurils,_and_any_of_our_East_Asian_territories._With_the_war_over,_we_are_obliged_to_cede_this_land.;;;;;;;;;;;;;
EVTNAME784529;Japan Makes a Harsh Peace Offer;;;;;;;;;;;;;
EVTDESC784529;\n\nJapan_demands_all_of_our_Far_Eastern_territory_up_to_Kamchatka,_along_with_any_East_Asian_holdings._This_would_remove_us_entirely_from_the_Pacific_coast._Nevertheless,_we_are_compelled_to_comply.;;;;;;;;;;;;;
EVTNAME784530;Japan’s Bold Peace Offer;;;;;;;;;;;;;
EVTDESC784530;\n\nJapan_demands_the_entirety_of_the_Russian_Far_East_up_to_Trans-Baikal,_along_with_any_East_Asian_territories._Virtually_all_of_eastern_Siberia_would_fall_under_Japanese_control._It_is_a_severe_price_for_a_defeated_nation_like_ours_to_pay.;;;;;;;;;;;;;
EVTNAME784531;A Harsher Treaty with Japan;;;;;;;;;;;;;
EVTDESC784531;\n\nWe_now_hold_enough_leverage_to_demand_far_more_than_expected._Whatever_we_choose_will_cripple_Japan’s_strategic_position_in_East_Asia_and_greatly_hinder_any_future_expansion._What_shall_we_demand?_(Note:_Demanding_land_Japan_does_not_own_will_cede_no_territory_to_you_while_still_generating_infamy.);;;;;;;;;;;;;
EVTNAME784532;Russia Makes Its Peace Offer;;;;;;;;;;;;;
EVTDESC784532;\n\nRussia_demands_Sakhalin,_Hokkaido,_and_Tsushima,_seeking_to_block_any_Japanese_ambitions_on_the_Asian_mainland._We_are,_of_course,_obliged_to_comply.;;;;;;;;;;;;;
EVTNAME784533;Russia Makes a Harsh Peace Offer;;;;;;;;;;;;;
EVTDESC784533;\n\nRussia_demands_Sakhalin,_Hokkaido,_Tsushima,_and_Taiwan,_attempting_to_end_any_possibility_of_Japanese_expansion_into_continental_Asia._We_are,_of_course,_obliged_to_comply.;;;;;;;;;;;;;
EVTNAME784534;Russia’s Bold Peace Offer;;;;;;;;;;;;;
EVTDESC784534;\n\nRussia_demands_Sakhalin,_Hokkaido,_Tsushima,_and_all_Japanese-controlled_Korean_and_Chinese_territories._This_would_strip_us_of_any_influence_on_the_mainland_and_leave_our_islands_increasingly_isolated._Whether_we_like_it_or_not,_we_have_no_choice.;;;;;;;;;;;;;
aggression_against_russia;Aggression Against Russia;;;;;;;;;;;;;
aggression_against_russia_desc;We are waging an offensive war to drive Russia out of East Asia and the Pacific. This modifier expires 580 days after the Russo-Japanese War begins. If we capture and hold Port Arthur for at least 30 days by then, we may sue for peace. If not, Russia will be able to impose demands on us.;;;;;;;;;;;;;
expel_russians_from_far_east_title;Expel the Russians from the Far East;;;;;;;;;;;;;
expel_russians_from_far_east_desc;The Far East has taken on a distinctly Russian character after centuries of settlement. Though the population remains sparse, even a small rebellion is unacceptable. The Russian inhabitants must be expelled and replaced with Japanese settlers.;;;;;;;;;;;;;
EVTNAME666606;Russians Expelled from the Far East;;;;;;;;;;;;;
