Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
USA_CAN_Expansion_desc;§RGain 20 infamy§! Congressman Nathaniel Prentice Banks has presented us with an opportunity, a bill that provides the president the authorization to take control of the states of Nova Scotia, New Brunswick, Canada East, Canada West, the Territories of Selkirk, Saskatchewan, and Columbia. However, a failure to take these territories will result in immense consequences.;;;;;;;;;;;;;
USA_CAN_Expansion_title;The Annexation Bill of $YEAR$;;;;;;;;;;;;;
USA_CAN_denied_title;The Treaty of Ottawa;;;;;;;;;;;;;
USA_CAN_denied_desc;British and Canadian troops have successfully defended the 50th Parallel, and the onslaught of American militiamen has been thrown back. With the war over, it is time to clip the Eagle's wings and redraw the borders of North America to ensure lasting peace in the New World. We welcome the American diplomats into Ottawa so they might behold what they will never have. All the Oregon Territory will be returned to British hands, and several northern US territories along with the state of Michigan will be transferred to the Dominion of Canada. Also, the Treaty calls for the formation of a new and independent, under British supervision of course, Republic of New England composed of several north-eastern states. With all these measures in place, British interest in the New World shall never again be threatened by the rabble of uncivilized men.;;;;;;;;;;;;;
USA_CAN_achieved_title;The Treaty of Philadelphia;;;;;;;;;;;;;
USA_CAN_achieved_desc;After terrible fighting across the Americas, the virtuous patriots of Liberty have triumphed over the wicked tyrants of the Old World. In cities throughout the country, banners of red, white, and blue are raised to celebrate the induction of Canada into the Union. Patriotism is a fever pitch as delegates in Philadelphia sign a treaty which banishes the United Kingdom from the Americas. Any British colonial possessions are transferred to the United States so that the damages done to them during their time under Royalist oppression might be repaired. A new and beautiful day is dawning, as majestic American Eagle spreads his mighty wings over the American continents.;;;;;;;;;;;;;
FRA_USA_QUE_title;Attempt to Purchase Quebec from the Americans;;;;;;;;;;;;;
FRA_USA_QUE_desc;Relations between the France and the United States have always been rather cordial ever since the days of Lafayette. With Quebec now in their hands after the so-called Crusader for Canada, the Americans may be more willing to negotiate with France over returning Quebec back to its rightful rulers. Surely the Americans of all people will understand how important it is to undo the damage done by the British.;;;;;;;;;;;;;
USA_french_title;The Quebec Question;;;;;;;;;;;;;
USA_french_desc;After the liberation of Quebec, the issue on what to do with the French speaking population needs to be resolved. Should they be given home rule or should they be integrated into the Union.;;;;;;;;;;;;;
USA_canadian_title;Integrate the Canadians;;;;;;;;;;;;;
USA_canadian_desc;Sadly while the United States achieved independence in 1776, our Canadian brothers to the north remained under subjugation. Finally, the Canadians can be integrated into this great Union.;;;;;;;;;;;;;
EVTDESC72749;There_seems_to_be_no_end_to_American_aggression._First,_they_seize_Oregon,_and_now_their_so_called_Manifest_Destiny_calls_for_all_the_Great_White_North_to_be_in_their_hands._Diplomacy_with_these_fanatics_is_useless_and_who_knows_what_else_those_war_hawks_in_Washington_are_planning._To_secure_the_Canadian_frontier_from_the_American_menace,_all_colonial_dominions_must_come_under_direct_rule_from_London.;;;;;;;;;;;;;
