Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
USS_democracy;The Union of South American Republics;;;;;;;;;;;;;
USS_prussian_constitutionalism;The South American Empire;;;;;;;;;;;;;
USS_hms_government;The South American Empire;;;;;;;;;;;;;
USS_form_UCA_title;Unite Central America;;;;;;;;;;;;;
USS_form_UCA_desc;With South America unified under our leadership, it is our duty to continue strengthening the people of Latin America through solidarity. Nowhere is the chaos of the New World more noticeable then Central America where petty states are kept in divided squalor for the benefit of American and European capitalist. Even we can teach them the merits of unity, surely, they will prosper under our supervision and protection.;;;;;;;;;;;;;
USS_annex_CUB_title;Integrate Cuba;;;;;;;;;;;;;
USS_annex_CUB_desc;During the Latin American Wars of Independence, Cuba and other Caribbean islands remained other Spanish subjugation. However, a new sun rises over the Caribbean and with Cuba under our protection, we can begin to integrate them into our union.;;;;;;;;;;;;;
USS_annex_DOM_title;Integrate the Dominican Republic;;;;;;;;;;;;;
USS_annex_DOM_desc;During the Latin American Wars of Independence, the Dominican Republic and other Caribbean islands remained other Spanish subjugation. However, a new sun rises over the Caribbean and with the Dominican Republic under our protection, we can begin to integrate them into our union.;;;;;;;;;;;;;
USS_annex_PRI_title;Integrate Puerto Rico;;;;;;;;;;;;;
USS_annex_PRI_desc;During the Latin American Wars of Independence, Puerto Rico and other Caribbean islands remained other Spanish subjugation. However, a new sun rises over the Caribbean and with Puerto Rico under our protection, we can begin to integrate them into our union.;;;;;;;;;;;;;
USS_puppet_MEX_title;Strengthen Control Over Mexico;;;;;;;;;;;;;
USS_puppet_MEX_desc;Although separated by vast distances, Mexico and South America are connected by our struggle for independence against imperialist aggressors. However, the years have not been kind to Mexico and the nation frequently faces the threat of invasion and revolt. For Mexico to be truly safe, we must strengthen our control of its affairs. However, we have no guarantees that Mexico will accept such a paternal relationship and the United States will see this an encroachment upon their backyard.;;;;;;;;;;;;;
USS_afro_title;Embrace Afro-Latin Americans;;;;;;;;;;;;;
USS_afro_desc;With the intermixing of ethnicities, a common occurrence in South America and other Latin American states, an individual's true ethnicity is a blurred line. Nevertheless, in several parts of South America, the shackles of slavery have only recently been broken. We should begin integrating the former slave population to erase the stain left by Spanish and Portuguese slavers. Obviously not everyone will be pleased by this decision.;;;;;;;;;;;;;
USA_UCA_dismantle_title;Dismantle Central America;;;;;;;;;;;;;
USA_UCA_dismantle_desc;Now that the South Americans have been beaten back and Central America is under our control, we can restore the status quo to the region. This unholy union will be no more, and American entrepreneurs will be able to operate freely. Order is restored and our interest our secure.;;;;;;;;;;;;;
USS_monroe;Miranda Doctrine;Peuple libre;Freies Volk;;;;;;;;;;;
USS_monroe_desc;Liberate the Latin people under foreign rule!;Libérer un 'pays' de ses oppresseurs;Befreien Sie ein 'Land' von seinen Unterdrëkern.;;;;;;;;;;;
USS_monroe_short;Liberate the colonial holdings in the New World;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;
USS_monroe_setup;Liberate the colonial holdings in the New World;Prendre $STATE$ de $RECIPIENT$ pour le rendre à $THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zurück;;;;;;;;;;;
EVTDESC6018206;When_South_America_unified,_many_in_the_United_States_showered_it_with_praises_and_the_Monroe_Doctrine_was_declared_a_resounding_success._Politicians_in_Washington_claimed_it_was_a_sister_nation_to_the_United_States._However,_the_recent_involvement_of_South_America_in_Central_America_has_shifted_opinions._Several_American_companies_have_been_expelled_from_the_region,_and_many_plantations_have_been_seized_by_the_new_government._Our_nation’s_capitalist_our_outraged_and_are_demanding_an_immediate_invasion_to_restore_the_status_quo.;;;;;;;;;;;;;
EVTDESC5730318;The_South_Americans_are_wanting_to_strengthen_control_over_our_foreign_policy_and_other_stately_duties,_basically_reducing_to_a_puppet._They_claim_it_is_for_our_own_protection,_but_it_is_a_blatant_violation_of_our_sovereignty._Should_we_refuse,_the_South_Americans_will_almost_certainly_invade_us.;;;;;;;;;;;;;
