Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC13000_NEWS_LONG;Once_the_wind_of_Western_civilization_blows_to_the_East,_every_blade_of_grass_and_every_tree_in_the_East_follow_what_the_Western_wind_brings._Off_the_coastlines_of_$COUNTRY$,_strange_ships_have_begun_appearing._Strange_ships,_with_masts_so_tall_as_to_seem_to_touch_the_face_of_God._At_first_a_curiosity,_soon_every_so_often_-_increasing_in_intensity_as_gale_grows_to_storm_-_and_tomorrow?_Strange_are_those_ships,_and_stranger_still_the_customs_they_bring,_but_there_can_be_no_doubt_that_a_policy_must_be_adopted_with_regards_to_the_foreigners_from_'Europe'.;;Wenn_der_Wind_der_westlichen_Zivilisation_im_Osten_weht,_so_wird_jeder_Grashalm_und_jeder_Baum_vom_Geiste_des_Westens_erfüllt._An_den_Küsten_von_$COUNTRY$_tauchen_fremde_Schiffe_auf._Seltsame_Schiffe_mit_Masten_so_hoch,_als_ob_sie_Gottes_Antlitz_berühren_wollten._Zunächst_eine_Seltenheit,_dann_immer_mehr_und_öfter,_wie_eine_sanfte_Brise,_die_sich_zu_einem_Sturm_auswächst_-_und_morgen?_Merkwürdig_sind_diese_Schiffe,_merkwürdiger_noch_ihre_Waren_und_Gebräuche,_und_es_besteht_kein_Zweifel,_dass_wir_den_Umgang_mit_den_Fremden_aus_diesem_'Europa'_erlernen_müssen.;;;;;;;;;;;
EVTDESC13000_NEWS_MEDIUM;Off_the_coastlines_of_$COUNTRY$,_strange_ships_have_begun_appearing._Strange_are_those_ships,_and_stranger_the_customs_they_bring,_but_there_can_be_no_doubt_that_a_policy_must_be_adopted_with_regards_to_the_foreigners_from_'Europe'.;;An_den_Küsten_von_$COUNTRY$_tauchen_fremde_Schiffe_auf._Merkwürdig_sind_diese_Schiffe,_merkwürdiger_noch_ihre_Waren_und_Gebräuche,_und_es_besteht_kein_Zweifel,_dass_wir_den_Umgang_mit_den_Fremden_aus_diesem_'Europa'_erlernen_müssen.;;;;;;;;;;;
EVTDESC13000_NEWS_SHORT;Strange_are_those_ships,_and_stranger_the_customs_they_bring,_but_there_can_be_no_doubt_that_a_policy_must_be_adopted_in_$COUNTRY$_with_regards_to_the_foreigners_from_'Europe'.;;Merkwürdig_sind_diese_Schiffe,_merkwürdiger_noch_ihre_Waren_und_Gebräuche,_und_es_besteht_kein_Zweifel,_dass_wir_in_$COUNTRY$_den_Umgang_mit_den_Fremden_aus_diesem_'Europa'_erlernen_müssen.;;;;;;;;;;;
EVTDESC13100_NEWS_LONG;$COUNTRY$:_The_foreigners_have_gone_too_far!_Their_missionaries_spread_false_teachings,_subverting_our_people_and_our_national_unity,_they_break_our_customs,_and_their_opium_clouds_our_minds._At_least_that_is_the_message_you_will_get_if_you_ask_the_people_in_$PROVINCENAME$_where_anti-foreign_sentiments_have_been_running_high_in_the_past_months._Foreign_trading_post_will_be_removed_from_$PROVINCENAME$_to_discard_the_harmful_influence,_and_they_will_not_be_allowed_to_return_spread_their_lies_and_their_poisons_among_the_local_population.;;$COUNTRY$:_Die_Fremden_sind_zu_weit_gegangen!_Ihre_Missionare_verbreiten_falsche_Lehren,_die_unser_Volk_und_unsere_nationale_Einheit_zerrütten,_sie_missachten_unsere_Gebräuche_und_ihr_Opium_vergiftet_unseren_Geist._So_sehen_es_zumindest_die_Einwohner_von_$PROVINCENAME$,_wo_die_Fremdenfeindlichkeit_in_den_letzten_Monaten_weiter_zunimmt._Der_Außenhandelsposten_in_$PROVINCENAME$_wird_entfernt,_um_den_schädlichen_Einfluss_auszumerzen,_und_sie_dürfen_nicht_zurückkehren,_um_ihre_Lügen_und_ihr_Gift_unter_der_Bevölkerung_zu_verbreiten.;;;;;;;;;;;
EVTDESC13100_NEWS_MEDIUM;$COUNTRY$:_The_foreigners_have_gone_too_far!_Their_missionaries_spread_false_teachings,_subverting_our_people_and_our_national_unity,_they_break_our_customs,_and_their_opium_clouds_our_minds._Anti-foreign_sentiments_have_been_running_high_in_$PROVINCENAME$.;;$COUNTRY$:_Die_Fremden_gehen_zu_weit!_Ihre_Missionare_verbreiten_falsche_Lehren,_die_unser_Volk_und_unsere_nationale_Einheit_zerrütten,_sie_missachten_unsere_Gebräuche_und_ihr_Opium_vergiftet_unseren_Geist._Die_Fremdenfeindlichkeit_hat_in_$PROVINCENAME$_immens_zugenommen._;;;;;;;;;;;
EVTDESC13100_NEWS_SHORT;$COUNTRY$:_The_foreigners_have_gone_too_far!_They_break_our_customs,_and_their_opium_clouds_our_minds._Anti-foreign_sentiments_have_been_running_high_in_$PROVINCENAME$.;;$COUNTRY$:_Die_Fremden_gehen_zu_weit!_Sie_missachten_unsere_Gebräuche_und_ihr_Opium_vergiftet_unseren_Geist._Die_Fremdenfeindlichkeit_hat_in_$PROVINCENAME$_immens_zugenommen._;;;;;;;;;;;
EVTDESC13120_NEWS_LONG;The_European_governess_hired_to_educate_the_court_in_$COUNTRY$_seems_to_be_doing_fairly_well_at_her_job,_but_she_has_been_introducing_some_rather_strange_ideas_around_the_place._For_instance,_she_has_been_throwing_around,_in_quite_harsh_language,_the_idea_that_all_men_are_created_equal,_and_that_$COUNTRY$_should_abolish_the_time-honored_institution_of_slavery._For_the_locals_accustomed_to_slavery_for_centuries_this_might_sound_like_dangerous_stuff...;;Die_für_den_Unterricht_des_Hofes_in_$COUNTRY$_angeheuerte,_europäische_Gouvernante_macht_ihre_Arbeit_anscheinend_gut,_auch_wenn_sie_einige_merkwürdige_Ideen_verbreitet._So_vertritt_sie_mit_recht_barschen_Worten_die_Idee,_dass_alle_Menschen_vor_Gott_gleich_sind,_und_dass_$COUNTRY$_die_altbewährte_Institution_der_Sklaverei_aufgeben_sollte._Für_die_seit_Jahrhunderten_an_die_Sklaverei_gewöhnten_Einwohner_ein_gefährlich_anmutender_Ansatz...;;;;;;;;;;;
EVTDESC13120_NEWS_MEDIUM;The_European_governess_hired_to_educate_the_court_in_$COUNTRY$_seems_to_be_doing_fairly_well_at_her_job,_but_she_has_been_introducing_some_rather_strange_ideas._For_instance,_she_has_been_throwing_around,_in_quite_harsh_language,_the_idea_that_all_men_are_created_equal.;;Die_für_den_Unterricht_des_Hofes_in_$COUNTRY$_angeheuerte,_europäische_Gouvernante_macht_ihre_Arbeit_anscheinend_gut,_auch_wenn_sie_einige_merkwürdige_Ideen_verbreitet._So_vertritt_sie_mit_recht_barschen_Worten_die_Idee,_dass_alle_Menschen_vor_Gott_gleich_sind.;;;;;;;;;;;
EVTDESC13120_NEWS_SHORT;The_European_governess_hired_to_educate_the_court_in_$COUNTRY$_seems_to_be_doing_fairly_well_at_her_job,_but_she_has_been_introducing_some_rather_strange_ideas_around_the_place.;;Die_für_den_Unterricht_des_Hofes_in_$COUNTRY$_angeheuerte,_europäische_Gouvernante_macht_ihre_Arbeit_anscheinend_gut,_auch_wenn_sie_einige_merkwürdige_Ideen_verbreitet.;;;;;;;;;;;
EVTDESC13230_NEWS_LONG;$COUNTRY$:_Wandering_alone_in_the_streets_of_$PROVINCENAME$_can_be_a_dangerous_thing,_as_a_foreign_ambassador_in_the_Legation_Quarter_recently_found_out._Guards_report_having_found_him_dead_at_4_AM_in_the_morning,_apparently_the_victim_of_a_robbery,_however_the_foreigners_accuse_the_local_authorities_of_having_failed_in_their_supposed_responsibility_to_protect_their_diplomats._The_local_authorities_fear_that_even_a_formal_apology_will_not_be_enough_to_placate_them,_however,_something_more_tangible_might...;;$COUNTRY$:_Alleine_in_den_Straßen_von_$PROVINCENAME$_zu_wandeln,_kann_gefährlich_sein,_wie_ein_ausländischer_Botschafter_im_Botschafts-Viertel_herausfinden_musste._Wachen_fanden_ihn_um_4_Uhr_morgens_tot_auf,_scheinbar_Opfer_eines_Überfalls._Ausländische_Vertreter_beschuldigen_die_lokale_Administration,_ihre_Pflicht_zum_Schutz_der_Diplomaten_vernachlässigt_zu_haben._Lokale_Offizielle_befürchten,_dass_eine_formale_Entschuldigung_nicht_ausreichen_wird,_um_die_Fremden_zu_besänftigen,_vielleicht_aber_hilft_ein_materieller_Versuch?;;;;;;;;;;;
EVTDESC13230_NEWS_MEDIUM;$COUNTRY$:_Wandering_alone_in_the_streets_of_$PROVINCENAME$_can_be_a_dangerous_thing,_as_a_foreign_ambassador_in_the_Legation_Quarter_recently_found_out._Guards_report_having_found_him_dead_at_4_AM_in_the_morning,_apparently_the_victim_of_a_robbery.;;$COUNTRY$:_Alleine_in_den_Straßen_von_$PROVINCENAME$_zu_wandeln,_kann_gefährlich_sein,_wie_ein_ausländischer_Botschafter_im_Botschafts-Viertel_herausfinden_musste._Wachen_fanden_ihn_um_4_Uhr_morgens_tot_auf,_scheinbar_Opfer_eines_Überfalls.;;;;;;;;;;;
EVTDESC13230_NEWS_SHORT;$COUNTRY$:_Wandering_alone_in_the_streets_can_be_a_dangerous_thing,_as_a_foreign_ambassador_found_out._Guards_report_having_found_him_dead_at_4_AM_in_the_morning,_the_victim_of_a_robbery.;;$COUNTRY$:_Alleine_in_den_Straßen_zu_wandeln_ist_gefährlich,_wie_ein_ausländischer_Botschafter_herausfand._Wachen_fanden_ihn_um_4_Uhr_morgens_tot_auf,_scheinbar_Opfer_eines_Überfalls.;;;;;;;;;;;
