Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
MIL_FROM_TROOPS;Soldiers & Army;Soldats et Armée;Soldaten & Armee;;;;;;;;;;;
MIL_FROM_CAP_SHIPS;Capital Ships;Navires;Großkampfschiff;;;;;;;;;;;
MIL_FROM_LEADERS;Leaders;Dirigeants;Anführer;;;;;;;;;;;
OCCUPATION_SCORE;Occupation: ;Occupation : ;Besetzung:;;;;;;;;;;;
BLOCKADE_SCORE;Blockade: ;Blocus : ;Blockade:;;;;;;;;;;;
OUTLINER_TOOLTIP_EMPLOYED;§Y$COUNT$§! Employed in factories (§Y$PERC$§!%);;;;;;;;;;;
TRADE_SUPPLY_NEED_A;$VAL$ to supply army each day.\n;$VAL$ à fournir à l'armée chaque jour.\n;$VAL$ zur täglichen Versorgung der Armee.\n;;;;;;;;;;;
TRADE_SUPPLY_NEED_N;$VAL$ to supply navy each day.\n;$VAL$ à fournir à la marine chaque jour.\n;$VAL$ zur täglichen Versorgung der Marine.\n;;;;;;;;;;;
DIPLOMACY_CANNOT_SET_PRIO_WAR;We cannot influence this nation while we have a war with them.;Nous ne pouvons pas influencer cette nation tant que nous sommes en guerre contre elle.;Wir können diese Nation nicht beeinflussen, während wir einen Krieg gegen sie führen.;;;;;;;;;;;
DIPLOMACY_INFLUENCE_NOT_WORTH;We are already influencing this country at maximum, and there is no other country influencing it. No points are spent for now.;Nous influençons déjà ce pays au maximum et aucun autre pays ne l'influence. Aucun point n'est dépensé pour le moment.;Wir haben den Einfluss auf dieses Land bereits maximiert und kein anderes Land beeinflusst es. Es wurden keine Punkte ausgegeben.;;;;;;;;;;;
COLONY_ABORT_HEADER;When our colonization has been aborted.;Lorsque notre colonisation à été abandonnée;Sobald unsere Kolonisierung abgebrochen wurde.;;;;;;;;;;;
COLONY_ABORT_1;Colonization Aborted!;Abandon de la colonisation !;Kolonisierung Abgebrochen!;;;;;;;;;;;
COLONY_ABORT_2;$MONARCHTITLE$, our colony in;$MONARCHTITLE$, notre colonie en;$MONARCHTITLE$, unsere Kolonie in;;;;;;;;;;;
COLONY_ABORT_3;§Y$TARGET$§b.;§Y$TARGET$§b.;§Y$TARGET$§b.;;;;;;;;;;;
COLONY_ABORT_4;has been aborted!;a été abandonnée !;wurde vorzeitig abgebrochen!;;;;;;;;;;;
COLONY_ABORT_5;We can no longer colonize this region.;Nous ne pouvons plus coloniser cette région.;Wir können diese Region nicht länger kolonisieren.;;;;;;;;;;;
COLONY_ABORT_6;*;*;*;*;*;*;*;;;;;;;
COLONY_ABORT_BTN1;OK;D'accord;OK;*;Aceptar;*;*;;;;;;;
COLONY_ABORT_BTN2;OK;D'accord;OK;;Aceptar;;;;;;;;;
COLONY_ABORT_BTN3;Go to;Voir;Gehe zu;;Ir allí;;;;;;;;;
COLONY_ABORT_MAP;Colony Aborted!;Colonie abandonnée !;Kolonie abgebrochen!;;;;;;;;;;;
COLONY_ABORT_SETUP;When colonization is aborted.;Quand la colonisation est abandonnée.;Wenn die Kolonisierung abgebrochen wird.;;;;;;;;;;;
COLONY_ABORT_LOG;Colonization of $TARGET$ has been aborted.;la colonisation de $TARGET$ a été abandonnée.;Kolonisierung von $TARGET$ wurde abgebrochen.;;;;;;;;;;;
DIPRELCH_VALID_CB;Valid Casus Belli;Casus Belli valide;Gültiger Kriegsgrund;;;;;;;;;;;
CONFIRM_CREATE_STATE_DESC2;(All local effects will be removed.);(Tous les effets locaux seront supprimés.);(Alle lokalen Effekte werden entfernt.);;;;;;;;;;;
UNIT_ENABLE_REBEL_HUNT;Hunt Rebels;Chasse aux rebelles;Jagt Rebellen;Cazar rebeldes;;;;;;;;;;
UNIT_DISABLE_REBEL_HUNT;(hunting rebels);(chasse des rebelles);(Rebellen jagen);(cazando rebeldes);;;;;;;;;;
UNIT_REBEL_HUNT_WILL_HUNT;§GArmy is ready for rebel hunting.§!;§GL'armée est prête pour la chasse aux rebelles.§!;§GDie Armee ist bereit, Rebellen zu jagen.§!;;;;;;;;;;;
UNIT_REBEL_HUNT_IS_BUSY;§RArmy is currently busy, and will not hunt any rebels right now.§!;§RL'armée est occupée et ne pourra pas chasser les rebelles tout de suite.§!;§RDie Armee ist derzeit beschäftigt und wird momentan keine Rebellen jagen.§!;;;;;;;;;;;
UNIT_REBEL_HUNT_LOW_MORALE;§RArmy has too low morale, and will not hunt any rebels right now.§!;§RL'armée a un moral trop faible et ne peut pas chasser les rebelles maintenant.§!;§RDie Moral der Armee ist zu gering und sie wird momentan keine Rebellen jagen.§!;;;;;;;;;;;
UNIT_REBEL_HUNT_NO_VALID;§REnemy rebels has been detected, but our army will not attack them, because they are too strong for us, or couldn't find a safe path to get there.§!;§RDes rebelles ont été détectés mais notre armée ne les attaquera pas parce qu'ils sont trop fort pour nous ou qu'on ne peut pas trouver un passage sûr pour aller vers eux.§!;§RFeindliche Rebellen wurden aufgespürt, aber unsere Armee weigert sich, sie anzugreifen, da sie viel zu stark für uns sind oder unsere Truppen keinen sicheren Weg zu ihnen finden konnten.§!;;;;;;;;;;;
NOT_RELEASE_AT_WAR;§R(It is not possible to release nations when at war.)§W;§R(Il n'est pas possible de libérer des nations en temps de guerre.)§W;§R(Es ist nicht möglich, während eines Krieges Nationen zu entlassen.)§W;;;;;;;;;;;
COLONY_SUCCESS_5;§Y$PRESTIGE$§! prestige gained.;§Y$PRESTIGE$§! de prestige gagné.;§Y$PRESTIGE$§! Prestige gewonnen.;;;;;;;;;;;
COLONY_SUCCESS_6;(Base value §Y$BASE$§! x §Y$PROV$§! provinces.);(Valeur de base §Y$BASE$§! x §Y$PROV$§! provinces.);(Grundwert §Y$BASE$§! x §Y$PROV$§! Provinzen.);;;;;;;;;;;
COUNTRY_PUPPETS_LIST;Puppets: ;Satellites : ;Marionetten:;;;;;;;;;;;
POLL_ESTIMATED_ELECTION;In an election we estimate the following result.;En cas d'élection, nous nous attendons au résultat suivant.;In einer Wahl erwarten wir die folgenden Ergebnisse.;;;;;;;;;;;
MODIFIER_MOVEMENT_COST;Troop Movement Cost;Coût du mouvement de troupe;Kosten der Truppenbewegung;;;;;;;;;;;
