Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME5002;Stanley Cup;Coupe Stanley;Stanley Cup;;Copa Stanley;;;;;;;;;
EVTDESC5002;\n\nLord_Stanley_of_Preston_was_very_intrigued_by_ice_hockey_as_he_became_Governor-General_of_the_Dominion._Originally_inscribed_the_Dominion_Hockey_Challenge_Cup,_the_trophy_was_donated_in_1892_by_him,_as_an_award_for_Canada's_top-ranking_amateur_ice_hockey_club._;Lord_Stanley_de_Preston_était_très_intrigué_par_le_hockey_lorsqu'il_devint_gouverneur_général_du_Dominion._Appelée_à_l'origine_Dominion_Hockey_Challenge_Cup,_la_coupe_lui_fut_offerte_en_1892_en_guise_de_récompense_pour_le_meilleur_club_de_hockey_sur_glace_amateur_du_Canada._;;;A_Lord_Stanley_de_Preston_le_fascinaba_el_hockey_sobre_hielo_cuando_fue_nombrado_gobernador_general_del_protectorado._En_un_principio,_respaldó_la_Copa_Desafío_de_Hockey_del_Protectorado,_cuyo_trofeo_donó_en_1892,_en_recompensa_por_la_gran_posición_que_alcanzó_el_club_de_hockey_sobre_hielo_amateur_de_Canadá._;;;;;;;;;
EVTOPTA5002;This might become popular...;Elle allait devenir très populaire...;Das könnte ein beliebter Sport werden...;;Esto podría llegar a ser popular...;;;;;;;;;
EVTNAME5001;World Cup of Football;Coupe du monde de football;Fußball-Weltmeisterschaften;;Copa del Mundo de Fútbol;;;;;;;;;
EVTDESC5001;\n\n$COUNTRY$_has_just_hosted_the_first_World_Cup_of_Football,_which_was_a_stellar_success._Even_though_not_many_countries_managed_to_travel_here_from_Europe,_there_were_still_great_football_played._And_what_was_most_important_of_all,_$COUNTRY$_won_the_final_4-2_over_Argentina!;L'Uruguay_vient_d'accueillir_la_première_Coupe_du_monde_de_football_qui_a_remporté_un_vif_succès._Bien_que_peu_de_pays_européens_aient_réussi_à_faire_le_voyage_jusqu'ici,_nous_avons_assisté_à_du_grand_football._Et_plus_important_encore,_l'Uruguay_a_remporté_la_finale_contre_l'Argentine_par_4_buts_contre_2_!;Uruguay_hat_gerade_die_ersten_Fußballweltmeisterschaften_ausgerichtet,_die_ein_fantastischer_Erfolg_waren._Obwohl_daran_aufgrund_der_Entfernung_nicht_viele_europäische_Länder_teilnehmen_konnten,_wurde_doch_großartiger_Fußball_gespielt._Und_das_Wichtigste_war,_dass_Uruguay_das_Finale_mit_4:2_gegen_Argentinien_gewonnen_hat!;;Uruguay_acaba_de_ser_el_país_anfitrión_de_la_primera_Copa_del_Mundo_de_Fútbol,_que_ha_sido_un_gran_éxito._A_pesar_de_que_no_fueron_muchos_los_países_europeos_que_pudieron_viajar_hasta_allí,_se_jugó_un_gran_fútbol._¡Y_lo_más_importante_de_todo_es_que_Uruguay_ganó_la_final_imponiéndose_a_Argentina_por_4-2!;;;;;;;;;
EVTOPTA5001;Glory to Uruguay!;Gloire à l'Uruguay !;Uruguay lebe hoch!;;¡Gloria a Uruguay!;;;;;;;;;
EVTNAME5000;First FA Cup Played;Première Coupe d'Angleterre;Erster FA Cup ausgetragen;;Primera FA Cup disputada;;;;;;;;;
EVTDESC5000;\n\nIn_a_hard_fought_thrilling_game,_the_first_FA_cup_was_today_played_at_the_Kensington_Oval_in_London._In_a_surprise_result,_the_$PROVINCENAME$_Albion_won_with_1-0_over_Queens_Park._The_Spiders_showed_a_lot_of_sportsmanship_during_the_game,_but_eventually_lost_to_a_goal_by_Alfred_Goodwyn_in_the_second_half.;Au_cours_d'une_rencontre_passionnante,_la_première_Coupe_d'Angleterre_a_eu_lieu_aujourd'hui_au_Kensington_Oval_de_Londres._Et_résultat_surprenant,_le_$PROVINCENAME$_Albion_l'a_emporté_avec_1_à_0_contre_Queens_Park._Tout_au_long_du_match,_les_Spiders_ont_montré_une_grande_sportivité,_mais_ont_finalement_perdu_lorsqu'Alfred_Goodwyn_a_marqué_un_but_en_seconde_mi-temps.;In_einem_spannenden_und_hart_umkämpften_Spiel_wurde_heute_im_Kensington_Oval_in_London_der_erste_FA_Cup_entschieden._Dabei_konnte_sich_$PROVINCENAME$_überraschend_mit_1:0_gegen_Queens_Park_durchsetzen._Die_Spiders_spielten_über_den_gesamten_Spielverlauf_sehr_fair,_verloren_letztendlich_aber_durch_ein_Tor_von_Alfred_Goodwyn_in_der_zweiten_Halbzeit.;;En_un_partido_muy_emocionante,_hoy_se_libró_la_primera_FA_Cup_en_el_Kensington_Oval_de_Londres._Con_un_resultado_sorprendente,_el_$PROVINCENAME$_de_Albión_se_impuso_por_1-0_al_Queens_Park._Los_Spiders_jugaron_con_mucha_deportividad_durante_el_partido,_pero_al_final_perdieron_por_un_gol_marcado_por_Alfred_Goodwyn_en_la_segunda_mitad_del_encuentro.;;;;;;;;;
EVTOPTA5000;The Poor might enjoy it!;Les pauvres apprécieront !;Sowas könnten den Armen gefallen!;;¡Los pobres podrían disfrutarlo!;;;;;;;;;
DEFINE_ADMIRAL_EFFECT;Gain the service of §YAdmiral $NAME$§W ($PER$ $BAC$).\n;Obtenir les services de l'§Yamiral $NAME$§W ($PER$ $BAC$).\n;§YAdmiral $NAME$§W ($PER$ $BAC$) rekrutieren.\n;;Obtener los servicios del §Yalmirante $NAME$§W ($PER$ $BAC$).\n;;;;;;;;;
